"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_hfq4g256_moe_grouped_mmq_gfx1151",160,64115128,400719.550000,41.33,215002,1571018,186540.259340
"gemm_qkvza_hfq4g256_wmma",60,29703222,495053.700000,19.15,418983,1341549,152538.277175
"gemm_hfq4g256_residual_wmma_k2x32",80,10350799,129384.987500,6.67,119343,145912,2596.588685
"gemv_hfq4g256_residual_sigmoid_scaled_gpu_batched",80,9251092,115638.650000,5.96,108282,506908,44313.416930
"gated_delta_net_q8_fast",60,9227623,153793.716667,5.95,143228,412451,34154.507835
"gemm_qkv_hfq4g256_wmma",20,6234139,311706.950000,4.02,265056,991975,160268.565246
"gemm_hfq4g256",160,3925546,24534.662500,2.53,10539,38872,12191.308714
"gemm_gate_up_hfq4g256_wmma_ldscoop_nosync",80,2614170,32677.125000,1.69,29696,33944,578.592167
"gemv_hfq4g256_multirow_r2",2,2572130,1286065.000000,1.66,1225292,1346838,85946.000826
"moe_gate_up_unscatter_k8",80,2009278,25115.975000,1.30,22242,27812,1184.299504
"moe_down_combine_grouped_k8",80,1816718,22708.975000,1.17,18034,56266,4924.112804
"__amd_rocclr_copyBuffer",319,1566891,4911.884013,1.01,1242,13826,2746.944642
"attention_q8_0_kv_batched",20,1476158,73807.900000,0.9516,63720,250548,41602.273643
"conv1d_silu_split_f32",60,1377015,22950.250000,0.8876,20439,88566,8902.001818
"__amd_rocclr_fillBufferAligned",440,1056209,2400.475000,0.6808,921,6772,1514.970616
"rmsnorm_f32",122,760617,6234.565574,0.4903,2644,48851,4705.721341
"moe_scatter_fused_k8",80,722711,9033.887500,0.4659,8055,39194,3705.565277
"sigmoid_mul_f32",20,710730,35536.500000,0.4581,33423,41638,1675.237532
"convert_f32_to_f16",240,685686,2857.025000,0.4420,1923,13746,1298.044793
"fused_silu_mul_mq_rotate",160,658952,4118.450000,0.4248,1603,7214,2170.739580
"gated_norm_f32",60,626370,10439.500000,0.4038,8376,38713,3878.204698
"fused_rmsnorm_mq_rotate",80,568305,7103.812500,0.3663,6251,28854,3316.719143
"fused_qk_l2_norm_scale_f32",60,527387,8789.783333,0.3400,7815,41999,4365.945201
"moe_topk_renorm_k8_batched",80,520893,6511.162500,0.3358,6132,13385,867.845031
"quantize_q8_1_mmq_ds4",160,461346,2883.412500,0.2974,2165,12623,823.827273
"mq_rotate_x",162,448279,2767.154321,0.2890,1643,15269,1294.781161
"repeat_interleave_qk_f32_batched",60,442347,7372.450000,0.2851,5971,50334,6200.307965
"softmax_f32",80,214243,2678.037500,0.1381,2524,3487,145.504138
"deinterleave_f32_batched",20,153448,7672.400000,0.0989,6211,25127,4132.198413
"rope_partial_halfsplit_batched_f32",20,110565,5528.250000,0.0713,3888,23644,4287.999127
"fused_sigmoid_alpha_gate_f32",60,104795,1746.583333,0.0676,1483,7815,817.295940
"kv_cache_write_q8_0_batched",40,96699,2417.475000,0.0623,1723,12784,1963.605370
"embedding_q8_batched",2,21561,10780.500000,0.0139,4769,16792,8501.544830
