"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"__amd_rocclr_fillBufferAligned",23188,9226312767,397891.701182,96.76,1600,604407,382589.554698
"gemm_mixed_moe_grouped_wmma_gfx12",320,127628097,398837.803125,1.34,173802,975971,156249.674421
"gemm_qkvza_q8_0_wmma_gfx12",120,29777698,248147.483333,0.3123,235283,269163,5504.275687
"gemv_hfq4g256_residual_sigmoid_scaled_gpu_batched",160,24170676,151066.725000,0.2535,141481,158881,2516.055003
"gated_delta_net_q8_fast",120,15473413,128945.108333,0.1623,116041,138242,3479.553999
"gemm_gate_up_hfq4g256_wmma_gfx12_bt8",160,11511247,71945.293750,0.1207,64401,75321,1764.879890
"gemm_q8_0_residual_wmma_gfx12",160,8982147,56138.418750,0.0942,53640,64201,1592.530021
"fused_qkvza_q8_0_wave64_gfx12",180,8948057,49711.427778,0.0938,45000,68921,2937.986760
"gemv_q8_0",10,8612615,861261.500000,0.0903,857169,865289,3637.273132
"gemm_qkv_q8_0_wmma_gfx12",40,6221387,155534.675000,0.0652,151762,160321,1968.521421
"gemv_mixed_moe_gate_up_swiglu_k8_indexed_batched_wave64_gfx12",240,4998418,20826.741667,0.0524,18240,26560,1075.432053
"convert_f32_to_f16",960,4669623,4864.190625,0.0490,2280,15080,3264.662039
"gemv_q8_0_residual_wave64_gfx12",240,4554455,18976.895833,0.0478,16600,28080,1326.263481
"rmsnorm_f32",770,4372892,5679.080519,0.0459,1880,12360,2478.047965
"conv1d_silu_split_f32",120,3777356,31477.966667,0.0396,28520,32760,678.671093
"moe_down_combine_grouped_k8",160,3581167,22382.293750,0.0376,13200,26361,1471.347231
"fused_silu_mul_mq_rotate",560,3303964,5899.935714,0.0347,1520,17521,5726.942239
"attention_q8_0_kv_batched",40,3223678,80591.950000,0.0338,77201,84241,1671.249539
"gemv_mixed_moe_down_k8_indexed_batched_expanded_wave64_gfx12",240,3063075,12762.812500,0.0321,11320,15040,610.081470
"gemm_q8_0_wmma_gfx12",320,3053440,9542.000000,0.0320,7840,11360,1110.915745
"moe_scatter_fused_k8",160,2540312,15876.950000,0.0266,14120,16721,456.210696
"gated_norm_f32",300,2393101,7977.003333,0.0251,2120,17521,6770.233514
"moe_gate_up_unscatter_k8",160,2214665,13841.656250,0.0232,12720,18560,763.969385
"fused_qkv_q8_0",60,2106344,35105.733333,0.0221,34321,36521,386.263538
"__amd_rocclr_copyBuffer",371,1654257,4458.913747,0.0173,1760,276483,18981.756774
"attention_flash_q8_0_tile",60,1645295,27421.583333,0.0173,3560,40001,16935.788155
"fused_qk_l2_norm_scale_f32",120,1537857,12815.475000,0.0161,12240,13680,173.400976
"fused_rmsnorm_mq_rotate_plain",240,1398414,5826.725000,0.0147,5240,6640,180.525034
"gated_delta_net_q8_compact2_b2",180,1214574,6747.633333,0.0127,6200,9760,290.223626
"moe_router_softmax_topk_k8_wave64",240,1161168,4838.200000,0.0122,4240,5320,190.070130
"gemv_hfq4g256_residual_sigmoid_scaled_gpu",240,1151814,4799.225000,0.0121,2560,13840,3798.504853
"moe_topk_renorm_k8_batched",160,1077571,6734.818750,0.0113,6040,7001,163.520924
"kv_cache_write_q8_0_batched",80,993169,12414.612500,0.0104,12200,12800,128.254444
"mq_rotate_x",400,950772,2376.930000,9.971e-03,1160,4600,1157.028952
"fused_gate_up_hfq4g256",240,862895,3595.395833,9.050e-03,3200,4680,215.939394
"fused_gate_up_q8_0",240,844811,3520.045833,8.860e-03,3160,4160,133.673093
"sigmoid_mul_f32",100,812528,8125.280000,8.522e-03,1280,18600,8243.277236
"repeat_interleave_qk_f32_batched",120,714813,5956.775000,7.497e-03,5640,6520,151.688672
"moe_down_combine_k8_batched",240,653887,2724.529167,6.858e-03,2360,11440,586.164484
"softmax_f32",160,545767,3411.043750,5.724e-03,3160,3881,101.941304
"fused_sigmoid_alpha_gate_f32",300,538766,1795.886667,5.650e-03,1400,2200,210.731884
"conv1d_silu_split_qknorm_b256",180,390085,2167.138889,4.091e-03,1880,2880,170.934198
"rope_partial_halfsplit_f32",60,318762,5312.700000,3.343e-03,4880,8480,433.168942
"rope_partial_halfsplit_batched_f32",40,229162,5729.050000,2.403e-03,5520,6560,162.146333
"deinterleave_f32_batched",40,228125,5703.125000,2.393e-03,5521,6040,115.813109
"kv_cache_write_q8_0",120,202442,1687.016667,2.123e-03,1440,2720,153.542318
"attention_flash_q8_0_reduce",60,160242,2670.700000,1.681e-03,2200,3000,228.795394
"deinterleave_f32",60,87762,1462.700000,9.204e-04,1320,1920,128.893899
"embedding_q8",6,22000,3666.666667,2.307e-04,3600,3800,82.623645
"embedding_q8_batched",4,15920,3980.000000,1.670e-04,3480,4640,482.769786
