"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_hfq4g256_moe_grouped_mmq_gfx1151",80,52949523,661869.037500,27.76,355826,1575430,248290.161631
"gemm_hfq4g256_residual_mmq_full_set",170,21151079,124418.111765,11.09,71134,287699,73395.409239
"gemv_hfq4g256_moe_gate_up_k8_indexed",320,14801276,46253.987500,7.76,42720,79910,2981.283957
"fused_qkvza_hfq4g256_k2048_all_buffer_gfx1151",240,14570602,60710.841667,7.64,57227,92052,3260.855590
"gemv_hfq4g256_lm_head_r1_hybrid_buffer_gfx1151",9,10466395,1162932.777778,5.49,1154001,1201169,14610.287162
"gemv_hfq4g256_moe_down_k8_indexed_batched_expanded",320,7468549,23339.215625,3.92,21280,41477,1639.134050
"gemv_hfq4g256_residual_rt_low_gfx1151",320,7176197,22425.615625,3.76,20959,37030,1279.301313
"gemv_hfq4g256_residual_sigmoid_scaled_gpu_batched",40,6795324,169883.100000,3.56,164147,275355,19469.681382
"gemm_hfq4g256_residual_mmq",60,6078584,101309.733333,3.19,89808,116017,9712.403638
"gemm_hfq4g256_residual_mmq_full_add",40,6067120,151678.000000,3.18,148518,154169,1316.008807
"gated_delta_net_q8_fast",30,5292867,176428.900000,2.78,170960,254797,14851.514033
"gated_delta_net_q8_compact2_b2",240,4327783,18032.429167,2.27,16350,33463,1504.254617
"fused_qkv_hfq4g256",80,3833018,47912.725000,2.01,45846,69450,2534.164377
"attention_flash_q8_0_tile",80,3737793,46722.412500,1.96,45565,80791,3877.887604
"fused_qkvza_hfq4g256_k2048_hybrid_buffer_gfx1151",320,2618701,8183.440625,1.37,7413,17232,836.893867
"gemm_hfq4g256",80,2614374,32679.675000,1.37,11221,60834,21178.709271
"__amd_rocclr_copyBuffer",324,1959977,6049.311728,1.03,1362,11501,3024.013959
"moe_router_softmax_topk_k8_wave64_exact",320,1867819,5836.934375,0.9794,5249,26049,1698.877206
"moe_gate_up_unscatter_k8",40,1734567,43364.175000,0.9095,38552,48131,2161.115238
"gemv_hfq4g256_residual_sigmoid_scaled_gpu",320,1597948,4993.587500,0.8379,4007,12824,656.732478
"fused_silu_mul_mq_rotate",720,1517678,2107.886111,0.7958,1202,10660,1968.479537
"moe_down_combine_grouped_k8",40,1504215,37605.375000,0.7887,31258,50775,4315.646558
"attention_q8_0_kv_batched",10,1092164,109216.400000,0.5727,108683,109645,346.792990
"conv1d_silu_split_f32",30,970619,32353.966667,0.5090,30778,38071,1238.065133
"gated_norm_mq_rotate_gfx1151",240,814331,3393.045833,0.4270,2925,11742,879.202098
"quantize_q8_1_mmq_ds4",200,807066,4035.330000,0.4232,2284,7574,1385.388377
"fused_rmsnorm_mq_rotate_vecsum",328,709932,2164.426829,0.3723,1643,7494,781.933916
"moe_down_combine_rmsnorm_mq_rotate_vecsum_gfx1151",312,702278,2250.891026,0.3682,1763,8055,769.261462
"conv1d_silu_split_qknorm_b256",240,651592,2714.966667,0.3417,2204,7374,728.284554
"rmsnorm_f32",69,485905,7042.101449,0.2548,3005,21119,4540.117397
"fused_sigmoid_alpha_gate_f32",270,483791,1791.818519,0.2537,1362,8416,920.030616
"gated_norm_f32",30,389731,12991.033333,0.2044,11582,13425,383.978222
"__amd_rocclr_fillBufferAligned",201,381552,1898.268657,0.2001,962,8015,1161.682301
"mq_rotate_x",89,364206,4092.202247,0.1910,1402,9739,1981.099019
"moe_scatter_fused_k8",40,343004,8575.100000,0.1799,8376,8936,117.727586
"fused_qk_l2_norm_scale_f32",30,313509,10450.300000,0.1644,10059,11301,242.167675
"moe_topk_renorm_k8_batched",40,304931,7623.275000,0.1599,6493,12062,1921.373080
"sigmoid_mul_f32",10,299399,29939.900000,0.1570,27451,30938,957.680119
"repeat_interleave_qk_f32_batched",30,286333,9544.433333,0.1501,8536,15429,1134.998426
"attention_flash_q8_0_reduce_gated_mq_rotate_gfx1151",80,246823,3085.287500,0.1294,2685,7894,661.918294
"fused_rmsnorm_mq_rotate",40,207552,5188.800000,0.1088,4649,10259,1187.491888
"qwen35_fa_prep_gfx1151",80,185711,2321.387500,0.0974,1963,8736,738.798383
"softmax_f32",40,138662,3466.550000,0.0727,2806,8015,1516.717693
"kv_cache_write_q8_0_pair",80,117345,1466.812500,0.0615,1122,5972,706.414769
"deinterleave_f32_batched",10,114737,11473.700000,0.0602,10059,15990,1620.007960
"rope_partial_halfsplit_batched_f32",10,57988,5798.800000,0.0304,5610,5931,106.892261
"kv_cache_write_q8_0_batched",20,47848,2392.400000,0.0251,2044,2805,241.499570
"embedding_q8",8,35666,4458.250000,0.0187,4248,4849,201.721697
"moe_down_combine_k8_batched",8,18354,2294.250000,9.624e-03,2244,2405,73.408349
"embedding_q8_batched",1,6532,6532.000000,3.425e-03,6532,6532,0.00000000e+00
