"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"__amd_rocclr_fillBufferAligned",44182,18480689850,418285.497488,99.45,1680,1078053,413416.557398
"fused_qkvza_q8_0",390,20157431,51685.720513,0.1085,45240,106641,5568.449616
"gemv_q8_0_residual",520,12651628,24330.053846,0.0681,17000,48120,1883.454246
"gemv_mixed_moe_gate_up_k8_indexed_batched",520,11530730,22174.480769,0.0621,17320,36920,2665.864387
"gemv_q8_0",13,11167294,859022.615385,0.0601,856971,865811,3081.916274
"gemv_mixed_moe_down_k8_indexed_batched_expanded",520,10447798,20091.919231,0.0562,11560,26800,4342.613493
"gemv_hfq4g256_residual_sigmoid_scaled_gpu",520,6369396,12248.838462,0.0343,2880,14160,1441.463406
"fused_qkv_q8_0",130,4563699,35105.376923,0.0246,34200,39801,530.096529
"rmsnorm_f32",793,3333637,4203.829760,0.0179,1680,6320,1534.106659
"fused_rmsnorm_mq_rotate_plain",520,3088721,5939.848077,0.0166,5160,6720,210.545438
"gated_delta_net_q8_compact2_b2",390,2618747,6714.735897,0.0141,6160,11000,311.564341
"moe_router_softmax_topk_k8_wave64",520,2482313,4773.678846,0.0134,4160,5081,116.948479
"fused_gate_up_hfq4g256",520,1910141,3673.348077,0.0103,3360,6000,215.138312
"fused_gate_up_q8_0",520,1872934,3601.796154,0.0101,3240,4560,131.933425
"fused_silu_mul_mq_rotate",1040,1716378,1650.363462,9.236e-03,1320,2600,129.476330
"__amd_rocclr_copyBuffer",366,1581818,4321.907104,8.512e-03,2080,300643,21786.523228
"moe_down_combine_k8_batched",520,1432655,2755.105769,7.710e-03,2360,3840,159.016481
"gated_norm_f32",390,1014096,2600.246154,5.457e-03,2280,3240,146.745258
"conv1d_silu_split_qknorm_b256",390,834011,2138.489744,4.488e-03,1880,3000,171.347911
"attention_flash_q8_0_tile",130,725647,5581.900000,3.905e-03,3560,7840,1222.698685
"rope_partial_halfsplit_f32",130,664007,5107.746154,3.573e-03,4640,5480,111.675285
"fused_sigmoid_alpha_gate_f32",390,655290,1680.230769,3.526e-03,1480,2200,124.553591
"kv_cache_write_q8_0",260,431846,1660.946154,2.324e-03,1480,2240,128.795028
"attention_flash_q8_0_reduce",130,286762,2205.861538,1.543e-03,2000,2720,84.549674
"deinterleave_f32",130,181240,1394.153846,9.753e-04,1200,2040,135.862360
"sigmoid_mul_f32",130,179121,1377.853846,9.639e-04,1240,1920,99.365515
"embedding_q8",13,51560,3966.153846,2.775e-04,3400,4280,234.291075
