"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mixed_moe_grouped_wmma_gfx12",880,346882103,394184.207955,46.52,176323,1171935,148958.094726
"gemm_qkvza_q8_0_wmma_gfx12",330,82896900,251202.727273,11.12,237523,464806,13130.955640
"gemv_hfq4g256_residual_sigmoid_scaled_gpu_batched",440,65823799,149599.543182,8.83,128242,175002,4054.137004
"gated_delta_net_q8_fast",330,42261381,128064.790909,5.67,118082,144962,3342.943059
"gemm_gate_up_hfq4g256_wmma_gfx12_bt8",440,31521118,71638.904545,4.23,66281,76521,1750.936821
"gemm_q8_0_residual_wmma_gfx12",440,24790592,56342.254545,3.32,51200,75440,2447.039509
"gemm_qkv_q8_0_wmma_gfx12",110,17085419,155321.990909,2.29,151002,158962,1627.378150
"convert_f32_to_f16",2640,12401517,4697.544318,1.66,2240,15600,3136.320981
"conv1d_silu_split_f32",330,10381177,31458.112121,1.39,29200,36880,859.612199
"gemv_q8_0",12,10362252,863521.000000,1.39,857331,864771,2001.217856
"moe_down_combine_grouped_k8",440,9824280,22327.909091,1.32,13360,29441,1327.441264
"attention_q8_0_kv_batched",110,8798551,79986.827273,1.18,76801,86801,1379.923099
"gemm_q8_0_wmma_gfx12",880,8371364,9512.913636,1.12,7800,12401,1135.658386
"fused_silu_mul_mq_rotate",920,7975168,8668.660870,1.07,1720,20320,5935.886255
"rmsnorm_f32",1172,7923297,6760.492321,1.06,2120,21280,2545.767528
"moe_scatter_fused_k8",440,6948888,15792.927273,0.9320,14320,17880,431.732637
"moe_gate_up_unscatter_k8",440,6055238,13761.904545,0.8121,12040,17960,585.495608
"__amd_rocclr_copyBuffer",1794,5787973,3226.294872,0.7763,1880,216882,9708.514532
"gated_norm_f32",360,5260190,14611.638889,0.7055,2680,24080,4272.257863
"embedding_q8",1408,4849979,3444.587358,0.6505,3080,9240,187.342674
"fused_qk_l2_norm_scale_f32",330,4236848,12838.933333,0.5682,12280,14840,212.121378
"__amd_rocclr_fillBufferAligned",2180,4191698,1922.797248,0.5622,1560,14400,478.276449
"moe_topk_renorm_k8_batched",440,2951520,6708.000000,0.3958,6160,7400,162.478245
"kv_cache_write_q8_0_batched",220,2736152,12437.054545,0.3670,12200,12761,112.196081
"sigmoid_mul_f32",120,2044307,17035.891667,0.2742,1680,19080,4642.266689
"repeat_interleave_qk_f32_batched",330,1963788,5950.872727,0.2634,5560,7680,181.387900
"mq_rotate_x",480,1704899,3551.872917,0.2287,1640,7000,590.833096
"softmax_f32",440,1484456,3373.763636,0.1991,3080,4160,102.013705
"fused_qkvza_q8_0_wave64_gfx12",30,1458819,48627.300000,0.1957,45161,51681,1887.210497
"gemv_mixed_moe_gate_up_swiglu_k8_indexed_batched_wave64_gfx12",40,839212,20980.300000,0.1126,18240,23841,1292.088832
"gemv_q8_0_residual_wave64_gfx12",40,767812,19195.300000,0.1030,16840,20480,1236.964942
"fused_sigmoid_alpha_gate_f32",360,717409,1992.802778,0.0962,1760,2480,82.721148
"rope_partial_halfsplit_batched_f32",110,627726,5706.600000,0.0842,5400,6040,110.575409
"deinterleave_f32_batched",110,627287,5702.609091,0.0841,5480,6360,123.122159
"gemv_mixed_moe_down_k8_indexed_batched_expanded_wave64_gfx12",40,523808,13095.200000,0.0703,11400,14400,716.822876
"gemv_hfq4g256_residual_sigmoid_scaled_gpu",40,499043,12476.075000,0.0669,12000,13760,280.751134
"attention_flash_q8_0_tile",10,371604,37160.400000,0.0498,36761,38040,377.936267
"fused_qkv_q8_0",10,354644,35464.400000,0.0476,34841,36080,425.086971
"fused_rmsnorm_mq_rotate_plain",40,239082,5977.050000,0.0321,5640,9480,601.257953
"gated_delta_net_q8_compact2_b2",30,206282,6876.066667,0.0277,6480,7841,292.434364
"moe_router_softmax_topk_k8_wave64",40,196242,4906.050000,0.0263,4800,5720,154.692242
"fused_gate_up_q8_0",40,155564,3889.100000,0.0209,3481,4160,189.399293
"fused_gate_up_hfq4g256",40,151762,3794.050000,0.0204,3560,4280,170.599689
"moe_down_combine_k8_batched",40,112161,2804.025000,0.0150,2640,4040,218.286625
"conv1d_silu_split_qknorm_b256",30,77561,2585.366667,0.0104,2320,2920,153.817734
"rope_partial_halfsplit_f32",10,53362,5336.200000,7.157e-03,5200,5640,123.979210
"embedding_q8_batched",11,43401,3945.545455,5.821e-03,3760,4800,297.271379
"kv_cache_write_q8_0",20,38360,1918.000000,5.145e-03,1760,2560,180.513886
"attention_flash_q8_0_reduce",10,30480,3048.000000,4.088e-03,2960,3440,142.111068
"deinterleave_f32",10,17000,1700.000000,2.280e-03,1600,2120,158.043595
