"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"__amd_rocclr_fillBufferAligned",24547,9235811170,376250.098586,91.80,1560,602006,372297.309191
"gemm_mixed_moe_grouped_wmma_gfx12",880,351608091,399554.648864,3.49,175722,979610,158585.836764
"gemm_qkvza_q8_0_wmma_gfx12",330,81745890,247714.818182,0.8125,233123,269643,5375.420207
"gemv_hfq4g256_residual_sigmoid_scaled_gpu_batched",440,66496338,151128.040909,0.6609,141402,159361,2661.044585
"gated_delta_net_q8_fast",330,42697955,129387.742424,0.4244,116481,138402,3339.801235
"gemm_gate_up_hfq4g256_wmma_gfx12_bt8",440,31719150,72088.977273,0.3153,64361,75281,1618.317196
"gemm_q8_0_residual_wmma_gfx12",440,24750544,56251.236364,0.2460,51840,65520,1751.298530
"gemv_q8_0",24,20689987,862082.791667,0.2056,856609,882409,6392.188868
"fused_qkvza_q8_0_wave64_gfx12",390,19139528,49075.712821,0.1902,44480,66401,2299.363989
"gemm_qkv_q8_0_wmma_gfx12",110,17086427,155331.154545,0.1698,149801,163562,2495.583796
"convert_f32_to_f16",2640,12051700,4565.037879,0.1198,2320,14560,2944.611758
"rmsnorm_f32",1904,11037030,5796.759454,0.1097,1800,22160,2545.776670
"gemv_mixed_moe_gate_up_swiglu_k8_indexed_batched_wave64_gfx12",520,10883435,20929.682692,0.1082,17760,26921,1125.964714
"conv1d_silu_split_f32",330,10426182,31594.490909,0.1036,28601,32800,591.616832
"gemv_q8_0_residual_wave64_gfx12",520,9862799,18966.921154,0.0980,16600,32000,1220.268591
"moe_down_combine_grouped_k8",440,9834083,22350.188636,0.0977,13240,26281,1338.837227
"attention_q8_0_kv_batched",110,8865575,80596.136364,0.0881,77041,85481,1802.638772
"fused_silu_mul_mq_rotate",1400,8693896,6209.925714,0.0864,1480,17280,5814.397310
"gemm_q8_0_wmma_gfx12",880,8388719,9532.635227,0.0834,7680,11280,1108.557995
"moe_scatter_fused_k8",440,6975628,15853.700000,0.0693,13921,16560,369.638512
"gemv_mixed_moe_down_k8_indexed_batched_expanded_wave64_gfx12",520,6617838,12726.611538,0.0658,11321,15561,587.175315
"gemv_hfq4g256_residual_sigmoid_scaled_gpu",520,6366058,12242.419231,0.0633,2920,14401,2001.186919
"gated_norm_f32",720,6340265,8805.923611,0.0630,2120,17401,6932.820574
"moe_gate_up_unscatter_k8",440,6047779,13744.952273,0.0601,12160,15801,655.815179
"fused_qkv_q8_0",130,4542237,34940.284615,0.0451,34320,36521,315.842008
"attention_flash_q8_0_tile",130,4386715,33743.961538,0.0436,3560,40001,12892.210675
"fused_qk_l2_norm_scale_f32",330,4223648,12798.933333,0.0420,12160,13640,186.933603
"fused_rmsnorm_mq_rotate_plain",520,3028513,5824.063462,0.0301,5320,6800,170.253166
"moe_topk_renorm_k8_batched",440,2973032,6756.890909,0.0296,6000,7160,160.449389
"kv_cache_write_q8_0_batched",220,2722078,12373.081818,0.0271,12080,12720,112.186825
"gated_delta_net_q8_compact2_b2",390,2642270,6775.051282,0.0263,6200,12521,397.064547
"moe_router_softmax_topk_k8_wave64",520,2513423,4833.505769,0.0250,4200,5120,187.372934
"mq_rotate_x",960,2385583,2484.982292,0.0237,1240,4800,1145.385716
"sigmoid_mul_f32",240,2180154,9083.975000,0.0217,1280,18760,8392.977958
"repeat_interleave_qk_f32_batched",330,1994621,6044.306061,0.0198,5640,10920,316.575820
"fused_gate_up_q8_0",520,1883223,3621.582692,0.0187,3361,4400,109.806279
"fused_gate_up_hfq4g256",520,1854058,3565.496154,0.0184,3120,5040,178.549443
"softmax_f32",440,1489614,3385.486364,0.0148,3120,3800,109.128353
"__amd_rocclr_copyBuffer",433,1470461,3395.983834,0.0146,1680,267283,12741.085809
"moe_down_combine_k8_batched",520,1388814,2670.796154,0.0138,2360,3920,151.979897
"fused_sigmoid_alpha_gate_f32",720,1301772,1808.016667,0.0129,1400,2240,218.662453
"conv1d_silu_split_qknorm_b256",390,850766,2181.451282,8.456e-03,1920,2760,151.827806
"rope_partial_halfsplit_f32",130,675130,5193.307692,6.710e-03,4720,5560,120.678562
"rope_partial_halfsplit_batched_f32",110,630927,5735.700000,6.271e-03,5480,6320,132.668211
"deinterleave_f32_batched",110,622733,5661.209091,6.190e-03,5400,6040,121.203907
"kv_cache_write_q8_0",260,436290,1678.038462,4.336e-03,1480,2520,116.051673
"attention_flash_q8_0_reduce",130,357042,2746.476923,3.549e-03,2200,3000,187.961493
"deinterleave_f32",130,182921,1407.084615,1.818e-03,1280,2000,107.816815
"embedding_q8",13,49401,3800.076923,4.910e-04,3600,3920,110.785424
"embedding_q8_batched",11,45401,4127.363636,4.513e-04,3920,4520,149.413703
