"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"fused_qkvza_q8_0_wave64_gfx12",1230,60430834,49130.759350,21.26,44600,128681,3441.502081
"gemv_q8_0",41,35208448,858742.634146,12.39,856607,882446,4536.863282
"gemv_mixed_moe_gate_up_swiglu_k8_indexed_batched_wave64_gfx12",1640,35080596,21390.607317,12.34,18040,44240,1348.444147
"gemv_q8_0_residual_wave64_gfx12",1640,31028779,18919.987195,10.92,16320,194962,4595.249279
"gemv_mixed_moe_down_k8_indexed_batched_expanded_wave64_gfx12",1640,21126848,12882.224390,7.43,10760,24800,734.711564
"fused_qkv_q8_0",410,14354134,35010.082927,5.05,34240,51000,873.005336
"rmsnorm_f32",2501,10722913,4287.450220,3.77,1880,9280,1566.157250
"fused_rmsnorm_mq_rotate_plain",1640,9911157,6043.388415,3.49,5720,221442,5325.890446
"gemv_hfq4g256_residual_sigmoid_scaled_gpu",1640,9408961,5737.171341,3.31,2720,15000,4546.756533
"gated_delta_net_q8_compact2_b2",1230,8296416,6745.053659,2.92,6280,15360,302.732339
"moe_router_softmax_topk_k8_wave64",1640,8107822,4943.793902,2.85,4760,9840,148.087948
"fused_gate_up_hfq4g256",1640,5981034,3646.971951,2.10,3360,7200,166.640268
"fused_gate_up_q8_0",1640,5746566,3504.003659,2.02,3320,5560,140.424350
"moe_down_combine_k8_batched",1640,4442270,2708.701220,1.56,2600,4960,148.669313
"attention_flash_q8_0_tile",410,4024989,9817.046341,1.42,3920,16160,3477.396214
"gated_norm_f32",1230,3259142,2649.708943,1.15,2480,4280,148.923115
"fused_silu_mul_mq_rotate",1640,2877423,1754.526220,1.01,1640,2920,84.883313
"conv1d_silu_split_qknorm_b256",1230,2645017,2150.420325,0.9306,1920,4000,145.193061
"mq_rotate_x",1640,2169341,1322.768902,0.7632,1240,2600,113.741857
"rope_partial_halfsplit_f32",410,2163897,5277.797561,0.7613,5000,6080,109.450151
"fused_sigmoid_alpha_gate_f32",1230,2019734,1642.060163,0.7106,1480,2440,110.938865
"kv_cache_write_q8_0",820,1182051,1441.525610,0.4159,1280,2440,125.652497
"__amd_rocclr_copyBuffer",394,1143213,2901.555838,0.4022,2080,52960,3067.058557
"attention_flash_q8_0_reduce",410,916647,2235.724390,0.3225,2160,2960,75.758461
"__amd_rocclr_fillBufferAligned",200,759726,3798.630000,0.2673,1680,298442,20942.994064
"deinterleave_f32",410,581805,1419.036585,0.2047,1320,2320,157.018558
"sigmoid_mul_f32",410,483125,1178.353659,0.1700,1080,2200,81.831924
"embedding_q8",41,161921,3949.292683,0.0570,3600,4280,185.883061
