[126, 214, 200, 67, 116, 30, 167, 95]	[0.23677787, 0.21023911, 0.18394288, 0.15399018, 0.063320965, 0.054899503, 0.05322225, 0.04360721]
[158, 94, 214, 188, 88, 209, 13, 138]	[0.75451946, 0.085789554, 0.045721613, 0.026143562, 0.023434224, 0.022819703, 0.020869624, 0.020702288]
[42, 6, 153, 79, 151, 1, 90, 61]	[0.36901236, 0.20515656, 0.09564882, 0.08922489, 0.07294086, 0.066591606, 0.05551195, 0.045913007]
[39, 163, 11, 198, 201, 68, 29, 206]	[0.36172086, 0.16059549, 0.11314031, 0.086263135, 0.0782732, 0.06921694, 0.06730573, 0.063484274]
[201, 170, 152, 110, 206, 160, 220, 230]	[0.17412867, 0.16916424, 0.1491907, 0.14532943, 0.105433084, 0.08814311, 0.08592516, 0.08268556]
[137, 146, 191, 64, 4, 99, 239, 97]	[0.17247641, 0.15938763, 0.15291956, 0.13566825, 0.11438082, 0.098452844, 0.085361294, 0.08135318]
[31, 194, 47, 207, 15, 246, 105, 102]	[0.21853402, 0.17516768, 0.16917567, 0.13767996, 0.08144871, 0.07781756, 0.07364893, 0.06652747]
[166, 15, 33, 35, 200, 25, 21, 46]	[0.20280366, 0.16918068, 0.14192288, 0.11794117, 0.09887361, 0.09741749, 0.0878535, 0.08400712]
[193, 50, 91, 225, 172, 240, 16, 63]	[0.21087685, 0.19790319, 0.1164885, 0.10215371, 0.097652264, 0.09267167, 0.091137566, 0.0911162]
[221, 100, 72, 121, 58, 142, 143, 225]	[0.2322705, 0.16764383, 0.12837943, 0.12080088, 0.11831756, 0.11176726, 0.06481757, 0.056003023]
[130, 49, 70, 25, 59, 240, 162, 106]	[0.26541218, 0.17321643, 0.11232536, 0.101270184, 0.09148113, 0.09099469, 0.08389782, 0.081402175]
[88, 191, 123, 200, 237, 41, 33, 229]	[0.29469684, 0.2124202, 0.12844147, 0.09048597, 0.079567865, 0.07130398, 0.06480928, 0.058274377]
[167, 247, 101, 82, 13, 22, 20, 158]	[0.36413074, 0.12414302, 0.11814573, 0.09201787, 0.08371124, 0.081171915, 0.07032458, 0.06635485]
[194, 155, 56, 120, 68, 87, 64, 244]	[0.17777883, 0.16433193, 0.12992147, 0.12615764, 0.11829304, 0.10273362, 0.10138689, 0.079396605]
[140, 242, 66, 220, 145, 144, 49, 149]	[0.16557057, 0.15398648, 0.14934105, 0.14521044, 0.13020268, 0.11201265, 0.07615341, 0.067522764]
[188, 6, 191, 18, 155, 131, 189, 140]	[0.22195895, 0.16957304, 0.13074641, 0.11236207, 0.09948849, 0.0941407, 0.09077123, 0.080959134]
[92, 105, 65, 41, 40, 255, 23, 60]	[0.34368002, 0.13870701, 0.1273726, 0.09941249, 0.09017473, 0.073248014, 0.06417648, 0.06322865]
[215, 167, 198, 245, 126, 37, 121, 144]	[0.48723766, 0.11869873, 0.09516469, 0.07517406, 0.06193758, 0.056969587, 0.05691965, 0.04789802]
[195, 253, 217, 46, 121, 82, 209, 131]	[0.2942877, 0.2040956, 0.15720068, 0.08708334, 0.076562315, 0.064006045, 0.062422957, 0.054341357]
[239, 23, 87, 220, 55, 37, 57, 80]	[0.21080847, 0.19174859, 0.1190012, 0.11593013, 0.09740287, 0.09368501, 0.09073671, 0.08068701]
[40, 235, 91, 172, 193, 3, 225, 144]	[0.18618236, 0.16736884, 0.15799114, 0.10783547, 0.107733555, 0.09868902, 0.09082749, 0.083372034]
[221, 142, 100, 169, 103, 107, 0, 158]	[0.31027892, 0.2321351, 0.14958604, 0.08239768, 0.06301213, 0.061767988, 0.0522918, 0.048530467]
[139, 229, 106, 173, 77, 240, 195, 201]	[0.21798885, 0.1368915, 0.1256171, 0.11844972, 0.1097532, 0.097436264, 0.097040705, 0.0968226]
[135, 88, 123, 191, 120, 118, 33, 200]	[0.16210066, 0.13880722, 0.13697895, 0.118576236, 0.11672366, 0.11243945, 0.10729941, 0.10707447]
[103, 167, 249, 20, 101, 42, 247, 82]	[0.18660715, 0.17556608, 0.13982908, 0.13322432, 0.11349953, 0.092548415, 0.080714695, 0.078010835]
[56, 87, 61, 214, 104, 65, 197, 68]	[0.24476169, 0.2369396, 0.10616394, 0.10430814, 0.08070918, 0.07763029, 0.07606256, 0.073424585]
[145, 50, 226, 149, 239, 242, 66, 144]	[0.17290893, 0.16346884, 0.13003482, 0.12206425, 0.11877468, 0.11058727, 0.100108474, 0.082052775]
[189, 119, 188, 64, 131, 218, 155, 6]	[0.19844654, 0.18939319, 0.1503837, 0.12529016, 0.10309976, 0.080764145, 0.07771698, 0.07490556]
[65, 41, 105, 255, 70, 106, 92, 111]	[0.17632668, 0.16414587, 0.13947183, 0.13783598, 0.107828036, 0.09573647, 0.09460418, 0.084051065]
[215, 198, 37, 99, 29, 71, 57, 167]	[0.3652284, 0.19984649, 0.086763866, 0.07779421, 0.07196559, 0.07149754, 0.06400508, 0.062898725]
[253, 121, 99, 131, 46, 217, 195, 48]	[0.23372738, 0.12986681, 0.11855486, 0.11237761, 0.10912124, 0.10167717, 0.09778062, 0.09689431]
[23, 215, 87, 220, 80, 114, 153, 57]	[0.1658457, 0.1448718, 0.13019371, 0.12890187, 0.11833881, 0.1182573, 0.09680007, 0.0967908]
[205, 143, 25, 5, 187, 132, 11, 51]	[0.19936591, 0.17035744, 0.14715894, 0.11818551, 0.11103216, 0.09152812, 0.08444713, 0.07792476]
[228, 144, 90, 15, 235, 173, 167, 64]	[0.19874558, 0.18277745, 0.14769985, 0.1171069, 0.0990429, 0.091848925, 0.085922524, 0.07685588]
[42, 112, 158, 133, 224, 222, 185, 110]	[0.4193958, 0.16874518, 0.0909323, 0.06811489, 0.06643023, 0.0634807, 0.06153377, 0.06136707]
[29, 252, 119, 46, 139, 35, 72, 54]	[0.23789167, 0.19239202, 0.15547727, 0.113475375, 0.08250298, 0.08003834, 0.07275955, 0.06546274]
[205, 141, 254, 102, 66, 81, 1, 182]	[0.2433482, 0.21334235, 0.11793548, 0.11149057, 0.09127871, 0.08348319, 0.07882678, 0.06029463]
[88, 125, 34, 109, 116, 233, 138, 3]	[0.35532558, 0.1383386, 0.13009225, 0.102694966, 0.07403125, 0.07087128, 0.065741636, 0.06290445]
[46, 134, 176, 117, 216, 209, 8, 168]	[0.15935493, 0.15426245, 0.151344, 0.14317918, 0.13589707, 0.10813935, 0.07479765, 0.07302536]
[95, 39, 50, 19, 159, 157, 227, 35]	[0.24770896, 0.12482915, 0.116540074, 0.10747367, 0.10397749, 0.10207427, 0.10185193, 0.09554445]
[126, 214, 200, 67, 116, 167, 30, 140]	[0.2280595, 0.20293227, 0.1936738, 0.16797902, 0.06195233, 0.052802075, 0.0464396, 0.046161484]
[158, 94, 214, 188, 88, 138, 112, 209]	[0.7366675, 0.09099487, 0.050886583, 0.02851419, 0.025467848, 0.02336884, 0.022217149, 0.021883043]
[42, 6, 153, 79, 1, 151, 90, 61]	[0.37691516, 0.20413199, 0.09439547, 0.084348954, 0.06883002, 0.0672868, 0.052525267, 0.05156635]
[39, 163, 11, 198, 201, 29, 68, 206]	[0.35583118, 0.1672878, 0.11520758, 0.0870806, 0.075796895, 0.06837697, 0.06783991, 0.06257912]
[201, 170, 152, 110, 206, 160, 220, 230]	[0.17051998, 0.16480312, 0.15143721, 0.14112529, 0.106338084, 0.090939954, 0.088780016, 0.08605643]
[137, 191, 146, 64, 4, 99, 97, 239]	[0.1712605, 0.15436202, 0.15430397, 0.14757074, 0.11219845, 0.09375078, 0.08346761, 0.08308589]
[31, 194, 47, 207, 15, 246, 105, 122]	[0.21287732, 0.18129161, 0.16982013, 0.13608027, 0.080156, 0.07819927, 0.07247433, 0.069101125]
[166, 15, 33, 35, 200, 21, 25, 46]	[0.21221784, 0.17042118, 0.1445624, 0.117677025, 0.093644336, 0.08937802, 0.08846944, 0.08362976]
[193, 50, 91, 172, 240, 225, 16, 63]	[0.20417924, 0.19438243, 0.1143316, 0.108461164, 0.099454746, 0.09664964, 0.09136521, 0.09117599]
[221, 100, 72, 121, 58, 142, 143, 7]	[0.23513898, 0.15932588, 0.13014746, 0.119375266, 0.115385406, 0.11438052, 0.07042277, 0.055823725]
[130, 49, 70, 25, 240, 59, 106, 162]	[0.24460797, 0.17216367, 0.12227118, 0.104826406, 0.09651749, 0.08815024, 0.0868592, 0.08460385]
[88, 191, 123, 200, 237, 41, 33, 229]	[0.28893024, 0.21570477, 0.13760573, 0.092312895, 0.08033053, 0.06921897, 0.060663145, 0.05523374]
[167, 101, 247, 82, 13, 22, 20, 158]	[0.35163248, 0.119839706, 0.115019016, 0.10263546, 0.08624156, 0.08135913, 0.07367334, 0.069599286]
[194, 155, 68, 56, 120, 87, 64, 244]	[0.17924112, 0.16187724, 0.12618914, 0.124072745, 0.12398409, 0.10633059, 0.0993367, 0.078968465]
[140, 242, 220, 66, 145, 144, 49, 149]	[0.16721198, 0.15511698, 0.14654416, 0.14483652, 0.12701695, 0.11189473, 0.07798288, 0.06939573]
[188, 6, 191, 18, 155, 131, 189, 140]	[0.21753292, 0.17067964, 0.11988088, 0.117983334, 0.10047918, 0.09761485, 0.09014476, 0.08568441]
[92, 105, 65, 41, 40, 255, 23, 242]	[0.35194972, 0.14091359, 0.12817812, 0.09087937, 0.08803787, 0.07063394, 0.065519914, 0.0638875]
[215, 167, 198, 245, 126, 37, 121, 144]	[0.4603703, 0.12961823, 0.10238149, 0.08044842, 0.06542184, 0.058126036, 0.055655282, 0.047978397]
[195, 253, 217, 46, 121, 209, 82, 131]	[0.2779704, 0.20972218, 0.16941914, 0.09606452, 0.075462155, 0.059762664, 0.05957673, 0.052022256]
[239, 23, 220, 87, 57, 37, 55, 63]	[0.19975144, 0.19539085, 0.122773685, 0.122364044, 0.10012171, 0.09198311, 0.08878061, 0.07883464]
[40, 91, 235, 172, 193, 3, 225, 144]	[0.18844607, 0.15856396, 0.14805278, 0.11091547, 0.10669675, 0.10439076, 0.09612194, 0.086812265]
[221, 142, 100, 169, 103, 107, 0, 158]	[0.3135873, 0.23791014, 0.14576676, 0.08149649, 0.06211819, 0.056406237, 0.052463096, 0.050251774]
[139, 229, 106, 173, 77, 201, 244, 193]	[0.21783257, 0.12834018, 0.12593183, 0.11789087, 0.11006713, 0.10099567, 0.09978406, 0.09915768]
[135, 88, 123, 191, 200, 118, 120, 33]	[0.17354763, 0.14581494, 0.13746542, 0.11693391, 0.109659374, 0.10939237, 0.105939925, 0.10124647]
[103, 167, 249, 20, 101, 42, 82, 158]	[0.18578185, 0.17313002, 0.14165075, 0.1277453, 0.113360815, 0.09234781, 0.086102195, 0.07988122]
[56, 87, 61, 214, 68, 104, 197, 65]	[0.23974556, 0.23949878, 0.119627535, 0.09948959, 0.077936724, 0.07527418, 0.07520307, 0.07322465]
[50, 145, 226, 149, 239, 242, 66, 144]	[0.1648897, 0.16315855, 0.124966264, 0.12035514, 0.115047954, 0.11375162, 0.110533126, 0.087297626]
[119, 189, 188, 64, 131, 218, 155, 6]	[0.18518308, 0.18460251, 0.16346869, 0.12014382, 0.09977381, 0.08295131, 0.082218066, 0.08165877]
[65, 41, 105, 255, 70, 92, 106, 111]	[0.17576617, 0.17194633, 0.14605927, 0.13832821, 0.104678616, 0.092705406, 0.09045486, 0.080061145]
[215, 198, 37, 99, 71, 29, 57, 167]	[0.36246708, 0.1923405, 0.08549527, 0.081176616, 0.07499259, 0.06860106, 0.06757193, 0.067354925]
[253, 121, 99, 46, 131, 217, 195, 48]	[0.23223054, 0.12423324, 0.1222979, 0.11616888, 0.108246766, 0.102800295, 0.097876444, 0.096145965]
[23, 215, 220, 87, 114, 80, 153, 57]	[0.16445026, 0.14021634, 0.13250683, 0.12989241, 0.12528999, 0.11582355, 0.096622206, 0.09519832]
[205, 143, 25, 5, 187, 132, 11, 93]	[0.20384638, 0.1679388, 0.14362656, 0.12163196, 0.10665557, 0.092093915, 0.08354716, 0.08065957]
[228, 144, 90, 15, 235, 173, 167, 64]	[0.20524292, 0.18005686, 0.14437269, 0.11751375, 0.105267346, 0.089540616, 0.08080408, 0.0772018]
[42, 112, 158, 133, 222, 224, 185, 110]	[0.41328505, 0.17285112, 0.09150009, 0.068250954, 0.06607962, 0.06587437, 0.06133354, 0.060825285]
[29, 252, 119, 46, 139, 35, 54, 72]	[0.24234456, 0.18825042, 0.15608002, 0.11493184, 0.08352176, 0.08100852, 0.0694974, 0.0643655]
[205, 141, 254, 102, 66, 81, 1, 182]	[0.23375016, 0.21312961, 0.12205041, 0.12019877, 0.09220283, 0.08215448, 0.07555527, 0.060958475]
[88, 125, 34, 109, 116, 233, 3, 138]	[0.36480552, 0.13531509, 0.124764785, 0.10266104, 0.072833985, 0.071017414, 0.06588218, 0.06271997]
[46, 134, 176, 117, 216, 209, 8, 168]	[0.15757778, 0.15350205, 0.150793, 0.14484832, 0.133331, 0.10927368, 0.07583704, 0.074837126]
[95, 39, 50, 19, 159, 157, 227, 35]	[0.24487647, 0.12454618, 0.1170397, 0.107935295, 0.102533445, 0.10143839, 0.10087895, 0.10075159]
