[126, 214, 200, 67, 116, 30, 167, 95]	[0.23677787, 0.21023911, 0.18394288, 0.15399016, 0.063320965, 0.054899503, 0.05322225, 0.04360721]
[158, 94, 214, 188, 88, 209, 13, 138]	[0.7545195, 0.08578956, 0.045721605, 0.02614356, 0.02343422, 0.022819698, 0.020869618, 0.020702282]
[42, 6, 153, 79, 151, 1, 90, 61]	[0.36901236, 0.20515652, 0.09564882, 0.08922484, 0.07294086, 0.06659157, 0.05551199, 0.045912985]
[39, 163, 11, 198, 201, 68, 29, 206]	[0.36172086, 0.16059549, 0.113140315, 0.086263135, 0.07827319, 0.069216944, 0.0673057, 0.0634843]
[201, 170, 152, 110, 206, 160, 220, 230]	[0.17412867, 0.16916423, 0.1491907, 0.14532949, 0.105433054, 0.088143185, 0.085925154, 0.08268555]
[137, 146, 191, 64, 4, 99, 239, 97]	[0.17247649, 0.15938754, 0.15291955, 0.13566825, 0.11438077, 0.098452844, 0.08536129, 0.081353225]
[31, 194, 47, 207, 15, 246, 105, 102]	[0.21853408, 0.17516772, 0.16917571, 0.13767992, 0.08144869, 0.077817544, 0.073648915, 0.066527516]
[166, 15, 33, 35, 200, 25, 21, 46]	[0.2028036, 0.16918066, 0.14192286, 0.11794115, 0.09887365, 0.097417496, 0.08785347, 0.08400712]
[193, 50, 91, 225, 172, 240, 16, 63]	[0.21087687, 0.19790316, 0.11648846, 0.102153726, 0.09765223, 0.09267172, 0.09113758, 0.091116205]
[221, 100, 72, 121, 58, 142, 143, 225]	[0.23227054, 0.16764386, 0.1283794, 0.12080077, 0.11831755, 0.111767255, 0.064817555, 0.05600303]
[130, 49, 70, 25, 59, 240, 162, 106]	[0.26541227, 0.17321643, 0.112325355, 0.1012702, 0.09148108, 0.09099469, 0.083897814, 0.08140217]
[88, 191, 123, 200, 237, 41, 33, 229]	[0.29469687, 0.21242014, 0.1284415, 0.09048596, 0.07956788, 0.07130399, 0.06480932, 0.058274366]
[167, 247, 101, 82, 13, 22, 20, 158]	[0.3641309, 0.12414297, 0.118145704, 0.09201787, 0.08371126, 0.081171885, 0.07032455, 0.066354856]
[194, 155, 56, 120, 68, 87, 64, 244]	[0.17777883, 0.16433193, 0.12992153, 0.12615761, 0.11829304, 0.10273359, 0.10138694, 0.07939657]
[140, 242, 66, 220, 145, 144, 49, 149]	[0.1655706, 0.15398641, 0.14934108, 0.14521042, 0.13020268, 0.11201264, 0.07615342, 0.06752277]
[188, 6, 191, 18, 155, 131, 189, 140]	[0.22195898, 0.16957307, 0.1307465, 0.11236205, 0.09948846, 0.094140664, 0.0907712, 0.08095912]
[92, 105, 65, 41, 40, 255, 23, 60]	[0.34368026, 0.13870691, 0.12737262, 0.09941243, 0.09017464, 0.07324801, 0.06417646, 0.06322863]
[215, 167, 198, 245, 126, 37, 121, 144]	[0.48723772, 0.11869874, 0.09516468, 0.07517407, 0.061937585, 0.05696959, 0.056919657, 0.04789802]
[195, 253, 217, 46, 121, 82, 209, 131]	[0.2942877, 0.20409569, 0.15720068, 0.08708327, 0.07656229, 0.06400602, 0.06242297, 0.054341342]
