"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_wmma_gfx1100_ldsstage",2046,140948923,68889.991691,28.79,12120,1172236,115666.286861
"gemm_gate_up_mq4g256v2_wmma_gfx1100_ldsstage",704,114094473,162066.012784,23.30,156359,189799,3806.889606
"gemm_qkvza_mq4g256v2_wmma",576,55445592,96259.708333,11.32,84400,326359,26924.938613
"gemm_mq4g256v2_residual_wmma",139,28997375,208614.208633,5.92,45600,778117,124450.755070
"gemm_gate_up_mq4g256v2_wmma",64,23557236,368081.812500,4.81,318639,697677,80163.667422
"gated_delta_net_q8_fast",1104,22732047,20590.622283,4.64,14280,67560,3831.906951
"gemm_qkv_mq4g256v2_wmma",192,18812137,97979.880208,3.84,86039,277719,21366.500758
"topk_logsumexp_batched_f32",11,13696189,1245108.090909,2.80,1204756,1295035,27325.788184
"attention_flash_q8_0_tile_batched",176,10708760,60845.227273,2.19,22000,83040,19934.612305
"dflash_gdn_pre_replay_gfx1100",528,8851528,16764.257576,1.81,9400,20640,2545.543288
"dflash_gdn_pre_capture_gfx1100",528,8706132,16488.886364,1.78,15120,31560,873.980027
"fused_rmsnorm_mq_rotate_f16",1408,8398921,5965.142756,1.72,5160,9000,385.646157
"dflash_state_bulk_copy_gfx1100",22,5467822,248537.363636,1.12,247439,249439,533.439205
"__amd_rocclr_fillBufferUnAligned",1161,4484464,3862.587425,0.9159,1320,317879,12691.387884
"argmax_f32_batched",11,2707791,246162.818182,0.5530,240559,252319,4060.911248
"gated_norm_mq_rotate_f16_batched_gfx1100",528,2457347,4654.066288,0.5019,4000,5920,482.063919
"fused_silu_mul_mq_rotate_f16_batched_gfx1100",704,2186949,3106.461648,0.4466,2760,5080,258.532066
"__amd_rocclr_copyBuffer",570,2138471,3751.703509,0.4367,1480,55640,3175.605008
"convert_f32_to_f16",905,1897031,2096.166851,0.3874,1480,16080,801.925305
"mq_rotate_x",714,1650233,2311.250700,0.3370,1720,11680,676.199998
"rmsnorm_residual_dual_gfx1100",110,1207355,10975.954545,0.2466,10359,12320,425.734603
"fused_rmsnorm_mq_rotate",128,912958,7132.484375,0.1865,5320,17120,1946.157393
"rmsnorm_f32",231,890599,3855.406926,0.1819,2160,11360,2857.401836
"qwen35_fa_prep_batched_gfx1100",176,819040,4653.636364,0.1673,4200,5120,161.069155
"attention_q8_0_flash_prefill_wmma",16,815395,50962.187500,0.1665,44839,79759,8559.845203
"rope_batched_f32",110,784837,7134.881818,0.1603,3600,11120,2265.694299
"attention_dflash_sliding_f32",55,776517,14118.490909,0.1586,7120,23520,4891.699768
"attention_flash_asym_reduce_batched",176,754077,4284.528409,0.1540,3760,4920,337.137478
"gemv_mq4g256v2",1,742918,742918.000000,0.1517,742918,742918,0.00000000e+00
"sigmoid_mul_mq_rotate_f16_batched_gfx1100",176,706758,4015.670455,0.1443,3720,4400,129.980721
"kv_cache_write_q8_0_pair_batched_gfx1100",192,514037,2677.276042,0.1050,2360,4120,176.494373
"conv1d_silu_split_f32",48,458640,9555.000000,0.0937,7880,19000,2352.431065
"fused_silu_mul_mq_rotate",64,320198,5003.093750,0.0654,4040,10440,1312.188705
"dynamic_conv_residual_gfx1100",110,318079,2891.627273,0.0650,2400,3560,272.059251
"dynamic_causal_conv_f32",110,270280,2457.090909,0.0552,2120,3400,290.141836
"gated_norm_f32",48,227599,4741.645833,0.0465,3720,10560,1250.012349
"fused_qk_l2_norm_scale_interleave_f32_batched",48,223679,4659.979167,0.0457,3880,10120,1163.213094
"embedding_q8_batched",23,181959,7911.260870,0.0372,7080,15080,1590.628298
"silu_mul_f32",55,180080,3274.181818,0.0368,2800,4080,296.189947
"fused_sigmoid_alpha_gate_f32",48,144279,3005.812500,0.0295,2400,16720,2074.383883
"rope_partial_halfsplit_batched_f32",16,129120,8070.000000,0.0264,7000,12560,1319.515062
"dflash_hidden_commit5_gfx1100",12,123879,10323.250000,0.0253,7960,18160,3854.690110
"dflash_hidden_scatter5_gfx1100",12,106839,8903.250000,0.0218,6200,14320,1900.843694
"deinterleave_f32_batched",16,52959,3309.937500,0.0108,2880,5160,534.768544
"sigmoid_mul_f32",16,44759,2797.437500,9.141e-03,2520,4000,374.811592
