"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma",768,154844120,201619.947917,30.41,177920,692117,56777.638371
"gemm_mq4g256v2_residual_wmma_gfx1100_ldsstage",2046,142090788,69448.087977,27.90,11640,1177755,115389.587722
"gemm_qkvza_mq4g256v2_wmma",576,55473902,96308.857639,10.89,84960,330679,27301.866358
"gemm_mq4g256v2_residual_wmma",139,29317680,210918.561151,5.76,46440,593318,122467.389120
"gated_delta_net_q8_fast",1104,22797000,20649.456522,4.48,14840,67680,3883.557705
"gemm_qkv_mq4g256v2_wmma",192,18884082,98354.593750,3.71,86640,284239,21675.687375
"topk_logsumexp_batched_f32",11,13646946,1240631.454545,2.68,1202796,1280715,26870.949709
"attention_flash_q8_0_tile_batched",176,10737195,61006.789773,2.11,23040,83320,19837.388148
"dflash_gdn_pre_replay_gfx1100",528,8878201,16814.774621,1.74,9440,20520,2559.783161
"dflash_gdn_pre_capture_gfx1100",528,8686446,16451.602273,1.71,15120,21360,665.692316
"fused_rmsnorm_mq_rotate_f16",1408,8565079,6083.152699,1.68,5120,9440,509.323986
"dflash_state_bulk_copy_gfx1100",22,5468899,248586.318182,1.07,247879,250319,602.558939
"__amd_rocclr_fillBufferUnAligned",1161,4586421,3950.405685,0.9007,1320,375758,14003.983671
"argmax_f32_batched",11,2706268,246024.363636,0.5314,238399,252119,4825.947001
"fused_silu_mul_mq_rotate_f16_batched_gfx1100",704,2650902,3765.485795,0.5206,3240,5160,226.721183
"gated_norm_mq_rotate_f16_batched_gfx1100",528,2414232,4572.409091,0.4741,3880,18360,766.372940
"__amd_rocclr_copyBuffer",570,2217711,3890.721053,0.4355,1480,55760,3825.405963
"convert_f32_to_f16",905,1888715,2086.977901,0.3709,1440,8640,651.118387
"mq_rotate_x",714,1638716,2295.120448,0.3218,1800,10240,649.888245
"rmsnorm_residual_dual_gfx1100",110,1206277,10966.154545,0.2369,10320,12320,418.303217
"fused_rmsnorm_mq_rotate",128,933476,7292.781250,0.1833,5480,17240,1998.312623
"rmsnorm_f32",231,889518,3850.727273,0.1747,2120,11280,2848.858551
"qwen35_fa_prep_batched_gfx1100",176,862794,4902.238636,0.1694,4640,5400,120.076309
"attention_q8_0_flash_prefill_wmma",16,825639,51602.437500,0.1621,44760,87280,10270.788824
"rope_batched_f32",110,777679,7069.809091,0.1527,3560,11240,2396.795293
"attention_dflash_sliding_f32",55,766958,13944.690909,0.1506,7080,22360,4660.120948
"attention_flash_asym_reduce_batched",176,755356,4291.795455,0.1483,3800,4960,335.202426
"gemv_mq4g256v2",1,743197,743197.000000,0.1459,743197,743197,0.00000000e+00
"sigmoid_mul_mq_rotate_f16_batched_gfx1100",176,668720,3799.545455,0.1313,3520,4680,171.846504
"kv_cache_write_q8_0_pair_batched_gfx1100",192,512680,2670.208333,0.1007,2480,4600,181.615664
"conv1d_silu_split_f32",48,472519,9844.145833,0.0928,8160,19160,2492.157811
"fused_silu_mul_mq_rotate",64,333438,5209.968750,0.0655,4280,10600,1334.552074
"dynamic_conv_residual_gfx1100",110,315756,2870.509091,0.0620,2360,3920,286.081009
"dynamic_causal_conv_f32",110,268360,2439.636364,0.0527,2120,3840,236.704931
"gated_norm_f32",48,235038,4896.625000,0.0462,3960,10760,1347.091550
"fused_qk_l2_norm_scale_interleave_f32_batched",48,226958,4728.291667,0.0446,3880,10200,1333.374394
"embedding_q8_batched",23,184120,8005.217391,0.0362,7400,15040,1548.644186
"silu_mul_f32",55,180960,3290.181818,0.0355,2720,4480,354.795146
"rope_partial_halfsplit_batched_f32",16,129999,8124.937500,0.0255,6920,13440,1537.074514
"fused_sigmoid_alpha_gate_f32",48,126560,2636.666667,0.0249,2200,4240,496.512661
"dflash_hidden_commit5_gfx1100",12,110160,9180.000000,0.0216,8440,12520,1144.091541
"dflash_hidden_scatter5_gfx1100",12,106480,8873.333333,0.0209,6560,14400,1878.477785
"deinterleave_f32_batched",16,53040,3315.000000,0.0104,2840,5760,680.685929
"sigmoid_mul_f32",16,45880,2867.500000,9.010e-03,2440,4480,478.602131
