    PID    PPID STAT     ELAPSED COMMAND
      1       0 Ss      15:40:50 /usr/lib/systemd/systemd --switched-root --system --deserialize=50
      2       0 S       15:40:50 [kthreadd]
      3       2 S       15:40:50 [pool_workqueue_release]
      4       2 I<      15:40:50 [kworker/R-rcu_gp]
      5       2 I<      15:40:50 [kworker/R-sync_wq]
      6       2 I<      15:40:50 [kworker/R-kvfree_rcu_reclaim]
      7       2 I<      15:40:50 [kworker/R-slub_flushwq]
      8       2 I<      15:40:50 [kworker/R-netns]
     10       2 I<      15:40:50 [kworker/0:0H-kblockd]
     13       2 I<      15:40:50 [kworker/R-mm_percpu_wq]
     14       2 S       15:40:50 [ksoftirqd/0]
     15       2 I       15:40:50 [rcu_preempt]
     16       2 S       15:40:50 [rcu_exp_par_gp_kthread_worker/1]
     17       2 S       15:40:50 [rcu_exp_gp_kthread_worker]
     18       2 S       15:40:50 [migration/0]
     19       2 S       15:40:50 [kprobe-optimizer]
     20       2 S       15:40:50 [idle_inject/0]
     21       2 S       15:40:50 [cpuhp/0]
     22       2 S       15:40:50 [cpuhp/1]
     23       2 S       15:40:50 [idle_inject/1]
     24       2 S       15:40:50 [migration/1]
     25       2 S       15:40:50 [ksoftirqd/1]
     27       2 I<      15:40:50 [kworker/1:0H-kblockd]
     28       2 S       15:40:50 [cpuhp/2]
     29       2 S       15:40:50 [idle_inject/2]
     30       2 S       15:40:50 [migration/2]
     31       2 S       15:40:50 [ksoftirqd/2]
     33       2 I<      15:40:50 [kworker/2:0H-kblockd]
     34       2 S       15:40:50 [cpuhp/3]
     35       2 S       15:40:50 [idle_inject/3]
     36       2 S       15:40:50 [migration/3]
     37       2 S       15:40:50 [ksoftirqd/3]
     39       2 I<      15:40:50 [kworker/3:0H-kblockd]
     40       2 S       15:40:50 [cpuhp/4]
     41       2 S       15:40:50 [idle_inject/4]
     42       2 S       15:40:50 [migration/4]
     43       2 S       15:40:50 [ksoftirqd/4]
     45       2 I<      15:40:50 [kworker/4:0H-kblockd]
     46       2 S       15:40:50 [cpuhp/5]
     47       2 S       15:40:50 [idle_inject/5]
     48       2 S       15:40:50 [migration/5]
     49       2 S       15:40:50 [ksoftirqd/5]
     51       2 I<      15:40:50 [kworker/5:0H-kblockd]
     52       2 S       15:40:50 [cpuhp/6]
     53       2 S       15:40:50 [idle_inject/6]
     54       2 S       15:40:50 [migration/6]
     55       2 S       15:40:50 [ksoftirqd/6]
     57       2 I<      15:40:50 [kworker/6:0H-kblockd]
     58       2 S       15:40:50 [cpuhp/7]
     59       2 S       15:40:50 [idle_inject/7]
     60       2 S       15:40:50 [migration/7]
     61       2 S       15:40:50 [ksoftirqd/7]
     63       2 I<      15:40:50 [kworker/7:0H-kblockd]
     64       2 S       15:40:50 [cpuhp/8]
     65       2 S       15:40:50 [idle_inject/8]
     66       2 S       15:40:50 [migration/8]
     67       2 S       15:40:50 [ksoftirqd/8]
     69       2 I<      15:40:50 [kworker/8:0H-kblockd]
     70       2 S       15:40:50 [cpuhp/9]
     71       2 S       15:40:50 [idle_inject/9]
     72       2 S       15:40:50 [migration/9]
     73       2 S       15:40:50 [ksoftirqd/9]
     75       2 I<      15:40:50 [kworker/9:0H-kblockd]
     76       2 S       15:40:50 [cpuhp/10]
     77       2 S       15:40:50 [idle_inject/10]
     78       2 S       15:40:50 [migration/10]
     79       2 S       15:40:50 [ksoftirqd/10]
     81       2 I<      15:40:50 [kworker/10:0H-kblockd]
     82       2 S       15:40:50 [cpuhp/11]
     83       2 S       15:40:50 [idle_inject/11]
     84       2 S       15:40:50 [migration/11]
     85       2 S       15:40:50 [ksoftirqd/11]
     87       2 I<      15:40:50 [kworker/11:0H-kblockd]
     88       2 S       15:40:50 [cpuhp/12]
     89       2 S       15:40:50 [idle_inject/12]
     90       2 S       15:40:50 [migration/12]
     91       2 S       15:40:50 [ksoftirqd/12]
     93       2 I<      15:40:50 [kworker/12:0H-kblockd]
     94       2 S       15:40:50 [cpuhp/13]
     95       2 S       15:40:50 [idle_inject/13]
     96       2 S       15:40:50 [migration/13]
     97       2 S       15:40:50 [ksoftirqd/13]
     99       2 I<      15:40:50 [kworker/13:0H-kblockd]
    100       2 S       15:40:50 [cpuhp/14]
    101       2 S       15:40:50 [idle_inject/14]
    102       2 S       15:40:50 [migration/14]
    103       2 S       15:40:50 [ksoftirqd/14]
    105       2 I<      15:40:50 [kworker/14:0H-kblockd]
    106       2 S       15:40:50 [cpuhp/15]
    107       2 S       15:40:50 [idle_inject/15]
    108       2 S       15:40:50 [migration/15]
    109       2 S       15:40:50 [ksoftirqd/15]
    111       2 I<      15:40:50 [kworker/15:0H-kblockd]
    112       2 S       15:40:50 [cpuhp/16]
    113       2 S       15:40:50 [idle_inject/16]
    114       2 S       15:40:50 [migration/16]
    115       2 S       15:40:50 [ksoftirqd/16]
    117       2 I<      15:40:50 [kworker/16:0H-kblockd]
    118       2 S       15:40:50 [rcu_exp_par_gp_kthread_worker/2]
    119       2 S       15:40:50 [cpuhp/17]
    120       2 S       15:40:50 [idle_inject/17]
    121       2 S       15:40:50 [migration/17]
    122       2 S       15:40:50 [ksoftirqd/17]
    124       2 I<      15:40:50 [kworker/17:0H-kblockd]
    125       2 S       15:40:50 [cpuhp/18]
    126       2 S       15:40:50 [idle_inject/18]
    127       2 S       15:40:50 [migration/18]
    128       2 S       15:40:50 [ksoftirqd/18]
    130       2 I<      15:40:50 [kworker/18:0H-kblockd]
    131       2 S       15:40:50 [cpuhp/19]
    132       2 S       15:40:50 [idle_inject/19]
    133       2 S       15:40:50 [migration/19]
    134       2 S       15:40:50 [ksoftirqd/19]
    136       2 I<      15:40:50 [kworker/19:0H-kblockd]
    137       2 S       15:40:50 [cpuhp/20]
    138       2 S       15:40:50 [idle_inject/20]
    139       2 S       15:40:50 [migration/20]
    140       2 S       15:40:50 [ksoftirqd/20]
    142       2 I<      15:40:50 [kworker/20:0H-kblockd]
    143       2 S       15:40:50 [cpuhp/21]
    144       2 S       15:40:50 [idle_inject/21]
    145       2 S       15:40:50 [migration/21]
    146       2 S       15:40:50 [ksoftirqd/21]
    148       2 I<      15:40:50 [kworker/21:0H-kblockd]
    149       2 S       15:40:50 [cpuhp/22]
    150       2 S       15:40:50 [idle_inject/22]
