"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma",960,199768128,208091.800000,28.50,185840,732758,53534.536871
"gemm_mq4g256v2_residual_wmma_gfx1100_ks4_lds",1820,185398898,101867.526374,26.45,46760,1314157,151094.527313
"gemm_qkvza_mq4g256v2_wmma",720,72839715,101166.270833,10.39,90160,367839,28617.847098
"gemm_mq4g256v2_overwrite_ksplit_lds_dflash_gfx1100_ks4",699,33307408,47650.082976,4.75,13880,206600,39861.437991
"gemm_mq4g256v2_residual_wmma",139,28949012,208266.273381,4.13,47480,765558,124282.716649
"gated_delta_net_q8_fast",1392,25335478,18200.774425,3.61,9720,67560,5417.717103
"gemm_qkv_mq4g256v2_wmma",240,22968458,95701.908333,3.28,82320,304760,20356.553718
"attention_q8_0_flash_prefill_wmma",240,20313035,84637.645833,2.90,44000,113719,16617.651159
"topk_logsumexp_batched_f32",14,17456120,1246865.714286,2.49,1215237,1290837,22850.112773
"dflash_gdn_pre_capture_gfx1100",672,16227077,24147.436012,2.32,22680,26200,600.350178
"convert_f32_to_f16",2087,13809963,6617.136080,1.97,1760,26720,4709.094414
"fused_rmsnorm_mq_rotate_f16",1792,10879535,6071.169085,1.55,5160,8720,488.849215
"dflash_gdn_pre_replay_gfx1100",672,7392412,11000.613095,1.05,2840,26600,10454.351763
"dflash_state_bulk_copy_gfx1100",28,6976303,249153.678571,0.9953,247400,250719,906.745464
"rmsnorm_f32",733,4285670,5846.753070,0.6114,2160,12440,4389.378490
"__amd_rocclr_fillBufferUnAligned",551,3730111,6769.711434,0.5322,1720,342199,19505.488871
"argmax_f32_batched",14,3402110,243007.857143,0.4854,234719,246759,3163.656425
"fused_silu_mul_mq_rotate",960,3288938,3425.977083,0.4692,2800,18880,841.700434
"mq_rotate_x",1088,2969833,2729.625919,0.4237,1639,16840,536.254065
"__amd_rocclr_copyBuffer",672,2792117,4154.936012,0.3984,1480,55880,5756.261741
"deinterleave_f32_batched",240,2782636,11594.316667,0.3970,2800,12880,2252.656500
"gated_norm_f32",720,2646592,3675.822222,0.3776,3160,10720,552.291473
"gemv_mq4g256v2",89,2404955,27021.966292,0.3431,3840,741999,89409.661855
"rope_partial_halfsplit_batched_f32",240,1728315,7201.312500,0.2466,6680,13280,481.822167
"rmsnorm_residual_dual_gfx1100",140,1537036,10978.828571,0.2193,10320,12120,365.963908
"mq_rotate_x_f16_dflash_gfx1100",699,1512759,2164.175966,0.2158,1720,11000,565.143960
"rope_batched_f32",140,1007679,7197.707143,0.1438,4000,11360,2402.901701
"fused_rmsnorm_mq_rotate",128,927159,7243.429688,0.1323,5520,17360,1893.997346
"attention_dflash_sliding_f32",70,749517,10707.385714,0.1069,7720,17800,2252.781548
"kv_cache_write_q8_0_pair_batched_gfx1100",240,638838,2661.825000,0.0911,2480,4360,161.367621
"sigmoid_mul_f32",240,616358,2568.158333,0.0879,2320,4320,179.542282
"conv1d_silu_split_f32",48,460319,9589.979167,0.0657,7920,18720,2183.997803
"dynamic_conv_residual_gfx1100",140,425000,3035.714286,0.0606,2480,3920,265.012944
"dynamic_causal_conv_f32",140,345040,2464.571429,0.0492,2160,3400,243.598241
"embedding_q8_batched",29,234520,8086.896552,0.0335,7120,15160,1777.094546
"fused_qk_l2_norm_scale_interleave_f32_batched",48,227080,4730.833333,0.0324,4040,10200,1191.422953
"silu_mul_f32",70,213918,3055.971429,0.0305,2640,3799,283.249927
"dflash_hidden_commit5_gfx1100",15,131519,8767.933333,0.0188,8160,12360,1020.471072
"fused_sigmoid_alpha_gate_f32",48,127760,2661.666667,0.0182,2280,4080,381.884094
"dflash_hidden_scatter5_gfx1100",15,107239,7149.266667,0.0153,4240,18320,4267.302535
