"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma",960,199340183,207646.023958,29.01,185959,730119,54722.671168
"gemm_mq4g256v2_residual_wmma_gfx1100_ks4_lds",1820,184654950,101458.763736,26.87,45600,1323117,151943.462102
"gemm_qkvza_mq4g256v2_wmma",720,73277713,101774.601389,10.66,89840,375039,28927.933996
"gemm_mq4g256v2_overwrite_ksplit_lds_dflash_gfx1100_ks4",699,33552913,48001.306152,4.88,14600,208839,40124.934186
"gemm_mq4g256v2_residual_wmma",139,29302696,210810.762590,4.26,46280,600718,122195.450912
"gated_delta_net_q8_fast",1392,24922936,17904.408046,3.63,9520,68120,5378.557987
"gemm_qkv_mq4g256v2_wmma",240,23139749,96415.620833,3.37,86440,288599,19815.505535
"attention_q8_0_flash_prefill_wmma",240,20469797,85290.820833,2.98,44200,114320,16832.132275
"topk_logsumexp_batched_f32",14,17633761,1259554.357143,2.57,1211557,1315077,30916.782081
"dflash_gdn_pre_capture_gfx1100",672,16287639,24237.558036,2.37,22640,29800,657.181665
"fused_rmsnorm_mq_rotate_f16",1792,11064857,6174.585379,1.61,5200,9800,527.529649
"dflash_gdn_pre_replay_gfx1100",672,7503545,11165.989583,1.09,2920,26880,10589.198798
"dflash_state_bulk_copy_gfx1100",28,7069662,252487.928571,1.03,250679,255239,1243.722278
"rmsnorm_f32",733,4375232,5968.938608,0.6367,2160,26080,4550.592095
"__amd_rocclr_fillBufferUnAligned",551,3633590,6594.537205,0.5287,1760,233360,14021.193541
"argmax_f32_batched",14,3423312,244522.285714,0.4981,233599,247759,4022.361485
"fused_silu_mul_mq_rotate_f16_batched_gfx1100",896,3265151,3644.141741,0.4751,3200,4960,299.982571
"gated_norm_mq_rotate_f16_batched_gfx1100",672,3082394,4586.895833,0.4485,4040,6480,405.860883
"deinterleave_f32_batched",240,2825592,11773.300000,0.4112,2800,13720,2283.649683
"__amd_rocclr_copyBuffer",672,2720078,4047.735119,0.3958,1480,55200,4997.806022
"gemv_mq4g256v2",89,2383714,26783.303371,0.3469,3800,743439,89216.162355
"rope_partial_halfsplit_batched_f32",240,1691674,7048.641667,0.2462,6600,13480,535.781146
"rmsnorm_residual_dual_gfx1100",140,1545957,11042.550000,0.2250,10359,12240,388.619885
"mq_rotate_x_f16_dflash_gfx1100",699,1492799,2135.620887,0.2172,1760,6360,425.950877
"rope_batched_f32",140,1024120,7315.142857,0.1490,4520,10960,2420.751856
"fused_rmsnorm_mq_rotate",128,935957,7312.164062,0.1362,5560,17160,2070.387813
"sigmoid_mul_mq_rotate_f16_batched_gfx1100",224,903599,4033.924107,0.1315,3760,4560,148.486712
"convert_f32_to_f16",295,779517,2642.430508,0.1134,1880,8480,887.205542
"attention_dflash_sliding_f32",70,754036,10771.942857,0.1097,7520,17720,2144.514876
"kv_cache_write_q8_0_pair_batched_gfx1100",240,645600,2690.000000,0.0939,2480,4640,182.277548
"mq_rotate_x",192,552718,2878.739583,0.0804,1920,11200,955.506765
"conv1d_silu_split_f32",48,471079,9814.145833,0.0685,8160,18640,2438.269686
"dynamic_conv_residual_gfx1100",140,407116,2907.971429,0.0592,2400,3680,276.956583
"fused_silu_mul_mq_rotate",64,355359,5552.484375,0.0517,4520,10440,1285.760265
"dynamic_causal_conv_f32",140,347760,2484.000000,0.0506,2200,3480,253.086842
"gated_norm_f32",48,251120,5231.666667,0.0365,4400,10640,1253.908499
"silu_mul_f32",70,231480,3306.857143,0.0337,2880,3960,236.272643
"embedding_q8_batched",29,231320,7976.551724,0.0337,7200,15120,1403.893250
"fused_qk_l2_norm_scale_interleave_f32_batched",48,221000,4604.166667,0.0322,3720,10080,1242.104997
"dflash_hidden_commit5_gfx1100",15,162640,10842.666667,0.0237,8400,18080,3829.523407
"fused_sigmoid_alpha_gate_f32",48,136440,2842.500000,0.0199,2320,9040,1026.604608
"dflash_hidden_scatter5_gfx1100",15,100040,6669.333333,0.0146,4280,14200,3113.416742
"sigmoid_mul_f32",16,45400,2837.500000,6.606e-03,2480,4440,492.388735
