"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1472,2739055273,1860771.245245,48.86,39601,7324699,2734884.118730
"gemm_mq4g256v2_residual_mmq_iu4_full_add",512,1307080488,2552891.578125,23.32,70801,7442341,2933274.337060
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",64,394201016,6159390.875000,7.03,20881,12447449,6185668.282936
"fused_silu_mul_mq_rotate_awq_i4_gfx12",256,337140766,1316956.117188,6.01,38121,2633356,1276567.002112
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",512,222306963,434193.287109,3.97,17960,884012,415542.315662
"gated_norm_mq_rotate_awq_i4_gfx12",192,167963792,874811.416667,3.00,25560,1782544,849919.256908
"gdn_chunk_scan",1632,151799573,93014.444240,2.71,24480,103362,16808.080969
"gdn_chunk_prep",192,90397580,470820.729167,1.61,36880,907333,431403.866508
"deinterleave_q_rmsnorm_f32_batched",64,45511935,711123.984375,0.8118,15961,1414619,699512.294801
"gdn_chunk_kkt_solve",1632,35529219,21770.354779,0.6338,12560,23080,2061.115208
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",64,27140961,424077.515625,0.4841,18000,847371,407920.693969
"fused_gate_up_mq4g256v2",128,20125355,157229.335938,0.3590,151682,164282,3994.948514
"gemv_mq4g256v2_residual",256,14521793,56725.753906,0.2590,29080,83001,23664.634527
"rope_partial_halfsplit_batched_f32",64,12488648,195135.125000,0.2228,7680,398085,186977.055227
"rmsnorm_f32",134,7903345,58980.186567,0.1410,1920,228883,93480.581745
"fused_qkvza_mq4g256v2",96,7276259,75794.364583,0.1298,72561,82681,3956.422648
"gemv_mq4g256v2_multirow_r2",6,6494327,1082387.833333,0.1158,1076974,1090135,5846.743621
"kv_cache_write_fp8_e4m3_batched",128,5836199,45595.304688,0.1041,1960,104641,43960.042752
"__amd_rocclr_fillBufferUnAligned",2592,4486660,1730.964506,0.0800,1040,13800,931.121353
"fused_qkv_mq4g256v2",32,2337430,73044.687500,0.0417,72121,74401,455.822789
"fused_rmsnorm_mq_rotate_awq",256,1697104,6629.312500,0.0303,6120,7840,270.664419
"attention_flash_fp8_e4m3_tile",32,1282814,40087.937500,0.0229,39361,40641,393.973876
"gated_delta_net_q8_fast",96,734290,7648.854167,0.0131,7200,8521,278.015599
"__amd_rocclr_copyBuffer",188,523365,2783.856383,9.336e-03,1920,12600,867.669228
"embedding_q8_batched",4,399525,99881.250000,7.127e-03,7440,192683,106627.185287
"fused_silu_mul_mq_rotate_awq",128,275286,2150.671875,4.910e-03,1760,2800,258.054322
"gated_norm_f32",96,258761,2695.427083,4.616e-03,2400,3360,219.878279
"rope_partial_halfsplit_f32",32,220843,6901.343750,3.939e-03,6520,7400,251.045891
"rotate_x_mq_awq",128,207960,1624.687500,3.710e-03,1400,2400,208.186536
"conv1d_silu_split_qknorm_b256",96,201484,2098.791667,3.594e-03,1680,2800,263.692481
"fused_sigmoid_alpha_gate_f32",96,183681,1913.343750,3.276e-03,1520,2400,272.378754
"repeat_interleave_qk_f32",96,155640,1621.250000,2.776e-03,1320,2200,221.683748
"kv_cache_write_fp8_e4m3",64,113762,1777.531250,2.029e-03,1400,2200,223.899493
"attention_flash_q8_0_reduce",32,101120,3160.000000,1.804e-03,2880,3560,226.729909
"deinterleave_f32",32,58960,1842.500000,1.052e-03,1600,2120,204.702774
"sigmoid_mul_f32",32,44043,1376.343750,7.856e-04,1080,2040,250.862719
"embedding_q8",2,12800,6400.000000,2.283e-04,6200,6600,282.842712
"mq_rotate_x",6,12520,2086.666667,2.233e-04,1600,2360,281.045667
