"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_atiled_set",736,2829448053,3844358.767663,47.93,65161,7639388,3056085.367234
"gemm_mq4g256v2_residual_mmq_iu4_atiled_add",256,1409817364,5507099.078125,23.88,2674078,8261278,2636638.089720
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",64,385152981,6018015.328125,6.52,21000,12253774,6043159.575676
"fused_silu_mul_mq_rotate_awq_i4_atiled_gfx12",128,335892757,2624162.164062,5.69,2464115,2680798,27094.842184
"fused_rmsnorm_mq_rotate_awq_i4_atiled_gfx12",256,228277950,891710.742188,3.87,786571,923053,23478.366493
"gated_norm_mq_rotate_awq_i4_atiled_gfx12",96,168224027,1752333.614583,2.85,1541342,1796666,36791.384962
"gdn_chunk_scan",1632,147829042,90581.520833,2.50,24441,105202,16164.788101
"gdn_chunk_prep",192,91389421,475986.567708,1.55,37361,919493,436668.698870
"gemm_mq4g256v2_residual_mmq_iu4_full_set",736,63815096,86705.293478,1.08,39641,148522,41595.965510
"deinterleave_q_rmsnorm_f32_batched",64,45326640,708228.750000,0.7678,16120,1411500,696689.578318
"gemm_mq4g256v2_residual_mmq_iu4_full_add",256,35174297,137399.597656,0.5958,71241,209963,60277.988054
"gdn_chunk_kkt_solve",1632,34526210,21155.765931,0.5848,12680,22401,1878.623658
"sigmoid_mul_rotate_x_mq_awq_i4_atiled_gfx12",32,27187583,849611.968750,0.4605,836251,869172,8324.052055
"fused_gate_up_mq4g256v2",128,20148969,157413.820312,0.3413,151762,163923,3876.789715
"gemv_mq4g256v2_residual",256,14538773,56792.082031,0.2463,29321,82521,23682.113032
"rope_partial_halfsplit_batched_f32",64,13145948,205405.437500,0.2227,7760,412685,197135.858934
"rmsnorm_f32",134,7679148,57307.074627,0.1301,1880,222404,90540.791356
"fused_qkvza_mq4g256v2",96,7232506,75338.604167,0.1225,72441,82001,3853.911122
"gemv_mq4g256v2_multirow_r2",6,6501011,1083501.833333,0.1101,1077615,1090615,5354.341058
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,5391237,42119.039062,0.0913,38001,46641,2079.416103
"kv_cache_write_fp8_e4m3_batched",128,5174754,40427.765625,0.0877,1920,100882,39464.678665
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,5012558,19580.304688,0.0849,18040,21880,544.889607
"__amd_rocclr_fillBufferUnAligned",2592,4405346,1699.593364,0.0746,1040,13000,764.095780
"gated_norm_mq_rotate_awq_i4_gfx12",96,2658714,27694.937500,0.0450,25560,30520,784.903706
"fused_qkv_mq4g256v2",32,2340672,73146.000000,0.0396,72201,73841,459.649235
"fused_rmsnorm_mq_rotate_awq",256,1702062,6648.679688,0.0288,6200,7840,264.591848
"attention_flash_fp8_e4m3_tile",32,1288981,40280.656250,0.0218,39281,41121,411.358380
"gated_delta_net_q8_fast",96,743571,7745.531250,0.0126,7161,8440,307.179939
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,626092,19565.375000,0.0106,18081,24121,938.862172
"embedding_q8_batched",4,507287,126821.750000,8.593e-03,7160,299564,144503.360391
"__amd_rocclr_copyBuffer",188,500691,2663.250000,8.481e-03,1640,12401,813.452881
"fused_silu_mul_mq_rotate_awq",128,279443,2183.148438,4.734e-03,1800,2840,265.753041
"gated_norm_f32",96,259484,2702.958333,4.395e-03,2440,3440,216.049795
"rope_partial_halfsplit_f32",32,222481,6952.531250,3.769e-03,6560,7401,255.967234
"rotate_x_mq_awq",128,209125,1633.789062,3.542e-03,1360,2320,205.427676
"conv1d_silu_split_qknorm_b256",96,201080,2094.583333,3.406e-03,1680,2800,254.119395
"fused_sigmoid_alpha_gate_f32",96,182202,1897.937500,3.086e-03,1520,2520,273.206181
"repeat_interleave_qk_f32",96,141282,1471.687500,2.393e-03,1160,2120,233.250907
"kv_cache_write_fp8_e4m3",64,117763,1840.046875,1.995e-03,1480,2320,226.733984
"attention_flash_q8_0_reduce",32,102041,3188.781250,1.728e-03,2920,3600,209.728970
"deinterleave_f32",32,60203,1881.343750,1.020e-03,1600,2320,200.794006
"sigmoid_mul_f32",32,52120,1628.750000,8.829e-04,1320,2000,227.237974
"embedding_q8",2,12920,6460.000000,2.189e-04,6400,6520,84.852814
"mq_rotate_x",6,12640,2106.666667,2.141e-04,1640,2360,266.132799
