"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
13,34048,"; attention_fp8_e4m3_fa2_gqa_packet_gfx1201",0,0,0,0,""
13,34048,"s_load_b128 s[4:7], s[0:1], 0x30",94,94,0,9800,""
13,34056,"s_wait_kmcnt 0x0",94,32856,32762,0,""
13,34060,"s_cmp_lg_u32 s4, 24",94,240,146,0,""
13,34064,"s_cselect_b32 s2, -1, 0",94,363,269,0,""
13,34068,"s_cmp_lg_u32 s5, 4",94,162,68,0,""
13,34072,"s_cselect_b32 s3, -1, 0",94,94,0,44,""
13,34076,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,34080,"s_or_b32 s2, s2, s3",94,103,9,110,""
13,34084,"s_cmp_lg_u32 s6, 0x100",94,103,9,0,""
13,34092,"s_cselect_b32 s3, -1, 0",94,94,0,49,""
13,34096,"s_or_b32 s2, s2, s3",94,94,0,106,""
13,34100,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,34104,"s_and_b32 vcc_lo, exec_lo, s2",94,94,0,172,""
13,34108,"s_cbranch_vccnz 3035",94,94,0,914,""
13,34112,"s_and_b32 s21, ttmp7, 0xffff",94,94,0,200,""
13,34120,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
13,34124,"s_cmp_gt_i32 s21, 3",94,94,0,102,""
13,34128,"s_cbranch_scc1 3030",94,94,0,765,""
13,34132,"s_load_b32 s25, s[0:1], 0x40",94,103,9,184,""
13,34140,"s_lshr_b32 s2, ttmp7, 7",94,94,0,7,""
13,34144,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,34148,"s_and_b32 s2, s2, 0x1fffe00",94,103,9,94,""
13,34156,"s_cmp_gt_i32 s7, 0x200",94,102,8,0,""
13,34164,"s_cselect_b32 s23, s2, 0",94,94,0,10,""
13,34168,"s_cmp_le_i32 s7, s23",94,94,0,106,""
13,34172,"s_cbranch_scc1 3019",94,94,0,845,""
13,34176,"s_sub_co_i32 s2, s7, s23",94,96,2,186,""
13,34180,"s_lshl_b32 s22, ttmp9, 7",94,94,0,0,""
13,34184,"s_min_i32 s24, s2, 0x200",94,94,0,2,""
13,34192,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
13,34196,"s_mul_i32 s20, s24, 6",94,188,0,99,""
13,34200,"s_cmp_ge_i32 s22, s20",94,94,0,9,""
13,34204,"s_cbranch_scc1 3011",94,94,0,930,""
13,34208,"v_lshrrev_b32_e32 v8, 5, v0",94,94,0,384,""
13,34212,"s_wait_kmcnt 0x0",94,737,643,0,""
13,34216,"v_dual_mov_b32 v151, s25 :: v_dual_and_b32 v10, 15, v0",94,94,0,133,""
13,34224,"s_clause 0x1",94,281,187,0,""
13,34228,"s_load_b256 s[8:15], s[0:1], 0x0",94,95,1,358,""
13,34236,"s_load_b128 s[16:19], s[0:1], 0x20",94,94,0,0,""
13,34244,"v_lshlrev_b32_e32 v11, 4, v8",94,145,51,0,""
13,34248,"v_bfe_u32 v7, v0, 4, 1",94,118,24,31,""
13,34256,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
13,34260,"v_or_b32_e32 v1, v11, v10",94,94,0,521,""
13,34264,"v_add_nc_u32_e32 v3, s22, v1",94,94,0,681,""
13,34268,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(VALU_DEP_3)",0,0,0,0,""
13,34272,"v_mul_hi_i32 v1, 0x2aaaaaab, v3",94,376,0,598,""
13,34284,"v_cmp_le_i32_e64 s1, s20, v3",94,355,261,76,""
13,34292,"v_cmp_gt_i32_e64 s0, s20, v3",94,116,22,3,""
13,34300,"v_lshrrev_b32_e32 v2, 31, v1",94,94,0,159,""
13,34304,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
13,34308,"v_add_nc_u32_e32 v2, v1, v2",94,94,0,621,""
13,34312,"v_mul_lo_u32 v1, v2, 6",94,376,0,716,""
13,34320,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
13,34324,"v_sub_nc_u32_e32 v1, v3, v1",94,94,0,505,""
13,34328,"v_mad_co_u64_u32 v[145:146], null, s21, 6, v[1:2]",94,376,0,591,""
