"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
14,34048,"; attention_fp8_e4m3_fa2_gqa_packet_gfx1201",0,0,0,0,""
14,34048,"s_load_b128 s[4:7], s[0:1], 0x30",8,8,0,5772,""
14,34056,"s_wait_kmcnt 0x0",8,6012,6004,0,""
14,34060,"s_cmp_lg_u32 s4, 24",8,49,41,0,""
14,34064,"s_cselect_b32 s2, -1, 0",8,37,29,0,""
14,34068,"s_cmp_lg_u32 s5, 4",8,13,5,0,""
14,34072,"s_cselect_b32 s3, -1, 0",8,8,0,5,""
14,34076,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
14,34080,"s_or_b32 s2, s2, s3",8,12,4,9,""
14,34084,"s_cmp_lg_u32 s6, 0x100",8,12,4,0,""
14,34092,"s_cselect_b32 s3, -1, 0",8,8,0,6,""
14,34096,"s_or_b32 s2, s2, s3",8,8,0,9,""
14,34100,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
14,34104,"s_and_b32 vcc_lo, exec_lo, s2",8,8,0,18,""
14,34108,"s_cbranch_vccnz 3035",8,8,0,77,""
14,34112,"s_and_b32 s21, ttmp7, 0xffff",8,8,0,28,""
14,34120,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
14,34124,"s_cmp_gt_i32 s21, 3",8,8,0,12,""
14,34128,"s_cbranch_scc1 3030",8,8,0,67,""
14,34132,"s_load_b32 s25, s[0:1], 0x40",8,8,0,16,""
14,34140,"s_lshr_b32 s2, ttmp7, 7",8,8,0,2,""
14,34144,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
14,34148,"s_and_b32 s2, s2, 0x1fffe00",8,9,1,9,""
14,34156,"s_cmp_gt_i32 s7, 0x200",8,8,0,0,""
14,34164,"s_cselect_b32 s23, s2, 0",8,8,0,4,""
14,34168,"s_cmp_le_i32 s7, s23",8,8,0,10,""
14,34172,"s_cbranch_scc1 3019",8,8,0,74,""
14,34176,"s_sub_co_i32 s2, s7, s23",8,8,0,16,""
14,34180,"s_lshl_b32 s22, ttmp9, 7",8,9,1,0,""
14,34184,"s_min_i32 s24, s2, 0x200",8,8,0,0,""
14,34192,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
14,34196,"s_mul_i32 s20, s24, 6",8,16,0,8,""
14,34200,"s_cmp_ge_i32 s22, s20",8,8,0,0,""
14,34204,"s_cbranch_scc1 3011",8,8,0,80,""
14,34208,"v_lshrrev_b32_e32 v8, 5, v0",8,8,0,15,""
14,34212,"s_wait_kmcnt 0x0",8,455,447,0,""
14,34216,"v_dual_mov_b32 v151, s25 :: v_dual_and_b32 v10, 15, v0",8,8,0,5,""
14,34224,"s_clause 0x1",8,24,16,0,""
14,34228,"s_load_b256 s[8:15], s[0:1], 0x0",8,8,0,27,""
14,34236,"s_load_b128 s[16:19], s[0:1], 0x20",8,8,0,0,""
14,34244,"v_lshlrev_b32_e32 v11, 4, v8",8,25,17,0,""
14,34248,"v_bfe_u32 v7, v0, 4, 1",8,8,0,1,""
14,34256,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34260,"v_or_b32_e32 v1, v11, v10",8,8,0,65,""
14,34264,"v_add_nc_u32_e32 v3, s22, v1",8,8,0,83,""
14,34268,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(VALU_DEP_3)",0,0,0,0,""
14,34272,"v_mul_hi_i32 v1, 0x2aaaaaab, v3",8,32,0,40,""
14,34284,"v_cmp_le_i32_e64 s1, s20, v3",8,29,21,5,""
14,34292,"v_cmp_gt_i32_e64 s0, s20, v3",8,14,6,1,""
14,34300,"v_lshrrev_b32_e32 v2, 31, v1",8,8,0,11,""
14,34304,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34308,"v_add_nc_u32_e32 v2, v1, v2",8,8,0,65,""
14,34312,"v_mul_lo_u32 v1, v2, 6",8,32,0,75,""
14,34320,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34324,"v_sub_nc_u32_e32 v1, v3, v1",8,8,0,34,""
14,34328,"v_mad_co_u64_u32 v[145:146], null, s21, 6, v[1:2]",8,32,0,39,""
14,34336,"v_add_nc_u32_e32 v146, s23, v2",8,8,0,19,""
14,34340,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34344,"v_mad_co_u64_u32 v[1:2], null, v146, 24, v[145:146]",8,32,0,33,""
14,34352,"v_lshlrev_b32_e32 v9, 8, v1",8,8,0,38,""
14,34356,"s_and_saveexec_b32 s26, s0",8,8,0,100,""
14,34360,"s_cbranch_execz 569",8,8,0,64,""
14,34364,"v_mov_b32_e32 v2, 0",8,9,1,16,""
14,34368,"s_mov_b32 s2, 0x76543210",8,8,0,0,""
14,34376,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(VALU_DEP_2)",0,0,0,0,""
14,34380,"v_lshlrev_b64_e32 v[136:137], 10, v[1:2]",8,16,0,26,""
14,34384,"v_lshlrev_b32_e32 v1, 5, v7",8,8,0,0,""
14,34388,"s_wait_kmcnt 0x0",8,24,16,0,""
14,34392,"v_add_co_u32 v3, vcc_lo, s8, v136",8,8,0,2,""
14,34400,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_2)",0,0,0,0,""
14,34404,"v_add_co_ci_u32_e64 v4, null, s9, v137, vcc_lo",8,10,2,32,""
14,34412,"v_add_co_u32 v132, vcc_lo, v3, v1",8,8,0,1,""
14,34420,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
14,34424,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
14,34428,"v_add_co_ci_u32_e64 v133, null, 0, v4, vcc_lo",8,8,0,139,""
14,34436,"s_clause 0x1f",8,24,16,0,""
14,34440,"global_load_b128 v[3:6], v[132:133], off",8,12051,12035,107,""
14,34452,"global_load_b128 v[12:15], v[132:133], off offset:16",8,38,22,0,""
14,34464,"global_load_b128 v[16:19], v[132:133], off offset:64",8,26,10,0,""
14,34476,"global_load_b128 v[20:23], v[132:133], off offset:80",8,37,21,0,""
14,34488,"global_load_b128 v[24:27], v[132:133], off offset:128",8,789,773,0,""
14,34500,"global_load_b128 v[28:31], v[132:133], off offset:144",8,47,31,0,""
14,34512,"global_load_b128 v[32:35], v[132:133], off offset:192",8,40,24,0,""
14,34524,"global_load_b128 v[36:39], v[132:133], off offset:208",8,42,26,0,""
14,34536,"global_load_b128 v[40:43], v[132:133], off offset:256",8,72,56,0,""
14,34548,"global_load_b128 v[44:47], v[132:133], off offset:272",8,5397,5381,0,""
14,34560,"global_load_b128 v[48:51], v[132:133], off offset:320",8,43,27,0,""
14,34572,"global_load_b128 v[52:55], v[132:133], off offset:336",8,706,690,0,""
14,34584,"global_load_b128 v[56:59], v[132:133], off offset:384",8,2355,2339,0,""
14,34596,"global_load_b128 v[60:63], v[132:133], off offset:400",8,48,32,0,""
14,34608,"global_load_b128 v[64:67], v[132:133], off offset:448",8,43,27,0,""
14,34620,"global_load_b128 v[68:71], v[132:133], off offset:464",8,49,33,0,""
14,34632,"global_load_b128 v[72:75], v[132:133], off offset:512",8,43,27,0,""
14,34644,"global_load_b128 v[76:79], v[132:133], off offset:528",8,49,33,0,""
14,34656,"global_load_b128 v[80:83], v[132:133], off offset:576",8,43,27,0,""
14,34668,"global_load_b128 v[84:87], v[132:133], off offset:592",8,47,31,1,""
14,34680,"global_load_b128 v[88:91], v[132:133], off offset:640",8,5461,5445,1,""
14,34692,"global_load_b128 v[92:95], v[132:133], off offset:656",8,55,39,0,""
14,34704,"global_load_b128 v[96:99], v[132:133], off offset:704",8,43,27,0,""
14,34716,"global_load_b128 v[100:103], v[132:133], off offset:720",8,48,32,0,""
14,34728,"global_load_b128 v[104:107], v[132:133], off offset:768",8,3263,3247,0,""
14,34740,"global_load_b128 v[108:111], v[132:133], off offset:784",8,63,47,0,""
14,34752,"global_load_b128 v[112:115], v[132:133], off offset:832",8,41,25,0,""
14,34764,"global_load_b128 v[116:119], v[132:133], off offset:848",8,47,31,0,""
14,34776,"global_load_b128 v[120:123], v[132:133], off offset:896",8,534,518,0,""
14,34788,"global_load_b128 v[124:127], v[132:133], off offset:912",8,49,33,0,""
14,34800,"global_load_b128 v[128:131], v[132:133], off offset:960",8,41,25,0,""
14,34812,"global_load_b128 v[132:135], v[132:133], off offset:976",8,16,0,22,""
14,34824,"s_wait_loadcnt 0x1f",8,62170,62162,0,""
14,34828,"v_max3_num_f32 v1, |v3|, 0, |v4|",8,8,0,0,""
14,34836,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34840,"v_max3_num_f32 v1, v1, |v5|, |v6|",8,8,0,32,""
14,34848,"s_wait_loadcnt 0x1e",8,79,71,0,""
14,34852,"v_max3_num_f32 v1, v1, |v12|, |v13|",8,8,0,0,""
14,34860,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34864,"v_max3_num_f32 v1, v1, |v14|, |v15|",8,8,0,32,""
14,34872,"s_wait_loadcnt 0x1d",8,77,69,0,""
14,34876,"v_max3_num_f32 v1, v1, |v16|, |v17|",8,8,0,0,""
14,34884,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_1) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34888,"v_max3_num_f32 v1, v1, |v18|, |v19|",8,8,0,32,""
