"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4",800,3729136649,4661420.811250,54.47,254160,11112078,3440407.679347
"gemm_mq4g256v2_residual_mmq_iu4_full_set_occ3_col_gfx1151",272,1180326055,4339434.025735,17.24,441119,6485599,2071321.902093
"gemm_mq4g256v2_residual_mmq_iu4_full_add_occ3_col_gfx1151",128,533105442,4164886.265625,7.79,2111080,6199599,1942953.312518
"attention_q8_0_fa2_gqa_gfx11",384,518990037,1351536.554688,7.58,162360,2667600,714475.303795
"fused_silu_mul_mq_rotate_awq_i4",192,244776405,1274877.109375,3.58,554960,2043280,544391.267587
"fused_rmsnorm_mq_rotate_awq_i4",384,169148531,440490.966146,2.47,190280,972480,187452.293936
"gdn_chunk_scan",1152,124782582,108318.213542,1.82,65880,126200,12339.621909
"rotate_x_mq_awq_i4",192,79439345,413746.588542,1.16,181280,660200,175020.991949
"gated_norm_f32",144,52057868,361512.972222,0.7603,145080,578240,166902.808985
"gdn_chunk_prep",144,51709230,359091.875000,0.7552,160680,539040,148840.363871
"gdn_chunk_kkt_solve",1152,34595275,30030.620660,0.5053,23520,42120,4127.018553
"gemm_mq4g256v2_residual_wmma_gfx11_mw4_lds",288,24666917,85649.017361,0.3603,34760,181760,40757.284955
"deinterleave_q_rmsnorm_f32_batched",48,22186918,462227.458333,0.3241,208320,731840,203094.679012
"convert_f32_to_f16",144,20585756,142956.638889,0.3007,65240,217440,60745.102119
"sigmoid_mul_f32",48,19617279,408693.312500,0.2865,326240,530520,87159.539839
"rope_partial_halfsplit_batched_f32",48,13859357,288736.604167,0.2024,133760,449200,118773.600753
"attention_fa2_q_preconvert_gfx11",384,9425359,24545.205729,0.1377,11120,36800,4840.085825
"__amd_rocclr_fillBufferUnAligned",992,6454639,6506.692540,0.0943,1440,361440,19352.798796
"kv_cache_write_q8_0_pair_batched_gfx1100",384,4770640,12423.541667,0.0697,6760,22480,2824.783262
"rmsnorm_f32",51,3046920,59743.529412,0.0445,11520,106880,28325.229095
"gemv_mq4g256v2",3,2255400,751800.000000,0.0329,742640,769600,15417.444665
"__amd_rocclr_copyBuffer",185,1221800,6604.324324,0.0178,2320,55320,6484.174607
"embedding_q8_batched",3,501559,167186.333333,7.326e-03,40480,329479,147749.436007
"mq_rotate_x",3,10400,3466.666667,1.519e-04,3200,3760,280.950767
