"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set_occ3_col_gfx1151",2448,4699639898,1919787.540033,51.75,166320,13516578,3349323.859071
"gemm_mq4g256v2_residual_mmq_iu4_full_add_occ3_col_gfx1151",1152,2186048908,1897611.899306,24.07,574480,12785340,2673029.876813
"attention_q8_0_fa2_gqa_gfx11",512,977129409,1908455.876953,10.76,158920,3694994,1040069.069889
"fused_silu_mul_mq_rotate_awq_i4",576,338852733,588285.994792,3.73,308399,2807595,736117.727415
"fused_rmsnorm_mq_rotate_awq_i4",1152,245567097,213165.882812,2.70,116480,2140077,257476.172383
"gdn_chunk_scan",1536,167871686,109291.462240,1.85,96520,123560,5365.123512
"rotate_x_mq_awq_i4",576,115646629,200775.397569,1.27,105879,948079,239936.912985
"gdn_chunk_prep",432,67363263,155933.479167,0.7418,80480,743279,202258.900845
"gated_norm_f32",432,62879021,145553.289352,0.6925,65000,795678,220772.377293
"gdn_chunk_kkt_solve",1536,47801856,31121.000000,0.5264,25440,42439,4617.281672
"gemm_mq4g256v2_residual_wmma_gfx11_mw4_lds",864,47725723,55238.105324,0.5256,30760,326319,65218.958888
"convert_f32_to_f16",432,28542032,66069.518519,0.3143,36520,301160,82214.125693
"deinterleave_q_rmsnorm_f32_batched",144,27505838,191012.763889,0.3029,92160,1009438,272763.473015
"sigmoid_mul_f32",144,18196416,126364.000000,0.2004,48280,732479,213946.222612
"rope_partial_halfsplit_batched_f32",144,13029498,90482.625000,0.1435,26480,596959,175006.933872
"attention_fa2_q_preconvert_gfx11",512,9511624,18577.390625,0.1047,8880,55320,10999.663532
"__amd_rocclr_fillBufferUnAligned",1568,7727589,4928.309311,0.0851,1440,374840,15949.986107
"gemv_mq4g256v2",9,6784351,753816.777778,0.0747,748759,777319,9621.062542
"kv_cache_write_q8_0_pair_batched_gfx1100",512,6446953,12591.705078,0.0710,10520,25920,3235.705006
"rmsnorm_f32",153,4380991,28633.928105,0.0482,10760,129799,34045.282157
"__amd_rocclr_copyBuffer",203,1290440,6356.847291,0.0142,2360,55160,5207.980729
"embedding_q8_batched",9,641919,71324.333333,7.069e-03,24160,441919,138976.312834
"mq_rotate_x",9,28600,3177.777778,3.150e-04,3080,3280,60.369234
