"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2785392650,10880440.039062,29.08,10152178,11226109,344509.581714
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2040341499,3985041.990234,21.30,1853858,6144380,1915742.131999
"attention_q8_0_fa2_gqa_gfx1201",512,1229757666,2401870.441406,12.84,220722,4255162,1227468.012864
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,965878390,5030616.614583,10.08,4446043,5157331,116323.800039
"gated_delta_net_q8_fast",1536,857059102,557981.186198,8.95,461445,575486,12502.315315
"fused_silu_mul_mq_rotate_awq",256,360993624,1410131.343750,3.77,1404413,1430814,6317.719332
"pack_f32_to_fp8_mq4v2_gfx12",1024,352291043,344034.221680,3.68,207242,682647,193996.061436
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,294990750,4609230.468750,3.08,4390283,4661047,33605.108221
"gdn_pre_batched_gfx1201",192,250758071,1306031.619792,2.62,1223091,1327333,13254.756140
"fused_rmsnorm_mq_rotate_awq",512,138908893,271306.431641,1.45,267643,323963,4184.994136
"gated_norm_f32",192,93707183,488058.244792,0.9784,486724,498285,1621.124255
"rotate_x_mq_awq",256,77119676,301248.734375,0.8052,298483,315684,3316.094608
"deinterleave_q_rmsnorm_f32_batched",64,44008423,687631.609375,0.4595,679047,694007,3340.649270
"sigmoid_mul_f32",64,31136101,486501.578125,0.3251,483045,490084,2435.704356
"attention_fa2_q_preconvert_gfx1201",512,16367445,31967.666016,0.1709,26440,38160,2482.984819
"kv_cache_write_q8_0_batched",1024,14260622,13926.388672,0.1489,7520,24240,5561.660697
"rope_partial_halfsplit_batched_f32",64,11351195,177362.421875,0.1185,155002,198802,19470.992149
"rmsnorm_f32",68,6484146,95355.088235,0.0677,11880,105642,20929.018613
"gemv_mq4g256v2_multirow_r2",4,4338321,1084580.250000,0.0453,1080451,1088890,4615.775152
"__amd_rocclr_fillBufferUnAligned",704,1718219,2440.651989,0.0179,1120,12960,1777.723111
"embedding_q8_batched",4,538645,134661.250000,5.624e-03,132481,137281,2333.595277
"__amd_rocclr_copyBuffer",190,533403,2807.384211,5.569e-03,2000,6240,553.023259
"mq_rotate_x",4,9480,2370.000000,9.898e-05,2120,2600,245.220989
