"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_gfx12_s2bt8",2048,3738563396,1825470.408203,31.92,1693134,1909576,25705.328124
"gemm_mq4g256v2_residual_wmma_fp8_gfx12_s2bt8",4096,2813340334,686850.667480,24.02,375963,1033608,281498.182192
"attention_q8_0_fa2_gqa_gfx1201",512,1340786725,2618724.072266,11.45,199961,5043563,1459977.684234
"gemm_qkvza_mq4g256v2_wmma_fp8_gfx12_s2bt8",1536,1295872315,843666.871745,11.06,784926,896727,13166.351052
"gated_delta_net_q8_fast",1536,817719297,532369.333984,6.98,494724,559205,7949.186365
"gemm_qkv_mq4g256v2_wmma_fp8_gfx12_s2bt8",512,406555295,794053.310547,3.47,743087,822327,10231.507523
"fused_silu_mul_mq_rotate_awq",2048,363491313,177485.992676,3.10,173322,186882,3813.262530
"pack_f32_to_fp8_mq4v2_gfx12",8192,284924421,34780.813110,2.43,20200,79841,20681.440249
"conv1d_silu_split_f32",1536,257544745,167672.360026,2.20,159641,175721,2129.100011
"fused_rmsnorm_mq_rotate_awq",4096,100102975,24439.202881,0.8547,21961,29681,937.837344
"gated_norm_f32",1536,80340697,52305.141276,0.6860,50441,62400,1262.123462
"fused_qk_l2_norm_scale_interleave_f32_batched",1536,44294009,28837.245443,0.3782,19721,31280,1593.633930
"deinterleave_q_rmsnorm_f32_batched",512,42438146,82887.003906,0.3623,79481,94281,1585.037197
"gemv_mq4g256v2_multirow_r2",32,34990176,1093443.000000,0.2988,1083050,1103169,5250.867019
"rotate_x_mq_awq",2048,30798732,15038.443359,0.2630,14241,20841,341.127051
"sigmoid_mul_f32",512,17083235,33365.693359,0.1459,27321,40360,3464.742234
"kv_cache_write_q8_0_batched",1024,15309443,14950.627930,0.1307,7760,20760,5446.558832
"rmsnorm_f32",544,7082829,13019.906250,0.0605,11400,23801,1323.797891
"rope_partial_halfsplit_batched_f32",512,6525776,12745.656250,0.0557,10200,15560,1402.751110
"attention_fa2_q_preconvert_gfx1201",512,6481426,12659.035156,0.0553,11760,14801,732.865471
"fused_sigmoid_alpha_gate_f32",1536,4515836,2939.997396,0.0386,2640,4600,136.224848
"__amd_rocclr_fillBufferUnAligned",704,1751856,2488.431818,0.0150,1120,13120,1890.899868
"__amd_rocclr_copyBuffer",274,832887,3039.733577,7.111e-03,1721,8521,1005.079385
"embedding_q8_batched",32,690083,21565.093750,5.892e-03,19680,23480,1416.085161
"mq_rotate_x",32,73441,2295.031250,6.271e-04,2000,2521,172.986198
