unix_ns,elapsed_ms,current_gfxclk_mhz,average_gfxclk_mhz,current_uclk_mhz,average_uclk_mhz,average_socket_power_w
1789863511758350575,1.478149,1,1,96,193,19
1789863511858038617,101.164598,52,52,96,193,23
1789863511958108938,201.236332,6,6,96,193,19
1789863512057904963,301.032447,0,0,96,193,19
1789863512157959750,401.087385,0,0,96,193,19
1789863512258139016,501.26631,0,0,96,193,19
1789863512358037397,601.164751,0,0,96,193,19
1789863512457968687,701.096441,0,0,96,193,19
1789863512557901950,801.029534,0,0,96,193,19
1789863512658054345,901.181739,0,0,96,193,19
1789863512757866645,1000.993939,0,0,96,193,19
1789863512857895042,1101.022677,0,0,96,193,19
1789863512957951032,1201.078205,0,0,96,193,19
1789863513057969524,1301.096998,0,0,96,193,19
1789863513158036310,1401.163914,0,0,96,193,19
1789863513258126120,1501.253774,0,0,96,193,19
1789863513357916597,1601.044051,0,0,96,193,19
1789863513457935150,1701.062193,0,0,96,193,19
1789863513557926691,1801.053804,0,0,96,193,19
1789863513658090724,1901.218448,0,0,96,193,19
1789863513757965288,2001.093754,0,0,96,193,19
1789863513858056310,2101.184506,0,0,96,193,19
1789863513958068503,2201.196788,0,0,96,193,19
1789863514057871099,2300.999574,0,0,96,193,19
1789863514157898294,2401.026679,0,0,96,193,19
1789863514257510251,2500.638676,0,0,96,193,19
1789863514357511327,2600.639522,0,0,96,193,19
1789863514457512232,2700.640438,0,0,96,193,19
1789863514557358274,2800.486789,0,0,96,193,19
1789863514657446391,2900.574857,0,0,96,193,19
1789863514757486817,3000.615002,0,0,96,193,19
1789863514857480351,3100.608667,0,0,96,193,19
1789863514957468728,3200.597154,0,0,96,193,19
1789863515057473410,3300.601685,0,0,96,193,19
1789863515157489789,3400.618174,0,0,96,193,19
1789863515257493579,3500.621924,0,0,96,193,19
1789863515357490649,3600.619205,0,0,96,193,19
1789863515457491164,3700.619679,0,0,96,193,19
1789863515557541404,3800.66969,0,0,96,193,19
1789863515657468448,3900.596764,0,0,96,193,19
1789863515757451487,4000.579792,0,0,96,193,19
1789863515857202494,4100.331,0,0,96,193,19
1789863515957510745,4200.638931,0,0,96,193,19
1789863516057511341,4300.639746,0,0,96,193,19
1789863516157540489,4400.668764,0,0,96,193,19
1789863516257504750,4500.633135,0,0,96,193,19
1789863516357472435,4600.60071,0,0,96,193,19
1789863516457473321,4700.601646,0,0,96,193,18
1789863516557481858,4800.610173,0,0,96,193,19
1789863516657387770,4900.516305,0,0,96,193,19
1789863516757478451,5000.606957,0,0,96,193,19
1789863516857435120,5100.563415,0,0,96,193,19
1789863516957201570,5200.330076,0,0,96,193,19
1789863517057554780,5300.683235,0,0,96,193,19
1789863517157455474,5400.583789,0,0,96,193,19
1789863517257209646,5500.338141,0,0,96,193,19
1789863517357416463,5600.544939,0,0,96,193,19
1789863517457254412,5700.382918,0,0,96,193,19
1789863517557451315,5800.5796,0,0,96,193,19
1789863517657403937,5900.532233,0,0,96,193,19
1789863517757441939,6000.570265,0,0,96,193,19
1789863517857385058,6100.513523,0,0,96,193,19
1789863517957447397,6200.575932,0,0,96,193,19
1789863518057444616,6300.573112,0,0,96,193,19
1789863518157500235,6400.62826,0,0,96,193,19
1789863518257502943,6500.631139,0,0,96,193,19
1789863518357197225,6600.325741,0,0,96,193,19
1789863518457530083,6700.658348,0,0,96,193,19
1789863518557455485,6800.58391,0,0,96,193,19
1789863518657395448,6900.523934,0,0,96,193,19
1789863518757476025,7000.60436,0,0,96,193,19
1789863518857456579,7100.584905,0,0,96,193,19
1789863518957499849,7200.628074,12,12,96,193,19
1789863519057290446,7300.418622,24,24,96,193,20
1789863519157401819,7400.529864,0,0,96,193,19
1789863519257823683,7500.951027,0,0,96,193,18
1789863519358437446,7601.56468,0,0,96,193,19
1789863519457646514,7700.774268,0,0,96,193,18
1789863519557605385,7800.732699,19,19,96,193,19
1789863519657645961,7900.773546,78,78,96,193,24
1789863519757606536,8000.73415,72,72,96,193,24
1789863519857451836,8100.57949,72,72,96,193,24
1789863519957519553,8200.647057,35,35,96,193,23
