"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",368,959556680,2607490.978261,47.64,54040,5218046,2097576.392642
"gemm_mq4g256v2_residual_mmq_iu4_full_add",128,458012814,3578225.109375,22.74,1674375,5414888,1719249.461521
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",192,136409444,710465.854167,6.77,125561,1273092,340353.498948
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,115793739,1809277.171875,5.75,1670935,1861697,36034.948883
"gdn_chunk_scan",576,98545361,171085.696181,4.89,92561,189242,20256.890969
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,77624176,606438.875000,3.85,519925,635446,25474.183278
"gated_norm_mq_rotate_awq_i4_gfx12",48,57467623,1197242.145833,2.85,1023969,1219771,44493.133094
"gdn_chunk_prep",48,30911515,643989.895833,1.53,641165,663446,3230.332980
"deinterleave_q_rmsnorm_f32_batched",16,16207743,1012983.937500,0.8047,1007689,1017769,2742.671580
"gdn_chunk_kkt_solve",576,12284789,21327.758681,0.6100,15640,26280,1226.077404
"fused_gate_up_mq4g256v2",64,10082208,157534.500000,0.5006,152041,165641,3776.027223
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,9524445,595277.812500,0.4729,583085,609886,6557.848725
"gemv_mq4g256v2_residual",128,7320704,57193.000000,0.3635,31360,81920,23376.190274
"kv_cache_write_fp8_e4m3_batched",384,5361331,13961.799479,0.2662,3720,16520,3032.723017
"rope_partial_halfsplit_batched_f32",16,3925954,245372.125000,0.1949,243122,247803,1146.297278
"fused_qkvza_mq4g256v2",48,3646907,75977.229167,0.1811,72641,105441,5698.868306
"rmsnorm_f32",50,2685304,53706.080000,0.1333,2280,164882,74659.605004
"gemv_mq4g256v2_multirow_r2",2,2137178,1068589.000000,0.1061,1067729,1069449,1216.223664
"fused_qkv_mq4g256v2",16,1170212,73138.250000,0.0581,72640,73601,292.725469
"__amd_rocclr_copyBuffer",375,1136765,3031.373333,0.0564,1520,7480,1434.607940
"attention_flash_fp8_e4m3_tile",16,940091,58755.687500,0.0467,55681,62641,1759.833959
"fused_rmsnorm_mq_rotate_awq",128,876290,6846.015625,0.0435,6480,8160,209.339756
"__amd_rocclr_fillBufferUnAligned",288,618164,2146.402778,0.0307,1440,12160,1185.601124
"gated_delta_net_q8_fast",48,386803,8058.395833,0.0192,7761,10160,351.386296
"attention_flash_q8_0_reduce",16,278522,17407.625000,0.0138,17120,17960,243.172333
"fused_silu_mul_mq_rotate_awq",64,149082,2329.406250,7.402e-03,2040,2800,209.207857
"gated_norm_f32",48,141081,2939.187500,7.005e-03,2760,3520,148.043216
"embedding_q8_batched",1,124961,124961.000000,6.204e-03,124961,124961,0.00000000e+00
"rotate_x_mq_awq",64,115280,1801.250000,5.724e-03,1640,2320,123.436250
"rope_partial_halfsplit_f32",16,113841,7115.062500,5.652e-03,6960,7320,125.520500
"conv1d_silu_split_qknorm_b256",48,106563,2220.062500,5.291e-03,2000,3000,167.283859
"fused_sigmoid_alpha_gate_f32",48,100283,2089.229167,4.979e-03,1880,2560,181.913849
"repeat_interleave_qk_f32",48,85880,1789.166667,4.264e-03,1720,2160,70.855962
"kv_cache_write_fp8_e4m3",32,65520,2047.500000,3.253e-03,1800,2400,119.973115
"sample_topk_partial_fast21",2,52761,26380.500000,2.620e-03,23361,29400,4270.217852
"sample_topk_finalize_fast21",2,33040,16520.000000,1.640e-03,14720,18320,2545.584412
"deinterleave_f32",16,33000,2062.500000,1.638e-03,2000,2240,58.366657
"sigmoid_mul_f32",16,23400,1462.500000,1.162e-03,1360,2040,159.311017
"embedding_q8",1,6720,6720.000000,3.337e-04,6720,6720,0.00000000e+00
"mq_rotate_x",2,4400,2200.000000,2.185e-04,2000,2400,282.842712
"sample_apply_repeat_penalty",1,2320,2320.000000,1.152e-04,2320,2320,0.00000000e+00
