"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,6656,"; gdn_chunk_prep",0,0,0,0,""
3,6656,"s_load_b96 s[28:30], s[0:1], 0x50",60,60,0,16061,""
3,6664,"s_wait_kmcnt 0x0",60,25989,25929,0,""
3,6668,"s_cmp_lt_i32 s28, 1",60,60,0,232,""
3,6672,"s_cbranch_scc1 1227",60,60,0,480,""
3,6676,"s_lshl_b32 s10, ttmp9, 6",60,60,0,226,""
3,6680,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
3,6684,"s_sub_co_i32 s2, s28, s10",60,60,0,68,""
3,6688,"s_cmp_lt_i32 s2, 1",60,60,0,72,""
3,6692,"s_cbranch_scc1 1222",60,60,0,483,""
3,6696,"s_load_b512 s[12:27], s[0:1], 0x0",60,84,24,120,""
3,6704,"v_lshrrev_b32_e32 v8, 5, v0",60,2280,2220,0,""
3,6708,"v_and_b32_e32 v17, 31, v0",60,158,98,0,""
3,6712,"s_min_u32 s31, s2, 64",60,88,28,0,""
3,6716,"s_cmp_lg_u32 ttmp7, 0",60,63,3,0,""
3,6720,"s_mov_b32 s11, 0",60,60,0,4,""
3,6724,"s_cbranch_scc1 528",60,60,0,493,""
3,6728,"v_mbcnt_lo_u32_b32 v2, -1, 0",6,192,186,12,""
3,6736,"v_lshrrev_b32_e32 v0, 3, v0",6,29,23,0,""
3,6740,"v_cmp_eq_u32_e64 s2, 0, v17",6,10,4,0,""
3,6748,"v_cmp_gt_u32_e64 s5, 2, v17",6,26,20,0,""
3,6756,"v_cmp_gt_u32_e64 s6, 4, v17",6,9,3,0,""
3,6764,"v_add_nc_u32_e32 v4, -2, v2",6,6,0,0,""
3,6768,"v_cmp_ne_u32_e32 vcc_lo, 0, v2",6,7,1,0,""
3,6772,"v_cmp_gt_u32_e64 s7, 8, v17",6,8,2,0,""
3,6780,"v_cmp_gt_u32_e64 s8, 16, v17",6,8,2,0,""
3,6788,"v_or_b32_e32 v9, -8, v8",6,6,0,0,""
