unix_ns,elapsed_ms,current_gfxclk_mhz,average_gfxclk_mhz,current_uclk_mhz,average_uclk_mhz,average_socket_power_w
1789863545192779684,1.857503,838,838,96,1091,85
1789863545292176425,101.252672,53,53,96,193,24
1789863545392054564,201.131602,6,6,96,193,20
1789863545492081260,301.158087,0,0,96,193,19
1789863545592077593,401.154751,0,0,96,193,19
1789863545691860044,500.937382,0,0,96,193,19
1789863545792075283,601.152532,0,0,96,193,19
1789863545892146706,701.223734,0,0,96,193,19
1789863545992195694,801.272442,0,0,96,193,19
1789863546092063469,901.140677,0,0,96,193,19
1789863546191856840,1000.934309,0,0,96,193,19
1789863546292083266,1101.160154,0,0,96,193,19
1789863546392027227,1201.104585,0,0,96,193,19
1789863546491884234,1300.961632,0,0,96,193,19
1789863546591896634,1400.973772,0,0,96,193,19
1789863546692140677,1501.217635,0,0,96,193,19
1789863546792124777,1601.201975,0,0,96,193,19
1789863546891945955,1701.023303,0,0,96,193,19
1789863546991967793,1801.045171,0,0,96,193,19
1789863547091979615,1901.056963,0,0,96,193,19
1789863547192002985,2001.080353,0,0,96,193,19
1789863547292106872,2101.184341,0,0,96,193,19
1789863547392125828,2201.202856,0,0,96,193,19
1789863547492135967,2301.212905,0,0,96,193,19
1789863547591966076,2401.043375,0,0,96,193,19
1789863547691957047,2501.034416,0,0,96,193,19
1789863547791946405,2601.023744,0,0,96,193,19
1789863547892178981,2701.255868,0,0,96,193,19
1789863547992161048,2801.238046,0,0,96,193,19
1789863548092116305,2901.193443,0,0,96,193,19
1789863548191970868,3001.048117,0,0,96,193,19
1789863548292043744,3101.120992,0,0,96,193,19
1789863548391988044,3201.065202,0,0,96,193,19
1789863548492052155,3301.129494,0,0,96,193,19
1789863548592095465,3401.172763,0,0,96,193,19
1789863548692169582,3501.24689,0,0,96,193,19
1789863548792267139,3601.344217,0,0,96,193,19
1789863548892044391,3701.121579,0,0,96,193,19
1789863548992055161,3801.13263,0,0,96,193,19
1789863549092169699,3901.247058,0,0,96,193,19
1789863549192257555,4001.334914,0,0,96,193,19
1789863549292009634,4101.087062,0,0,96,193,19
1789863549392253529,4201.330467,0,0,96,193,19
1789863549492255556,4301.332334,0,0,96,193,19
1789863549592257591,4401.334689,0,0,96,193,19
1789863549692043974,4501.121473,0,0,96,193,19
1789863549792093674,4601.171122,0,0,96,193,19
1789863549892257947,4701.335195,0,0,96,193,19
1789863549992287456,4801.364454,0,0,96,193,19
1789863550092269411,4901.346248,0,0,96,193,19
1789863550192082944,5001.160193,0,0,96,193,19
1789863550292301961,5101.378979,0,0,96,193,19
1789863550392182234,5201.259492,0,0,96,193,19
1789863550491553295,5300.630594,0,0,96,193,19
1789863550592421526,5401.498133,0,0,96,193,19
1789863550692140864,5501.218232,0,0,96,193,19
1789863550792104503,5601.181811,0,0,96,193,19
1789863550891528477,5700.605545,0,0,96,193,19
1789863550991541862,5800.61909,0,0,96,193,19
1789863551092091388,5901.168597,0,0,96,193,19
1789863551191546518,6000.623956,0,0,96,193,19
1789863551292421777,6101.498704,0,0,96,193,19
1789863551391784176,6200.861424,0,0,96,193,19
1789863551491370313,6300.448393,0,0,96,193,19
1789863551591546745,6400.624184,0,0,96,193,19
1789863551692307262,6501.38436,0,0,96,193,19
1789863551791793829,6600.870967,0,0,96,193,19
1789863551891548031,6700.625439,0,0,96,193,19
1789863551991760507,6800.837265,0,0,96,193,19
1789863552091575101,6900.652309,0,0,96,193,19
1789863552191594664,7000.671993,0,0,96,193,19
1789863552291607378,7100.684627,0,0,96,193,19
1789863552391624809,7200.702167,0,0,96,193,19
1789863552491835492,7300.91256,0,0,96,193,19
1789863552592401203,7401.478431,0,0,96,193,19
1789863552691683551,7500.761029,0,0,96,193,19
1789863552792216222,7601.2937,0,0,96,193,19
1789863552892438734,7701.515521,0,0,96,193,19
1789863552991777155,7800.854183,0,0,96,193,19
1789863553091789599,7900.866567,0,0,96,193,19
1789863553192395181,8001.47254,0,0,96,193,19
1789863553292465240,8101.542579,0,0,96,193,19
1789863553392490674,8201.567722,0,0,96,193,19
1789863553491547761,8300.6252,0,0,96,193,19
1789863553591703391,8400.780559,52,52,96,193,24
1789863553691331021,8500.409071,5,5,96,193,20
1789863553791298116,8600.376246,0,0,96,193,19
1789863553891429840,8700.507889,0,0,96,193,19
