"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",368,967194356,2628245.532609,48.77,57000,5255812,2117143.139813
"gemm_mq4g256v2_residual_mmq_iu4_full_add",128,460374236,3596673.718750,23.21,1739857,5443054,1724890.568054
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",192,136653429,711736.609375,6.89,126561,1276852,340797.967971
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,117225106,1831642.281250,5.91,1674777,1880298,40473.469273
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,78314083,611828.773438,3.95,546645,636446,24348.243189
"gated_norm_mq_rotate_awq_i4_gfx12",48,58924661,1227597.104167,2.97,1090611,1254173,37999.803673
"gdn_chunk_scan",576,53581362,93023.197917,2.70,54200,102241,10066.604701
"gdn_chunk_prep",48,30923227,644233.895833,1.56,640486,656966,2352.617132
"deinterleave_q_rmsnorm_f32_batched",16,16195200,1012200.000000,0.8166,1003090,1021330,5352.183355
"gdn_chunk_kkt_solve",576,12534964,21762.090278,0.6321,16720,25160,1135.947953
"fused_gate_up_mq4g256v2",64,10025942,156655.343750,0.5056,152121,171602,3790.073900
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,9509655,594353.437500,0.4795,585886,611686,8305.290988
"gemv_mq4g256v2_residual",128,7326983,57242.054688,0.3695,31280,82321,23357.807402
"kv_cache_write_fp8_e4m3_batched",384,5206413,13558.367188,0.2625,3680,16200,2912.106785
"rope_partial_halfsplit_batched_f32",16,3938555,246159.687500,0.1986,244803,248482,1098.998254
"fused_qkvza_mq4g256v2",48,3722794,77558.208333,0.1877,72961,105641,5940.844771
"rmsnorm_f32",50,2662831,53256.620000,0.1343,2240,163682,74001.758976
"gemv_mq4g256v2_multirow_r2",2,2150300,1075150.000000,0.1084,1069130,1081170,8513.565645
"fused_qkv_mq4g256v2",16,1166530,72908.125000,0.0588,71961,74040,503.602605
"__amd_rocclr_copyBuffer",375,1107726,2953.936000,0.0559,1520,7560,1445.042027
"attention_flash_fp8_e4m3_tile",16,938889,58680.562500,0.0473,57361,60481,909.555347
"fused_rmsnorm_mq_rotate_awq",128,872411,6815.710938,0.0440,6440,8080,193.255090
"__amd_rocclr_fillBufferUnAligned",288,593363,2060.288194,0.0299,1240,12400,1355.623851
"gated_delta_net_q8_fast",48,386363,8049.229167,0.0195,7720,9040,243.799468
"embedding_q8_batched",1,295363,295363.000000,0.0149,295363,295363,0.00000000e+00
"attention_flash_q8_0_reduce",16,277163,17322.687500,0.0140,17000,17920,215.413933
"fused_silu_mul_mq_rotate_awq",64,147560,2305.625000,7.441e-03,2080,3160,210.501103
"gated_norm_f32",48,141482,2947.541667,7.134e-03,2760,3520,160.466867
"rotate_x_mq_awq",64,115323,1801.921875,5.815e-03,1680,2360,124.951204
"rope_partial_halfsplit_f32",16,113441,7090.062500,5.720e-03,6960,7440,135.799101
"conv1d_silu_split_qknorm_b256",48,108160,2253.333333,5.454e-03,2000,3120,206.668954
"fused_sigmoid_alpha_gate_f32",48,102523,2135.895833,5.170e-03,1880,2520,203.352460
"repeat_interleave_qk_f32",48,78121,1627.520833,3.939e-03,1440,2200,160.655968
"kv_cache_write_fp8_e4m3",32,64161,2005.031250,3.235e-03,1800,2200,97.846319
"sample_topk_partial_fast21",2,52360,26180.000000,2.640e-03,22960,29400,4553.767671
"deinterleave_f32",16,33120,2070.000000,1.670e-03,1960,2200,75.188652
"sample_topk_finalize_fast21",2,32801,16400.500000,1.654e-03,14600,18201,2546.291519
"sigmoid_mul_f32",16,27240,1702.500000,1.374e-03,1640,2000,83.864971
"embedding_q8",1,15440,15440.000000,7.786e-04,15440,15440,0.00000000e+00
"mq_rotate_x",2,4280,2140.000000,2.158e-04,2000,2280,197.989899
"sample_apply_repeat_penalty",1,2360,2360.000000,1.190e-04,2360,2360,0.00000000e+00
