"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,6656,"; gdn_chunk_scan_baseline",0,0,0,0,""
3,6656,"s_load_b64 s[22:23], s[0:1], 0x50",8,8,0,4616,""
3,6664,"s_wait_kmcnt 0x0",8,4232,4224,0,""
3,6668,"s_add_co_i32 s2, s23, 0xfffffdff",8,8,0,0,""
3,6676,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
3,6680,"s_cmp_lt_u32 s2, 0xfffffe00",8,8,0,8,""
3,6688,"s_cbranch_scc1 3455",8,8,0,64,""
3,6692,"s_cmp_gt_i32 ttmp9, 1",8,58,50,16,""
3,6696,"s_cselect_b32 s2, -1, 0",8,14,6,0,""
3,6700,"s_cmp_gt_i32 ttmp7, 47",8,18,10,0,""
3,6704,"s_cselect_b32 s3, -1, 0",8,8,0,2,""
3,6708,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
3,6712,"s_or_b32 s2, s2, s3",8,8,0,12,""
3,6716,"s_and_b32 vcc_lo, exec_lo, s2",8,8,0,10,""
3,6720,"s_cbranch_vccnz 3447",8,8,0,72,""
3,6724,"v_lshrrev_b32_e32 v1, 4, v0",8,12,4,16,""
3,6728,"v_and_b32_e32 v107, 15, v0",8,8,0,0,""
3,6732,"s_lshl_b32 s20, ttmp9, 6",8,8,0,2,""
3,6736,"s_load_b512 s[36:51], s[0:1], 0x0",8,14,6,66,""
3,6744,"v_lshrrev_b32_e32 v2, 1, v0",8,100,92,0,""
3,6748,"v_and_b32_e32 v105, 2, v1",8,94,86,0,""
3,6752,"v_or_b32_e32 v1, s20, v107",8,8,0,0,""
3,6756,"s_mov_b32 s24, ttmp7",8,8,0,48,""
3,6760,"s_ashr_i32 s25, ttmp7, 31",8,8,0,0,""
3,6764,"v_and_b32_e32 v17, 8, v2",8,13,5,0,""
3,6768,"v_or_b32_e32 v106, 1, v105",8,8,0,0,""
3,6772,"v_dual_mov_b32 v103, 0 :: v_dual_lshlrev_b32 v18, 4, v105",8,8,0,5,""
3,6780,"s_load_b128 s[16:19], s[0:1], 0x40",8,8,0,30,""
3,6788,"s_lshl_b64 s[0:1], s[24:25], 14",8,8,0,0,""
3,6792,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_2)",0,0,0,0,""
3,6796,"v_lshlrev_b32_e32 v16, 4, v106",8,74,66,0,""
3,6800,"v_or_b32_e32 v101, v18, v1",8,8,0,0,""
3,6804,"v_lshrrev_b32_e32 v108, 6, v0",8,8,0,0,""
3,6808,"v_lshrrev_b32_e32 v21, 5, v0",8,8,0,0,""
3,6812,"v_or_b32_e32 v38, 0x1000, v0",8,8,0,0,""
3,6820,"v_or_b32_e32 v1, v16, v1",8,8,0,0,""
3,6824,"v_lshl_add_u32 v3, ttmp7, 7, v101",8,8,0,0,""
3,6832,"v_ashrrev_i32_e32 v102, 31, v101",8,9,1,0,""
3,6836,"v_or_b32_e32 v31, 1, v21",8,10,2,0,""
3,6840,"v_lshrrev_b32_e32 v117, 6, v38",8,11,3,0,""
3,6844,"v_ashrrev_i32_e32 v2, 31, v1",8,10,2,0,""
3,6848,"v_ashrrev_i32_e32 v4, 31, v3",8,10,2,0,""
3,6852,"v_lshlrev_b64_e32 v[5:6], 7, v[101:102]",8,72,56,3,""
3,6856,"v_lshl_or_b32 v21, v31, 4, v17",8,13,5,0,""
3,6864,"v_or_b32_e32 v33, 0x2000, v0",8,9,1,0,""
3,6872,"v_lshlrev_b64_e32 v[1:2], 7, v[1:2]",8,16,0,0,""
3,6876,"v_lshlrev_b64_e32 v[3:4], 2, v[3:4]",8,17,1,0,""
3,6880,"s_mul_hi_i32 s2, ttmp7, 0x55555556",8,16,0,0,""
3,6888,"v_add_co_u32 v10, vcc_lo, v5, s0",8,8,0,60,""
3,6896,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_4)",0,0,0,0,""
3,6900,"v_add_co_ci_u32_e64 v11, null, s1, v6, vcc_lo",8,11,3,32,""
3,6908,"v_add_co_u32 v12, vcc_lo, v1, s0",8,8,0,23,""
3,6916,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,6920,"v_add_co_ci_u32_e64 v13, null, s1, v2, vcc_lo",8,8,0,141,""
3,6928,"s_wait_kmcnt 0x0",8,416,408,0,""
3,6932,"v_add_co_u32 v95, vcc_lo, s50, v3",8,8,0,27,""
3,6940,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,6944,"v_add_co_ci_u32_e64 v96, null, s51, v4, vcc_lo",8,8,0,224,""
3,6952,"s_clause 0x1",8,24,16,0,""
3,6956,"global_load_b32 v15, v[95:96], off",8,17,1,106,""
3,6968,"global_load_b32 v14, v[95:96], off offset:64",8,16,0,0,""
3,6980,"v_dual_mov_b32 v6, v11 :: v_dual_lshlrev_b32 v29, 5, v108",8,46,38,67,""
3,6988,"v_mov_b32_e32 v4, v13",8,8,0,0,""
3,6992,"v_lshlrev_b64_e32 v[19:20], 1, v[12:13]",8,16,0,0,""
3,6996,"v_lshlrev_b32_e32 v25, 1, v21",8,10,2,0,""
3,7000,"s_delay_alu instid0(VALU_DEP_4)",0,0,0,0,""
3,7004,"v_or_b32_e32 v30, v29, v17",8,10,2,0,""
3,7008,"v_and_b32_e32 v32, 63, v0",8,8,0,0,""
3,7012,"v_lshlrev_b32_e32 v119, 5, v31",8,10,2,0,""
3,7016,"v_lshlrev_b32_e32 v31, 1, v117",8,10,2,0,""
3,7020,"v_or_b32_e32 v42, v18, v107",8,8,0,0,""
3,7024,"v_or_b32_e32 v5, v10, v30",8,10,2,0,""
3,7028,"v_or_b32_e32 v3, v12, v30",8,8,0,0,""
3,7032,"v_lshlrev_b32_e32 v30, 1, v30",8,8,0,0,""
3,7036,"v_mad_u32_u24 v125, 0x88, v32, v31",8,18,10,0,""
3,7048,"v_or_b32_e32 v31, v16, v107",8,8,0,0,""
3,7052,"v_lshlrev_b64_e32 v[1:2], 1, v[5:6]",8,17,1,1,""
3,7056,"v_or_b32_e32 v16, v16, v17",8,23,15,0,""
3,7060,"v_mad_u32_u24 v30, 0x108, v42, v30",8,11,3,0,""
3,7072,"v_mul_u32_u24_e32 v40, 0x88, v107",8,10,2,0,""
3,7080,"v_mul_u32_u24_e32 v60, 0x88, v31",8,8,0,0,""
3,7088,"v_lshrrev_b32_e32 v116, 7, v33",8,8,0,0,""
3,7092,"v_add_co_u32 v97, vcc_lo, s16, v1",8,8,0,0,""
3,7100,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7104,"v_add_co_ci_u32_e64 v98, null, s17, v2, vcc_lo",8,9,1,136,""
3,7112,"v_lshlrev_b64_e32 v[1:2], 1, v[10:11]",8,16,0,0,""
3,7116,"v_add_co_u32 v99, vcc_lo, s48, v5",8,16,8,0,""
3,7124,"v_lshlrev_b64_e32 v[4:5], 1, v[3:4]",8,16,0,0,""
3,7128,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7132,"v_add_co_ci_u32_e64 v100, null, s49, v11, vcc_lo",8,11,3,115,""
3,7140,"s_delay_alu instid0(VALU_DEP_4)",0,0,0,0,""
3,7144,"v_add_co_u32 v1, vcc_lo, s16, v1",8,8,0,0,""
3,7152,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7156,"v_add_co_ci_u32_e64 v22, null, s17, v2, vcc_lo",8,9,1,130,""
3,7164,"v_add_co_u32 v91, vcc_lo, s16, v4",8,8,0,0,""
3,7172,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7176,"v_add_co_ci_u32_e64 v92, null, s17, v5, vcc_lo",8,9,1,130,""
3,7184,"v_add_co_u32 v93, vcc_lo, s48, v3",8,8,0,3,""
3,7192,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7196,"v_add_co_ci_u32_e64 v94, null, s49, v13, vcc_lo",8,10,2,132,""
3,7204,"v_add_co_u32 v23, vcc_lo, s16, v19",8,8,0,0,""
3,7212,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7216,"v_add_co_ci_u32_e64 v24, null, s17, v20, vcc_lo",8,9,1,132,""
3,7224,"v_add_co_u32 v10, vcc_lo, v10, v21",8,8,0,0,""
3,7232,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
3,7236,"v_add_co_ci_u32_e64 v11, null, 0, v11, vcc_lo",8,8,0,142,""
3,7244,"global_load_b128 v[6:9], v[97:98], off",8,16,0,130,""
