"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
6,7168,"; fused_rmsnorm_mq_rotate_awq_i4_gfx12",0,0,0,0,""
6,7168,"s_clause 0x3",370,370,0,30219,""
6,7172,"s_load_b96 s[20:22], s[0:1], 0x38",370,26883,26513,37,""
6,7180,"s_load_b32 s2, s[0:1], 0x54",370,382,12,5,""
6,7188,"s_load_b256 s[12:19], s[0:1], 0x0",370,377,7,0,""
6,7196,"s_load_b256 s[4:11], s[0:1], 0x20",370,413,43,3,""
6,7204,"v_mov_b32_e32 v42, 0",370,3829,3459,0,""
6,7208,"s_mov_b32 s24, ttmp9",370,3142,2772,0,""
6,7212,"s_mov_b32 s25, 0",370,370,0,54,""
6,7216,"s_wait_kmcnt 0x0",370,19361,18991,0,""
6,7220,"s_mov_b32 s11, exec_lo",370,558,188,0,""
6,7224,"s_ashr_i32 s1, s20, 31",370,421,51,0,""
6,7228,"s_mov_b32 s0, s20",370,416,46,0,""
6,7232,"s_and_b32 s10, s2, 0xffff",370,438,68,0,""
6,7240,"s_mul_u64 s[2:3], s[0:1], s[24:25]",370,1924,74,0,""
6,7244,"v_cmpx_gt_i32_e64 s20, v0",370,370,0,1173,""
6,7252,"s_cbranch_execz 29",370,370,0,5668,""
6,7256,"v_dual_mov_b32 v42, 0 :: v_dual_lshlrev_b32 v1, 2, v0",370,1589,1219,739,""
6,7264,"s_lshl_b64 s[26:27], s[2:3], 2",370,526,156,0,""
6,7268,"v_mov_b32_e32 v3, v0",370,1405,1035,0,""
6,7272,"s_add_nc_u64 s[26:27], s[12:13], s[26:27]",370,470,100,0,""
6,7276,"s_lshl_b32 s23, s10, 2",370,370,0,26,""
6,7280,"v_add_co_u32 v1, s0, s26, v1",370,370,0,4069,""
6,7288,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
6,7292,"v_add_co_ci_u32_e64 v2, null, s27, 0, s0",370,370,0,2353,""
6,7300,"global_load_b32 v4, v[1:2], off",7400,14800,0,65714,""
6,7312,"v_add_nc_u32_e32 v3, s10, v3",7400,24169,16769,46068,""
6,7316,"v_add_co_u32 v1, vcc_lo, v1, s23",7400,7400,0,8014,""
6,7324,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
6,7328,"v_add_co_ci_u32_e64 v2, null, 0, v2, vcc_lo",7400,7400,0,146989,""
6,7336,"s_wait_loadcnt 0x0",7400,4772129,4764729,0,""
6,7340,"v_fmac_f32_e32 v42, v4, v4",7400,24390,16990,0,""
6,7344,"v_cmp_le_i32_e64 s0, s20, v3",7400,7400,0,8728,""
6,7352,"s_or_b32 s25, s0, s25",7400,7400,0,130296,""
6,7356,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
6,7360,"s_and_not1_b32 exec_lo, exec_lo, s25",7400,7400,0,8004,""
6,7364,"s_cbranch_execnz 65519",7400,7400,0,59353,""
6,7368,"s_or_b32 exec_lo, exec_lo, s25",370,370,0,944,""
6,7372,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
6,7376,"s_or_b32 exec_lo, exec_lo, s11",370,434,64,372,""
6,7380,"s_lshr_b32 s24, s10, 5",370,412,42,0,""
6,7384,"s_lshr_b32 s1, s1, 24",370,427,57,0,""
6,7388,"s_cvt_f32_u32 s0, s24",370,1110,0,51,""
6,7392,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
6,7396,"s_add_co_i32 s1, s20, s1",370,420,50,3039,""
6,7400,"s_lshl_b64 s[2:3], s[2:3], 2",370,370,0,36,""
6,7404,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
6,7408,"s_ashr_i32 s11, s1, 8",370,370,0,3052,""
6,7412,"v_s_rcp_f32 s0, s0",370,370,0,3672,""
6,7420,"s_sub_co_i32 s1, 0, s24",370,370,0,7314,""
6,7424,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
6,7428,"s_add_co_i32 s10, s11, s24",370,416,46,2984,""
6,7432,"v_lshrrev_b32_e32 v43, 5, v0",370,493,123,259,""
6,7436,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
6,7440,"s_add_co_i32 s10, s10, -1",370,419,49,2374,""
6,7444,"v_and_b32_e32 v41, 31, v0",370,468,98,293,""
