unix_ns,elapsed_ms,current_gfxclk_mhz,average_gfxclk_mhz,current_uclk_mhz,average_uclk_mhz,average_socket_power_w
1789863587923185287,1.370025,8,8,96,1453,38
1789863588022725015,100.90862,58,58,96,193,24
1789863588123482393,201.666889,2,2,96,193,19
1789863588222589734,300.774461,0,0,96,193,19
1789863588323264975,401.449752,0,0,96,193,19
1789863588422509225,500.694073,0,0,96,193,19
1789863588523355506,601.540373,0,0,96,193,19
1789863588622746353,700.930809,0,0,96,193,19
1789863588722441235,800.625892,0,0,96,193,19
1789863588822652413,900.83723,0,0,96,193,19
1789863588923475027,1001.659714,0,0,96,193,19
1789863589022939832,1101.12468,0,0,96,193,19
1789863589122711902,1200.896399,0,0,96,193,19
1789863589223373088,1301.557925,0,0,96,193,19
1789863589322962511,1401.147158,0,0,96,193,19
1789863589422963336,1501.147913,0,0,96,193,19
1789863589522607592,1600.792319,0,0,96,193,19
1789863589622909343,1701.09384,0,0,96,193,19
1789863589722686809,1800.871446,0,0,96,193,19
1789863589822404427,1900.589144,0,0,96,193,19
1789863589922621650,2000.806097,0,0,96,193,19
1789863590022502864,2100.687802,0,0,96,193,19
1789863590122436538,2200.621546,0,0,96,193,19
1789863590222497244,2300.682082,0,0,96,193,19
1789863590322524731,2400.709218,0,0,96,193,19
1789863590422554530,2500.739427,0,0,96,193,19
1789863590522497628,2600.682886,0,0,96,193,19
1789863590623495553,2701.680341,0,0,96,193,19
1789863590722691929,2800.876676,0,0,96,193,19
1789863590822964297,2901.148974,0,0,96,193,19
1789863590922688404,3000.873032,0,0,96,193,19
1789863591022961101,3101.145908,0,0,96,193,19
1789863591122686958,3200.871325,0,0,96,193,19
1789863591223055472,3301.240129,0,0,96,193,19
1789863591322602891,3400.787559,0,0,96,193,19
1789863591422661205,3500.846073,0,0,96,193,19
1789863591522941193,3601.12582,0,0,96,193,19
1789863591622655305,3700.839802,0,0,96,193,19
1789863591722424189,3800.609036,0,0,96,193,19
1789863591822968317,3901.152854,0,0,96,193,19
1789863591923108635,4001.293202,0,0,96,193,19
1789863592022965624,4101.150241,0,0,96,193,19
1789863592122439188,4200.623915,0,0,96,193,19
1789863592222868270,4301.053117,0,0,96,193,19
1789863592322731751,4400.916389,0,0,96,193,19
1789863592422967324,4501.151931,0,0,96,193,19
1789863592522767204,4600.951671,0,0,96,193,19
1789863592622694630,4700.879337,0,0,96,193,19
1789863592722536791,4800.721628,0,0,96,193,19
1789863592822658573,4900.843371,0,0,96,193,19
1789863592922526517,5000.711956,0,0,96,193,18
1789863593022527804,5100.713182,0,0,96,193,19
1789863593122356339,5200.541917,0,0,96,193,19
1789863593222536035,5300.721503,0,0,96,193,19
1789863593322709796,5400.894523,0,0,96,193,19
1789863593422976330,5501.160917,0,0,96,193,19
1789863593522699916,5600.884533,0,0,96,193,18
1789863593622656643,5700.84125,0,0,96,193,19
1789863593722696689,5800.881206,0,0,96,193,19
1789863593822704646,5900.889173,0,0,96,193,19
1789863593922697329,6000.881855,0,0,96,193,19
1789863594023052901,6101.237128,0,0,96,193,19
1789863594122949820,6201.134167,0,0,96,193,19
1789863594222648146,6300.832993,0,0,96,193,19
1789863594322996800,6401.181417,0,0,96,193,19
1789863594422738252,6500.922909,0,0,96,193,19
1789863594523062457,6601.247004,0,0,96,193,19
1789863594623039997,6701.224534,0,0,96,193,19
1789863594722596897,6800.781724,0,0,96,193,19
1789863594822673852,6900.85863,0,0,96,193,19
1789863594922627116,7000.811933,0,0,96,193,19
1789863595022843998,7101.028595,52,52,96,193,24
1789863595122694586,7200.879644,6,6,96,193,19
1789863595222645176,7300.830634,0,0,96,193,19
1789863595322488753,7400.674151,0,0,96,193,19
1789863595422531081,7500.71665,0,0,96,193,19
1789863595522609554,7600.795123,0,0,96,193,19
1789863595622675929,7700.861498,0,0,96,193,19
1789863595722550073,7800.735351,0,0,96,193,19
1789863595822819105,7901.004283,0,0,96,193,19
1789863595922478163,8000.663831,0,0,96,193,19
1789863596022540491,8100.72622,0,0,96,193,19
1789863596122670172,8200.85505,57,57,96,193,22
1789863596222752541,8300.937589,78,78,96,193,24
1789863596322602739,8400.787667,68,68,96,193,24
1789863596422816677,8501.001525,61,61,96,193,24
1789863596522653434,8600.838282,16,16,96,193,21
1789863596622848694,8701.033151,0,0,96,193,19
1789863596722806805,8800.991513,305,305,1258,410,29
1789863596822704795,8900.889652,2962,2962,1258,2517,99
1789863596922750979,9000.936188,2868,2868,1124,2419,85
1789863597022701989,9100.886667,2836,2836,1124,2249,84
1789863597122659560,9200.844447,2836,2836,1124,2249,84
1789863597222759085,9300.943942,2836,2836,1124,2249,84
1789863597322656023,9400.841011,2836,2836,1124,2249,84
1789863597422624009,9500.809467,2836,2836,1124,2249,84
1789863597522627969,9600.813448,1763,1763,1258,2493,68
1789863597622827275,9701.012864,2624,2624,1258,2421,168
1789863597722808972,9800.994651,2521,2521,1258,2517,322
1789863597822807394,9900.993072,2541,2541,1258,2517,336
1789863597922712174,10000.897813,2402,2402,1258,2517,301
1789863598022839271,10101.02497,2428,2428,1258,2517,299
1789863598122775098,10200.960436,2430,2430,1258,2517,297
1789863598222801452,10300.985949,2433,2433,1258,2517,299
1789863598322836229,10401.020987,2426,2426,1258,2517,298
1789863598422695441,10500.880969,2405,2405,1258,2517,304
1789863598522734544,10600.920112,2429,2429,1258,2517,300
1789863598622755039,10700.940578,2427,2427,1258,2517,297
1789863598722709945,10800.895464,2427,2427,1258,2517,299
