"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",368,951699910,2586141.059783,47.45,54520,5133174,2078878.265362
"gemm_mq4g256v2_residual_mmq_iu4_full_add",128,456146788,3563646.781250,22.74,1698097,5396097,1713105.355861
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",192,136932123,713188.140625,6.83,127481,1289573,342326.596706
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,115903935,1810998.984375,5.78,1678378,1861619,36872.668291
"gdn_chunk_scan",576,98617558,171211.038194,4.92,93041,188682,20339.916981
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,77801536,607824.500000,3.88,521285,635767,25055.283657
"gated_norm_mq_rotate_awq_i4_gfx12",48,57583764,1199661.750000,2.87,1042731,1225613,38724.509022
"gdn_chunk_prep",48,31149164,648940.916667,1.55,643367,693607,6849.240361
"deinterleave_q_rmsnorm_f32_batched",16,16266050,1016628.125000,0.8110,1009091,1023010,4785.209670
"gdn_chunk_kkt_solve",576,12317718,21384.927083,0.6142,15521,27281,1239.955494
"fused_gate_up_mq4g256v2",64,10066149,157283.578125,0.5019,152122,173682,3969.245779
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,9541782,596361.375000,0.4757,592366,604246,3031.204642
"gemv_mq4g256v2_residual",128,7334359,57299.679688,0.3657,31560,84401,23526.729839
"kv_cache_write_fp8_e4m3_batched",384,5247813,13666.179688,0.2617,3720,17240,2939.926141
"rope_partial_halfsplit_batched_f32",16,3917803,244862.687500,0.1953,243802,245963,639.814736
"fused_qkvza_mq4g256v2",48,3674481,76551.687500,0.1832,73041,110201,6263.217181
"rmsnorm_f32",50,2679229,53584.580000,0.1336,2280,163922,74483.819408
"gemv_mq4g256v2_multirow_r2",2,2169223,1084611.500000,0.1082,1080972,1088251,5147.030260
"fused_qkv_mq4g256v2",16,1168893,73055.812500,0.0583,72520,73761,327.097584
"__amd_rocclr_copyBuffer",375,1140569,3041.517333,0.0569,1520,7560,1445.159083
"attention_flash_fp8_e4m3_tile",16,948013,59250.812500,0.0473,56761,62121,1315.093468
"fused_rmsnorm_mq_rotate_awq",128,874326,6830.671875,0.0436,6400,8400,204.358574
"__amd_rocclr_fillBufferUnAligned",288,623524,2165.013889,0.0311,1360,12280,1329.795829
"gated_delta_net_q8_fast",48,378882,7893.375000,0.0189,7320,10280,416.370724
"attention_flash_q8_0_reduce",16,278121,17382.562500,0.0139,17160,17920,191.488196
"fused_silu_mul_mq_rotate_awq",64,159201,2487.515625,7.938e-03,2160,2920,187.304437
"gated_norm_f32",48,141801,2954.187500,7.070e-03,2760,3680,173.257852
"embedding_q8_batched",1,124401,124401.000000,6.203e-03,124401,124401,0.00000000e+00
"rotate_x_mq_awq",64,115883,1810.671875,5.778e-03,1680,2440,134.697433
"rope_partial_halfsplit_f32",16,114001,7125.062500,5.684e-03,6920,7280,95.635048
"conv1d_silu_split_qknorm_b256",48,106962,2228.375000,5.333e-03,2040,3081,176.861242
"fused_sigmoid_alpha_gate_f32",48,100641,2096.687500,5.018e-03,1680,2480,195.227871
"repeat_interleave_qk_f32",48,78281,1630.854167,3.903e-03,1440,2360,181.407381
"kv_cache_write_fp8_e4m3",32,64000,2000.000000,3.191e-03,1800,2280,112.679964
"sample_topk_partial_fast21",2,52920,26460.000000,2.639e-03,23760,29160,3818.376618
"sample_topk_finalize_fast21",2,33360,16680.000000,1.663e-03,15080,18280,2262.741700
"deinterleave_f32",16,33041,2065.062500,1.647e-03,1960,2240,69.871758
"sigmoid_mul_f32",16,27080,1692.500000,1.350e-03,1600,2000,89.703214
"embedding_q8",1,13600,13600.000000,6.781e-04,13600,13600,0.00000000e+00
"mq_rotate_x",2,4520,2260.000000,2.254e-04,2000,2520,367.695526
"sample_apply_repeat_penalty",1,2280,2280.000000,1.137e-04,2280,2280,0.00000000e+00
