"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,66048,"; gemm_mq4g256v2_residual_mmq_iu4_full_set",0,0,0,0,""
5,66048,"s_load_b96 s[12:14], s[0:1], 0x18",6006,13774,7768,268502,""
5,66056,"s_lshl_b32 s16, ttmp9, 7",6006,6859,853,0,""
5,66060,"s_lshl_b32 s18, ttmp7, 7",6006,6006,0,783,""
5,66064,"s_wait_kmcnt 0x0",6006,308156,302150,0,""
5,66068,"s_cmp_ge_i32 s16, s12",6006,12581,6575,0,""
5,66072,"s_cselect_b32 s2, -1, 0",6006,11366,5360,0,""
5,66076,"s_cmp_ge_i32 s18, s14",6006,12227,6221,0,""
5,66080,"s_cselect_b32 s3, -1, 0",6006,6006,0,1474,""
5,66084,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,66088,"s_or_b32 s2, s2, s3",6006,6006,0,11270,""
5,66092,"s_and_b32 vcc_lo, exec_lo, s2",6006,6006,0,8087,""
5,66096,"s_cbranch_vccnz 2966",6006,6006,0,58293,""
5,66100,"s_clause 0x1",6006,18004,11998,0,""
5,66104,"s_load_b128 s[4:7], s[0:1], 0x0",6006,11144,5138,0,""
5,66112,"s_load_b64 s[20:21], s[0:1], 0x10",6006,6211,205,0,""
5,66120,"s_ashr_i32 s0, s13, 31",6006,9561,3555,0,""
5,66124,"v_lshrrev_b32_e32 v2, 1, v0",6006,402482,396476,0,""
5,66128,"s_lshr_b32 s0, s0, 24",6006,16054,10048,0,""
5,66132,"v_and_b32_e32 v1, 1, v0",6006,135842,129836,0,""
5,66136,"s_add_co_i32 s0, s13, s0",6006,13833,7827,0,""
5,66140,"s_add_co_i32 s3, s12, -1",6006,6773,767,0,""
5,66144,"s_ashr_i32 s17, s0, 8",6006,7135,1129,0,""
5,66148,"s_mov_b32 s0, exec_lo",6006,7110,1104,0,""
5,66152,"s_mul_i32 s2, s17, 0x88",6006,13181,1169,0,""
5,66160,"v_cmpx_gt_u32_e32 0x100, v0",6006,6006,0,87637,""
5,66168,"s_cbranch_execz 44",6006,6006,0,113044,""
5,66172,"v_or_b32_e32 v5, s18, v2",6006,139948,133942,12003,""
5,66176,"v_dual_mov_b32 v4, 0 :: v_dual_lshlrev_b32 v3, 2, v1",6006,47344,41338,11508,""
5,66184,"s_mov_b32 s1, exec_lo",6006,8285,2279,25842,""
5,66188,"s_delay_alu instid0(VALU_DEP_2)",0,0,0,0,""
5,66192,"v_cmpx_gt_i32_e64 s14, v5",6006,6006,0,82928,""
5,66200,"s_cbranch_execz 12",6006,6006,0,108526,""
5,66204,"s_wait_kmcnt 0x0",5931,17775,11844,0,""
5,66208,"v_mad_co_i64_i32 v[4:5], null, 0x48, v5, s[6:7]",5931,23724,0,131524,""
5,66220,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
5,66224,"v_add_co_u32 v4, vcc_lo, v4, v3",5931,5931,0,124226,""
5,66232,"v_add_co_ci_u32_e64 v5, null, 0, v5, vcc_lo",5931,5931,0,102967,""
5,66240,"global_load_b32 v4, v[4:5], off",5931,14582,2720,108443,""
5,66252,"s_or_b32 exec_lo, exec_lo, s1",6006,6006,0,1552,""
5,66256,"v_or_b32_e32 v7, s16, v2",6006,6006,0,219868,""
5,66260,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(VALU_DEP_2)",0,0,0,0,""
5,66264,"v_min_i32_e32 v5, s3, v7",6006,102186,96180,32563,""
5,66268,"v_cmp_gt_i32_e32 vcc_lo, s12, v7",6006,6006,0,45229,""
5,66272,"s_wait_kmcnt 0x0",6006,18000,11994,0,""
5,66276,"v_mad_co_i64_i32 v[5:6], null, s2, v5, s[4:5]",6006,24024,0,65928,""
5,66284,"global_load_b32 v5, v[5:6], off",6006,12012,0,116523,""
5,66296,"v_lshlrev_b32_e32 v6, 4, v1",6006,6006,0,178901,""
5,66300,"s_wait_loadcnt 0x0",6006,3209463,3203457,0,""
5,66304,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
5,66308,"v_lshrrev_b32_e32 v5, v6, v5",6006,6006,0,607734,""
5,66312,"v_cvt_f32_f16_e32 v5, v5.l",6006,6006,0,247510,""
5,66316,"s_wait_alu depctr_va_vcc(0)",0,0,0,0,""
5,66320,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
