"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,69632,"; gemm_mq4g256v2_residual_mmq_iu4_full_set",0,0,0,0,""
5,69632,"s_load_b96 s[12:14], s[0:1], 0x18",6004,6004,0,270298,""
5,69640,"s_wait_kmcnt 0x0",6004,325483,319479,0,""
5,69644,"s_add_co_i32 s2, s12, 0x7f",6004,6004,0,2156,""
5,69652,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,69656,"s_ashr_i32 s3, s2, 31",6004,6004,0,7725,""
5,69660,"s_lshr_b32 s3, s3, 25",6004,6004,0,8595,""
5,69664,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,69668,"s_add_co_i32 s2, s2, s3",6004,6004,0,8317,""
5,69672,"s_bfe_u32 s2, s2, 0x30007",6004,6004,0,7698,""
5,69680,"s_cbranch_scc0 3",6004,6004,0,55178,""
5,69684,"s_mov_b32 s2, ttmp7",0,0,0,0,""
5,69688,"s_lshl_b32 s16, ttmp9, 7",0,0,0,0,""
5,69692,"s_branch 101",0,0,0,0,""
5,69696,"s_add_co_i32 s2, s14, 0x7f",6004,6004,0,57104,""
5,69704,"s_load_b32 s4, s[0:1], 0x28",6004,10624,4620,49784,""
5,69712,"s_ashr_i32 s3, s2, 31",6004,6004,0,4783,""
5,69716,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,69720,"s_lshr_b32 s3, s3, 25",6004,6004,0,8185,""
5,69724,"s_add_co_i32 s2, s2, s3",6004,6004,0,8699,""
5,69728,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,69732,"s_ashr_i32 s2, s2, 7",6004,6004,0,11184,""
5,69736,"s_abs_i32 s3, s2",6004,6004,0,7726,""
5,69740,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_1) | instid1(SALU_CYCLE_2)",0,0,0,0,""
5,69744,"s_cvt_f32_u32 s5, s3",6004,19422,1410,6632,""
5,69748,"s_sub_co_i32 s7, 0, s3",6004,6004,0,432,""
5,69752,"v_s_rcp_f32 s5, s5",6004,6004,0,443673,""
5,69760,"s_wait_kmcnt 0x0",6004,20468,14464,0,""
5,69764,"s_mul_i32 s4, s4, ttmp7",6004,12008,0,135184,""
5,69768,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69772,"s_add_co_i32 s4, s4, ttmp9",6004,9432,3428,51704,""
5,69776,"s_delay_alu instid0(TRANS32_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,69780,"s_mul_f32 s5, s5, 0x4f7ffffe",6004,18012,0,2659,""
5,69788,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69792,"s_ashr_i32 s6, s4, 31",6004,11067,5063,58783,""
5,69796,"s_lshr_b32 s6, s6, 29",6004,6004,0,3268,""
5,69800,"s_cvt_u32_f32 s5, s5",6004,19536,1524,5993,""
5,69804,"s_add_co_i32 s6, s4, s6",6004,6004,0,740,""
5,69808,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_4) | instid1(SALU_CYCLE_1)",0,0,0,0,""
5,69812,"s_ashr_i32 s8, s6, 3",6004,6004,0,6956,""
5,69816,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69820,"s_mul_i32 s7, s7, s5",6004,13522,1514,61796,""
5,69824,"s_abs_i32 s8, s8",6004,6945,941,0,""
5,69828,"s_mul_hi_u32 s7, s5, s7",6004,13538,1530,0,""
5,69832,"s_add_co_i32 s5, s5, s7",6004,6004,0,808,""
5,69836,"s_ashr_i32 s7, s6, 31",6004,6004,0,8089,""
5,69840,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69844,"s_mul_hi_u32 s5, s8, s5",6004,12008,0,66110,""
5,69848,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69852,"s_mul_i32 s5, s5, s3",6004,12008,0,52180,""
5,69856,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69860,"s_sub_co_i32 s5, s8, s5",6004,6004,0,54871,""
5,69864,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69868,"s_sub_co_i32 s8, s5, s3",6004,9467,3463,50884,""
5,69872,"s_cmp_ge_u32 s5, s3",6004,6883,879,0,""
5,69876,"s_cselect_b32 s5, s8, s5",6004,6004,0,1762,""
5,69880,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69884,"s_sub_co_i32 s8, s5, s3",6004,8089,2085,56381,""
5,69888,"s_cmp_ge_u32 s5, s3",6004,6902,898,0,""
5,69892,"s_cselect_b32 s3, s8, s5",6004,7622,1618,0,""
5,69896,"s_lshl_b32 s5, s2, 3",6004,7434,1430,0,""
5,69900,"s_abs_i32 s10, s4",6004,6004,0,1723,""
5,69904,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69908,"s_abs_i32 s5, s5",6004,8058,2054,56008,""
5,69912,"s_xor_b32 s2, s4, s2",6004,6004,0,896,""
5,69916,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69920,"s_cvt_f32_u32 s8, s5",6004,19434,1422,50344,""
5,69924,"s_sub_co_i32 s9, 0, s5",6004,6815,811,0,""
5,69928,"s_xor_b32 s3, s3, s7",6004,6004,0,651,""
5,69932,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(TRANS32_DEP_1)",0,0,0,0,""
5,69936,"v_s_rcp_f32 s8, s8",6004,6004,0,468129,""
5,69944,"s_mul_f32 s8, s8, 0x4f7ffffe",6004,18012,0,157016,""
5,69952,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69956,"s_delay_alu instid0(SALU_CYCLE_2) | instskip(SKIP_1) | instid1(SALU_CYCLE_2)",0,0,0,0,""
5,69960,"s_cvt_u32_f32 s8, s8",6004,18012,0,64359,""
5,69964,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69968,"s_mul_i32 s9, s9, s8",6004,12008,0,51801,""
5,69972,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69976,"s_mul_hi_u32 s9, s8, s9",6004,12008,0,53341,""
5,69980,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69984,"s_add_co_i32 s8, s8, s9",6004,8007,2003,51555,""
5,69988,"s_ashr_i32 s9, s2, 31",6004,6004,0,1813,""
5,69992,"s_wait_alu depctr_sa_sdst(0)",0,0,0,0,""
5,69996,"s_mul_hi_u32 s8, s10, s8",6004,14794,2786,51511,""
