header_ratio_histogram
| Family | Groups | <.5 | .5–.75 | .75–.875 | .875–1 | 1–1.125 | 1.125–1.5 | 1.5–2 | ≥2 |
|---|---|---|---|---|---|---|---|---|---|
| lm_head | 4,966,400 | 0.0009 | 3.5080 | 16.4100 | 29.8424 | 27.1847 | 22.4958 | 0.5575 | 0.0007 |
| linear_attn.in_proj_a | 46,080 | 0.0000 | 2.8103 | 15.7856 | 31.0569 | 28.3767 | 21.5690 | 0.3993 | 0.0022 |
| linear_attn.in_proj_b | 46,080 | 0.0022 | 2.7148 | 15.6359 | 31.1372 | 28.9258 | 21.2153 | 0.3689 | 0.0000 |
| linear_attn.in_proj_qkv | 9,830,400 | 0.0007 | 3.4358 | 16.4252 | 30.0801 | 27.3174 | 22.2143 | 0.5260 | 0.0005 |
| linear_attn.in_proj_z | 5,898,240 | 0.0005 | 3.3994 | 16.3599 | 30.1158 | 27.3827 | 22.2243 | 0.5169 | 0.0006 |
| linear_attn.out_proj | 5,898,240 | 0.0006 | 3.3618 | 16.3691 | 30.1805 | 27.4095 | 22.1756 | 0.5024 | 0.0005 |
| mlp.down_proj | 22,282,240 | 0.0006 | 3.4740 | 16.4594 | 29.9534 | 27.2461 | 22.3313 | 0.5345 | 0.0007 |
| mlp.gate_proj | 22,282,240 | 0.0006 | 3.4843 | 16.4818 | 29.9608 | 27.2356 | 22.3017 | 0.5346 | 0.0006 |
| mlp.up_proj | 22,282,240 | 0.0007 | 3.5081 | 16.4764 | 29.9331 | 27.1798 | 22.3562 | 0.5452 | 0.0006 |
| self_attn.k_proj | 327,680 | 0.0003 | 3.1784 | 16.1221 | 30.6943 | 27.8198 | 21.7239 | 0.4611 | 0.0000 |
| self_attn.o_proj | 1,966,080 | 0.0006 | 3.5211 | 16.5966 | 30.0123 | 27.1591 | 22.1849 | 0.5251 | 0.0004 |
| self_attn.q_proj | 3,932,160 | 0.0005 | 3.3421 | 16.3169 | 30.3275 | 27.5539 | 21.9637 | 0.4946 | 0.0008 |
| self_attn.v_proj | 327,680 | 0.0006 | 3.4280 | 16.3049 | 30.3836 | 27.4582 | 21.9287 | 0.4953 | 0.0006 |


header_normalized_histogram
| Family | Half | <.5 | .5–.75 | .75–.875 | .875–.9375 | .9375–.96875 | .96875–1 | =1 |
|---|---|---|---|---|---|---|---|---|
| lm_head | h0 | 0.0007 | 3.5750 | 16.5607 | 14.2248 | 7.8582 | 7.8281 | 49.9524 |
| lm_head | h1 | 0.0009 | 3.5080 | 16.4100 | 14.1777 | 7.8562 | 7.8086 | 50.2387 |
| linear_attn.in_proj_a | h0 | 0.0022 | 2.9188 | 16.1155 | 14.6267 | 8.2161 | 8.2595 | 49.8611 |
| linear_attn.in_proj_a | h1 | 0.0000 | 2.8103 | 15.7856 | 14.5768 | 8.3138 | 8.1662 | 50.3472 |
| linear_attn.in_proj_b | h0 | 0.0000 | 2.7040 | 15.9505 | 14.7374 | 8.4158 | 8.5113 | 49.6810 |
| linear_attn.in_proj_b | h1 | 0.0022 | 2.7148 | 15.6359 | 14.6181 | 8.3008 | 8.2183 | 50.5100 |
| linear_attn.in_proj_qkv | h0 | 0.0005 | 3.4293 | 16.4043 | 14.2445 | 7.9100 | 7.8957 | 50.1157 |
| linear_attn.in_proj_qkv | h1 | 0.0007 | 3.4358 | 16.4252 | 14.2748 | 7.9030 | 7.9024 | 50.0582 |
| linear_attn.in_proj_z | h0 | 0.0005 | 3.4086 | 16.4061 | 14.2795 | 7.9397 | 7.9078 | 50.0577 |
| linear_attn.in_proj_z | h1 | 0.0005 | 3.3994 | 16.3599 | 14.2505 | 7.9567 | 7.9086 | 50.1244 |
| linear_attn.out_proj | h0 | 0.0005 | 3.3792 | 16.3816 | 14.2882 | 7.9414 | 7.9243 | 50.0848 |
| linear_attn.out_proj | h1 | 0.0006 | 3.3618 | 16.3691 | 14.3077 | 7.9494 | 7.9234 | 50.0880 |
| mlp.down_proj | h0 | 0.0007 | 3.4838 | 16.4736 | 14.2215 | 7.8839 | 7.8649 | 50.0716 |
| mlp.down_proj | h1 | 0.0006 | 3.4740 | 16.4594 | 14.2109 | 7.8814 | 7.8611 | 50.1126 |
| mlp.gate_proj | h0 | 0.0005 | 3.4734 | 16.4563 | 14.2207 | 7.8713 | 7.8706 | 50.1071 |
| mlp.gate_proj | h1 | 0.0006 | 3.4843 | 16.4818 | 14.2200 | 7.8868 | 7.8539 | 50.0724 |
| mlp.up_proj | h0 | 0.0006 | 3.5114 | 16.4814 | 14.2134 | 7.8585 | 7.8384 | 50.0963 |
| mlp.up_proj | h1 | 0.0007 | 3.5081 | 16.4764 | 14.2030 | 7.8720 | 7.8581 | 50.0818 |
| self_attn.k_proj | h0 | 0.0000 | 3.1763 | 16.0419 | 14.5236 | 8.0551 | 8.0164 | 50.1868 |
| self_attn.k_proj | h1 | 0.0003 | 3.1784 | 16.1221 | 14.5200 | 8.0774 | 8.0969 | 50.0049 |
| self_attn.o_proj | h0 | 0.0004 | 3.4494 | 16.3737 | 14.1228 | 7.8736 | 7.8808 | 50.2993 |
| self_attn.o_proj | h1 | 0.0006 | 3.5211 | 16.5966 | 14.2740 | 7.8727 | 7.8655 | 49.8695 |
| self_attn.q_proj | h0 | 0.0008 | 3.3220 | 16.2253 | 14.3095 | 8.0109 | 7.9631 | 50.1683 |
| self_attn.q_proj | h1 | 0.0005 | 3.3421 | 16.3169 | 14.3359 | 7.9990 | 7.9926 | 50.0130 |
| self_attn.v_proj | h0 | 0.0006 | 3.3511 | 16.1304 | 14.3094 | 7.9745 | 7.9477 | 50.2863 |
| self_attn.v_proj | h1 | 0.0006 | 3.4280 | 16.3049 | 14.3802 | 8.0408 | 7.9626 | 49.8828 |


pilot_tail
| Family | fixture | C0 | C1 | C2 | C3 | C4 | C4z | C4s |
|---|---|---|---|---|---|---|---|---|
| lm_head | 1.183835e-06 | 1.326850e-06 | 3.423702e-06 | 1.550550e-06 | 1.663707e-06 | 3.498294e-05 | 4.485649e-05 | 4.386611e-05 |
| linear_attn.in_proj_a | 8.127148e-06 | 7.939189e-06 | 1.013483e-05 | 8.333007e-06 | 9.021941e-06 | 7.905814e-05 | 1.127795e-04 | 9.086745e-05 |
| linear_attn.in_proj_b | 4.282824e-06 | 4.219812e-06 | 5.650605e-06 | 4.313552e-06 | 4.879101e-06 | 2.632293e-05 | 3.612761e-05 | 3.063076e-05 |
| linear_attn.in_proj_qkv | 4.680571e-06 | 4.734964e-06 | 7.185391e-06 | 5.025110e-06 | 5.484036e-06 | 5.406089e-05 | 8.116487e-05 | 6.297684e-05 |
| linear_attn.in_proj_z | 2.497409e-06 | 2.665767e-06 | 5.162030e-06 | 2.974811e-06 | 3.173376e-06 | 5.605688e-05 | 7.255266e-05 | 6.923658e-05 |
| linear_attn.out_proj | 4.335105e-06 | 4.391962e-06 | 7.336182e-06 | 4.703257e-06 | 5.095756e-06 | 6.900343e-05 | 9.571716e-05 | 8.424765e-05 |
| mlp.down_proj | 9.268959e-07 | 1.062782e-06 | 2.301765e-06 | 1.245826e-06 | 1.311150e-06 | 4.129266e-05 | 5.120560e-05 | 5.065612e-05 |
| mlp.gate_proj | 9.580801e-07 | 1.074851e-06 | 2.256064e-06 | 1.252352e-06 | 1.335244e-06 | 2.489912e-05 | 3.100982e-05 | 3.171688e-05 |
| mlp.up_proj | 6.794230e-07 | 8.171343e-07 | 1.876910e-06 | 9.783231e-07 | 1.024861e-06 | 2.168515e-05 | 2.565395e-05 | 2.853460e-05 |
| self_attn.k_proj | 4.507856e-06 | 4.594958e-06 | 7.649580e-06 | 4.936494e-06 | 5.358689e-06 | 5.828937e-05 | 8.605536e-05 | 6.748306e-05 |
| self_attn.o_proj | 3.297689e-06 | 3.447704e-06 | 7.745605e-06 | 3.790851e-06 | 4.176215e-06 | 7.107469e-05 | 9.571868e-05 | 8.786735e-05 |
| self_attn.q_proj | 7.777507e-06 | 7.595943e-06 | 1.058373e-05 | 7.882020e-06 | 8.426140e-06 | 5.097276e-05 | 7.181560e-05 | 6.138004e-05 |
| self_attn.v_proj | 4.537995e-06 | 4.862756e-06 | 1.106877e-05 | 5.390508e-06 | 5.803438e-06 | 9.248161e-05 | 1.263211e-04 | 1.116652e-04 |


pilot_maxcoef
| Family | fixture | C0 | C1 | C2 | C3 | C4 | C4z | C4s |
|---|---|---|---|---|---|---|---|---|
| lm_head | 0.0407 / 0.163 | 0.9741 / 4.736 | 1.0933 / 6.194 | 1.2492 / 8.821 | 1.0933 / 6.194 | 9.0987 / 53.694 | 8.4345 / 66.146 | 12.7176 / 51.851 |
