"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",128,637458650,4980145.703125,33.53,4542173,5156461,92577.380368
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",256,462486553,1806588.097656,24.33,876451,2709232,839120.748202
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",96,224712132,2340751.375000,11.82,2121145,2401669,48630.306505
"gated_delta_net_q8_fast",384,188633403,491232.820312,9.92,269163,574207,111377.006817
"fused_silu_mul_mq_rotate_awq",128,79595141,621837.039062,4.19,617007,637848,6280.847819
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",32,68889413,2152794.156250,3.62,1994463,2193306,38799.044575
"pack_f32_to_fp8_mq4v2_gfx12",256,54837574,214209.273438,2.88,90241,335404,115174.920103
"gdn_pre_batched_gfx1201",96,54773404,570556.291667,2.88,540846,581607,6188.624114
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",256,36576159,142875.621094,1.92,116561,153602,9039.315707
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",128,29693153,231977.757812,1.56,109562,361804,84643.020284
"gated_norm_f32",96,20523040,213781.666667,1.08,212722,223363,1580.295367
"rotate_x_mq_awq",128,15167567,118496.617188,0.7978,83241,140321,19537.128284
"deinterleave_q_rmsnorm_f32_batched",32,9670713,302209.781250,0.5087,299324,305683,1677.573377
"sigmoid_mul_f32",32,7503291,234477.843750,0.3947,233683,235283,386.953120
"kv_cache_write_fp8_e4m3_batched",256,2974473,11619.035156,0.1564,3040,15520,4367.984699
"gemv_mq4g256v2_multirow_r2",2,2151225,1075612.500000,0.1131,1068972,1082253,9391.085161
"rope_partial_halfsplit_batched_f32",32,2127383,66480.718750,0.1119,59841,74160,5574.817360
"rmsnorm_f32",34,1412410,41541.470588,0.0743,12521,45560,7202.679334
"__amd_rocclr_fillBufferUnAligned",704,1405972,1997.119318,0.0740,1160,13280,1549.529553
"__amd_rocclr_copyBuffer",184,520562,2829.141304,0.0274,2160,6440,455.177779
"embedding_q8_batched",2,124681,62340.500000,6.558e-03,62201,62480,197.282792
"mq_rotate_x",2,4800,2400.000000,2.525e-04,2280,2520,169.705627
