"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_gfx12_bt12",128,1333282184,10416267.062500,33.62,9608454,10614144,156617.214002
"gemm_mq4g256v2_residual_wmma_gfx12_bt12",256,983404564,3841424.078125,24.80,1877538,5804017,1813376.545576
"gemm_qkvza_mq4g256v2_wmma_gfx12_bt12",96,884197462,9210390.229167,22.30,8588044,9429572,130672.099258
"gemm_qkv_mq4g256v2_wmma_gfx1201_bt8",32,265636325,8301135.156250,6.70,7943438,8965648,280775.242199
"gated_delta_net_q8_fast",384,176819704,460467.979167,4.46,256402,534486,103346.243753
"fused_silu_mul_mq_rotate_awq",128,79805231,623478.367188,2.01,618367,641087,6307.608508
"convert_f32_to_f16",512,70966666,138606.769531,1.79,59601,321043,103582.816417
"gdn_pre_batched_gfx1201",96,53187280,554034.166667,1.34,531606,562686,5728.241002
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",128,27790712,217114.937500,0.7009,103201,339604,78648.424891
"fused_rmsnorm_mq_rotate_awq",256,26578980,103824.140625,0.6703,68121,123801,12743.149040
"gated_norm_f32",96,20524920,213801.250000,0.5176,212642,223882,1969.984114
"rotate_x_mq_awq",128,15193148,118696.468750,0.3832,84720,140241,19317.552616
"deinterleave_q_rmsnorm_f32_batched",32,9540215,298131.718750,0.2406,293763,302243,2256.219851
"sigmoid_mul_f32",32,7554954,236092.312500,0.1905,235082,237442,545.741487
"kv_cache_write_fp8_e4m3_batched",256,3089790,12069.492188,0.0779,3640,15880,4550.252501
"gemv_mq4g256v2_multirow_r2",2,2187782,1093891.000000,0.0552,1086651,1101131,10238.906192
"rope_partial_halfsplit_batched_f32",32,2131420,66606.875000,0.0538,59361,75720,5742.038829
"rmsnorm_f32",34,1340016,39412.235294,0.0338,13560,43161,5858.710702
"__amd_rocclr_fillBufferUnAligned",704,1309972,1860.755682,0.0330,1160,12920,1107.515879
"__amd_rocclr_copyBuffer",184,549844,2988.282609,0.0139,2120,8240,572.799573
"embedding_q8_batched",2,124760,62380.000000,3.146e-03,62160,62600,311.126984
"mq_rotate_x",2,4680,2340.000000,1.180e-04,2280,2400,84.852814
