"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"attention_fp8_e4m3_kv_batched",32,1465764961,45805155.031250,49.26,44645567,47022243,552028.533600
"gemm_mq4g256v2_residual_mmq_iu4_full_set",736,611037994,830214.665761,20.54,43760,1707385,654497.565296
"gemm_mq4g256v2_residual_mmq_iu4_full_add",256,284657460,1111943.203125,9.57,539248,1695824,520609.484331
"gated_delta_net_q8_fast",384,190388798,495804.161458,6.40,280645,586568,112157.794324
"quantize_int4_mmq_ds128",512,174714887,341240.013672,5.87,176483,741091,211863.234268
"fused_silu_mul_mq_rotate_awq",128,79754477,623081.851562,2.68,616409,641089,7138.060539
"gdn_pre_batched_gfx1201",96,55685008,580052.166667,1.87,555368,594369,9041.491524
"fused_rmsnorm_mq_rotate_awq",256,25985976,101507.718750,0.8734,79401,180162,18536.818053
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",96,20691259,215533.947917,0.6954,88761,346925,99924.832187
"gated_norm_f32",96,20463298,213159.354167,0.6878,212363,222323,1006.369263
"rotate_x_mq_awq",128,15197933,118733.851562,0.5108,84201,140562,19062.951723
"deinterleave_q_rmsnorm_f32_batched",32,9828304,307134.500000,0.3303,302684,311284,2388.042308
"sigmoid_mul_f32",32,7209580,225299.375000,0.2423,217403,232443,5880.262622
"kv_cache_write_fp8_e4m3_batched",256,2921561,11412.347656,0.0982,3320,17720,4299.480010
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",96,2694517,28067.885417,0.0906,24440,30241,1730.581733
"rope_partial_halfsplit_batched_f32",32,2172631,67894.718750,0.0730,62561,76521,4274.640526
"gemv_mq4g256v2_multirow_r2",2,2152232,1076116.000000,0.0723,1069856,1082376,8852.976900
"__amd_rocclr_fillBufferUnAligned",896,1868099,2084.931920,0.0628,1160,12800,1695.777439
"rmsnorm_f32",34,1454458,42778.176471,0.0489,12280,54721,7746.345032
"__amd_rocclr_copyBuffer",184,515921,2803.918478,0.0173,1800,17120,1397.075587
"embedding_q8_batched",2,216484,108242.000000,7.276e-03,93842,122642,20364.675298
"mq_rotate_x",2,4720,2360.000000,1.586e-04,2160,2560,282.842712
