"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",736,617668147,839223.025815,42.22,43240,1696780,663931.967617
"gemm_mq4g256v2_residual_mmq_iu4_full_add",256,288053132,1125207.546875,19.69,552446,1691419,520773.956576
"gated_delta_net_q8_fast",384,190309763,495598.341146,13.01,270843,584007,113069.233443
"fused_silu_mul_mq_rotate_awq_i4_gfx12",128,114173225,891978.320312,7.80,797409,917211,17397.559366
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",256,77711542,303560.710938,5.31,272683,317164,8230.846961
"gated_norm_mq_rotate_awq_i4_gfx12",96,57828615,602381.406250,3.95,542486,629407,16648.217915
"gdn_pre_batched_gfx1201",96,55980193,583127.010417,3.83,550686,593007,6517.304479
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",128,27291788,213217.093750,1.87,85960,342963,84826.933557
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,10082558,315079.937500,0.6892,297443,326684,6748.891718
"deinterleave_q_rmsnorm_f32_batched",32,9798265,306195.781250,0.6698,298643,310883,3125.257468
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",128,3239558,25309.046875,0.2214,14640,30520,5001.319733
"kv_cache_write_fp8_e4m3_batched",256,3001235,11723.574219,0.2051,3360,15560,4382.300678
"gemv_mq4g256v2_multirow_r2",2,2164945,1082472.500000,0.1480,1081933,1083012,762.968217
"rope_partial_halfsplit_batched_f32",32,2138944,66842.000000,0.1462,60880,73761,5171.237501
"rmsnorm_f32",34,1440859,42378.205882,0.0985,12920,56761,7739.345422
"__amd_rocclr_fillBufferUnAligned",704,1423493,2022.007102,0.0973,1160,12441,1497.961943
"__amd_rocclr_copyBuffer",184,520605,2829.375000,0.0356,2200,6600,473.144770
"embedding_q8_batched",2,125522,62761.000000,8.580e-03,62361,63161,565.685425
"mq_rotate_x",2,4880,2440.000000,3.336e-04,2280,2600,226.274170
