out_lane,out_elem,c_row,c_col
0,0,0,0
0,1,1,0
0,2,2,0
0,3,3,0
1,0,0,1
1,1,1,1
1,2,2,1
1,3,3,1
2,0,0,2
2,1,1,2
2,2,2,2
2,3,3,2
3,0,0,3
3,1,1,3
3,2,2,3
3,3,3,3
4,0,0,4
4,1,1,4
4,2,2,4
4,3,3,4
5,0,0,5
5,1,1,5
5,2,2,5
5,3,3,5
6,0,0,6
6,1,1,6
6,2,2,6
6,3,3,6
7,0,0,7
7,1,1,7
7,2,2,7
7,3,3,7
8,0,0,8
8,1,1,8
8,2,2,8
8,3,3,8
9,0,0,9
9,1,1,9
9,2,2,9
9,3,3,9
10,0,0,10
10,1,1,10
10,2,2,10
10,3,3,10
11,0,0,11
11,1,1,11
11,2,2,11
11,3,3,11
12,0,0,12
12,1,1,12
12,2,2,12
12,3,3,12
13,0,0,13
13,1,1,13
13,2,2,13
13,3,3,13
14,0,0,14
14,1,1,14
14,2,2,14
14,3,3,14
15,0,0,15
15,1,1,15
15,2,2,15
15,3,3,15
16,0,8,0
16,1,9,0
16,2,10,0
16,3,11,0
17,0,8,1
17,1,9,1
17,2,10,1
17,3,11,1
18,0,8,2
18,1,9,2
18,2,10,2
18,3,11,2
19,0,8,3
19,1,9,3
19,2,10,3
19,3,11,3
20,0,8,4
20,1,9,4
20,2,10,4
20,3,11,4
21,0,8,5
21,1,9,5
21,2,10,5
21,3,11,5
22,0,8,6
22,1,9,6
22,2,10,6
22,3,11,6
23,0,8,7
23,1,9,7
23,2,10,7
23,3,11,7
24,0,8,8
24,1,9,8
24,2,10,8
24,3,11,8
25,0,8,9
25,1,9,9
25,2,10,9
25,3,11,9
26,0,8,10
26,1,9,10
26,2,10,10
26,3,11,10
27,0,8,11
27,1,9,11
27,2,10,11
27,3,11,11
28,0,8,12
28,1,9,12
28,2,10,12
28,3,11,12
29,0,8,13
29,1,9,13
29,2,10,13
29,3,11,13
30,0,8,14
30,1,9,14
30,2,10,14
30,3,11,14
31,0,8,15
31,1,9,15
31,2,10,15
31,3,11,15
32,0,4,0
32,1,5,0
32,2,6,0
32,3,7,0
33,0,4,1
33,1,5,1
33,2,6,1
33,3,7,1
34,0,4,2
34,1,5,2
34,2,6,2
34,3,7,2
35,0,4,3
35,1,5,3
35,2,6,3
35,3,7,3
36,0,4,4
36,1,5,4
36,2,6,4
36,3,7,4
37,0,4,5
37,1,5,5
37,2,6,5
37,3,7,5
38,0,4,6
38,1,5,6
38,2,6,6
38,3,7,6
39,0,4,7
39,1,5,7
39,2,6,7
39,3,7,7
40,0,4,8
40,1,5,8
40,2,6,8
40,3,7,8
41,0,4,9
41,1,5,9
41,2,6,9
41,3,7,9
42,0,4,10
42,1,5,10
42,2,6,10
42,3,7,10
43,0,4,11
43,1,5,11
43,2,6,11
43,3,7,11
44,0,4,12
44,1,5,12
44,2,6,12
44,3,7,12
45,0,4,13
45,1,5,13
45,2,6,13
45,3,7,13
46,0,4,14
46,1,5,14
46,2,6,14
46,3,7,14
47,0,4,15
47,1,5,15
47,2,6,15
47,3,7,15
48,0,12,0
48,1,13,0
48,2,14,0
48,3,15,0
49,0,12,1
49,1,13,1
49,2,14,1
49,3,15,1
50,0,12,2
50,1,13,2
50,2,14,2
50,3,15,2
51,0,12,3
51,1,13,3
51,2,14,3
51,3,15,3
52,0,12,4
52,1,13,4
52,2,14,4
52,3,15,4
53,0,12,5
53,1,13,5
53,2,14,5
53,3,15,5
54,0,12,6
54,1,13,6
54,2,14,6
54,3,15,6
55,0,12,7
55,1,13,7
55,2,14,7
55,3,15,7
56,0,12,8
56,1,13,8
56,2,14,8
56,3,15,8
57,0,12,9
57,1,13,9
57,2,14,9
57,3,15,9
58,0,12,10
58,1,13,10
58,2,14,10
58,3,15,10
59,0,12,11
59,1,13,11
59,2,14,11
59,3,15,11
60,0,12,12
60,1,13,12
60,2,14,12
60,3,15,12
61,0,12,13
61,1,13,13
61,2,14,13
61,3,15,13
62,0,12,14
62,1,13,14
62,2,14,14
62,3,15,14
63,0,12,15
63,1,13,15
63,2,14,15
63,3,15,15
W64_C_MAP,PASS,bad=0
