"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"attention_fp8_e4m3_fa2_gqa_gfx1201",2048,15487667245,7562337.521973,31.54,205803,15175343,8714641.575760
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",1024,11342307621,11076472.286133,23.10,10164903,11593014,10286967.575262
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",2048,8365748936,4084838.347656,17.04,1891946,6358055,4137608.116190
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",768,3908441652,5089116.734375,7.96,4399102,5314160,205710.228036
"gated_delta_net_q8_fast",6144,3465809793,564096.645996,7.06,463006,599489,22827.734227
"fused_silu_mul_mq_rotate_awq",1024,1443937745,1410095.454102,2.94,1403461,1431260,5851.915672
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,1209039823,4722811.808594,2.46,4512744,4793711,35519.951474
"gdn_pre_batched_gfx1201",768,1011547955,1317119.733073,2.06,1217617,1354540,19225.424401
"pack_f32_to_fp8_mq4v2_gfx12",2048,977593482,477340.567383,1.99,267604,687290,202020.630944
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",2048,695214510,339460.209961,1.42,325085,383845,6537.063645
"gated_norm_f32",768,374361781,487450.235677,0.7623,485927,499687,1840.725338
"rotate_x_mq_awq",1024,308960801,301719.532227,0.6291,298124,494448,9190.664599
"deinterleave_q_rmsnorm_f32_batched",256,176609990,689882.773438,0.3596,680050,714171,4490.783119
"sigmoid_mul_f32",256,128019475,500076.074219,0.2607,488568,549248,17722.253388
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",2048,60155257,29372.684082,0.1225,24401,38321,2919.689044
"kv_cache_write_fp8_e4m3_batched",4096,57140190,13950.241699,0.1164,12240,21520,781.494587
"rope_partial_halfsplit_batched_f32",256,46820521,182892.660156,0.0953,175523,195163,5065.359402
"rmsnorm_f32",272,26677017,98077.268382,0.0543,11480,117962,21604.351559
"gemv_mq4g256v2_multirow_r2",16,17354934,1084683.375000,0.0353,1075895,1093136,6282.429783
"embedding_q8_batched",16,2136672,133542.000000,4.351e-03,129122,138922,3326.980613
"__amd_rocclr_fillBufferUnAligned",704,1958111,2781.407670,3.987e-03,1120,21800,3794.825187
"__amd_rocclr_copyBuffer",226,668650,2958.628319,1.362e-03,1720,7080,892.626349
"mq_rotate_x",16,37280,2330.000000,7.591e-05,2120,2640,178.587047
