"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2819977970,11015538.945312,29.98,10196667,11348045,360398.527976
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2077289084,4057205.242188,22.09,1914828,6235771,1951315.223468
"attention_fp8_e4m3_fa2_gqa_gfx1201",512,1024607323,2001186.177734,10.89,211963,3536131,1011459.758623
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,979627269,5102225.359375,10.42,4582386,5242117,101386.887249
"gated_delta_net_q8_fast",1536,869565365,566123.284505,9.25,466807,587409,12947.306603
"fused_silu_mul_mq_rotate_awq",256,360847888,1409562.062500,3.84,1404420,1426940,5441.983735
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,299342054,4677219.593750,3.18,4528585,4750789,34493.310415
"gdn_pre_batched_gfx1201",192,252321932,1314176.729167,2.68,1222258,1339299,13266.104254
"pack_f32_to_fp8_mq4v2_gfx12",512,243909205,476385.166016,2.59,267244,685330,202223.337615
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",512,173766435,339387.568359,1.85,325525,382645,5563.412065
"gated_norm_f32",192,93514355,487053.932292,0.9943,485807,497408,1819.162548
"rotate_x_mq_awq",256,77093242,301145.476562,0.8197,298125,432767,8825.014364
"deinterleave_q_rmsnorm_f32_batched",64,44061757,688464.953125,0.4685,680569,697730,3517.441199
"sigmoid_mul_f32",64,32000784,500012.250000,0.3403,488567,703690,26366.683480
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",512,16846608,32903.531250,0.1791,25640,604768,30342.037565
"kv_cache_write_fp8_e4m3_batched",1024,14650890,14307.509766,0.1558,12600,81641,2666.507079
"rope_partial_halfsplit_batched_f32",64,11871491,185492.046875,0.1262,171643,198723,11673.188642
"rmsnorm_f32",68,6605491,97139.573529,0.0702,12160,110002,21330.528446
"gemv_mq4g256v2_multirow_r2",4,4337862,1084465.500000,0.0461,1076895,1092256,7220.078508
"__amd_rocclr_fillBufferUnAligned",704,1447181,2055.654830,0.0154,1200,13080,1418.313410
"embedding_q8_batched",4,545368,136342.000000,5.799e-03,133802,138402,2060.032362
"__amd_rocclr_copyBuffer",190,538844,2836.021053,5.729e-03,1800,6200,560.417625
"mq_rotate_x",4,9440,2360.000000,1.004e-04,2160,2560,209.125162
