"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",1024,11488387938,11219128.845703,27.56,10605964,11584579,11105899.797729
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",2048,8490442639,4145723.944824,20.37,1940030,6408379,4148364.703799
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",2048,7617864964,3719660.626953,18.28,90281,7210991,4206705.063993
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",768,3994542952,5201227.802083,9.58,4456829,5311002,65001.016367
"gated_delta_net_q8_fast",6144,3541646669,576439.887533,8.50,460207,598129,9981.842836
"fused_silu_mul_mq_rotate_awq",1024,1443989312,1410145.812500,3.46,1402782,1434301,6107.628323
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,1212584760,4736659.218750,2.91,4522669,4809595,34448.213981
"gdn_pre_batched_gfx1201",768,1018862197,1326643.485677,2.44,1216818,1351141,9945.591755
"pack_f32_to_fp8_mq4v2_gfx12",2048,976286350,476702.319336,2.34,266404,687651,202154.547235
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",2048,699612240,341607.539062,1.68,328685,384006,5049.790771
"gated_norm_f32",768,374400914,487501.190104,0.8983,486248,502488,1844.432072
"rotate_x_mq_awq",1024,307620370,300410.517578,0.7380,298164,311685,2305.396232
"deinterleave_q_rmsnorm_f32_batched",256,176580692,689768.328125,0.4236,680691,709211,4252.637372
"sigmoid_mul_f32",256,125421668,489928.390625,0.3009,484847,505448,4027.934254
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",2048,59449874,29028.258789,0.1426,24320,37920,2916.689404
"kv_cache_write_fp8_e4m3_batched",4096,57615022,14066.167480,0.1382,12360,16880,807.036034
"rope_partial_halfsplit_batched_f32",256,46802961,182824.066406,0.1123,175403,191923,5129.789460
"rmsnorm_f32",272,26728367,98266.055147,0.0641,12321,114761,21473.016137
"gemv_mq4g256v2_multirow_r2",16,17373825,1085864.062500,0.0417,1075777,1092897,6218.471028
"embedding_q8_batched",16,2194595,137162.187500,5.265e-03,134202,139402,1843.001943
"__amd_rocclr_fillBufferUnAligned",704,1896992,2694.590909,4.551e-03,1160,21960,3570.173054
"__amd_rocclr_copyBuffer",226,674167,2983.039823,1.617e-03,1840,6320,890.969706
"mq_rotate_x",16,39360,2460.000000,9.443e-05,2200,2760,201.858036
