"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2850523723,11134858.292969,31.88,10586117,11344088,168933.969451
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2104325066,4110009.894531,23.53,1936829,6253813,1979138.596884
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,987392926,5142671.489583,11.04,4537348,5227037,75770.155634
"gated_delta_net_q8_fast",1536,873454108,568655.018229,9.77,459166,589329,12651.316401
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",512,492073081,961080.236328,5.50,91881,1759626,518073.459283
"fused_silu_mul_mq_rotate_awq",256,360748042,1409172.039062,4.03,1404301,1426781,5005.792481
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,299969501,4687023.453125,3.35,4573668,4737030,25254.454393
"gdn_pre_batched_gfx1201",192,252778159,1316552.911458,2.83,1213378,1333620,12003.202294
"pack_f32_to_fp8_mq4v2_gfx12",512,243931156,476428.039062,2.73,266644,684130,202299.786554
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",512,174391234,340607.878906,1.95,326845,381846,4266.142214
"gated_norm_f32",192,93515951,487062.244792,1.05,485927,497407,1627.844857
"rotate_x_mq_awq",256,76936380,300532.734375,0.8604,298164,315445,2912.375451
"deinterleave_q_rmsnorm_f32_batched",64,44144934,689764.593750,0.4937,681490,715371,5478.880293
"sigmoid_mul_f32",64,31643110,494423.593750,0.3539,484967,503128,5871.710277
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",512,15754238,30769.996094,0.1762,26040,36641,2655.700584
"kv_cache_write_fp8_e4m3_batched",1024,14749861,14404.161133,0.1650,13120,16520,625.613482
"rope_partial_halfsplit_batched_f32",64,11891218,185800.281250,0.1330,171922,199803,11842.574487
"rmsnorm_f32",68,6590420,96917.941176,0.0737,12321,106082,21254.068942
"gemv_mq4g256v2_multirow_r2",4,4340023,1085005.750000,0.0485,1076775,1092616,7367.352775
"__amd_rocclr_fillBufferUnAligned",704,1465054,2081.042614,0.0164,1200,13480,1485.762440
"embedding_q8_batched",4,547088,136772.000000,6.118e-03,134682,138682,2166.994847
"__amd_rocclr_copyBuffer",190,539407,2838.984211,6.032e-03,1760,6200,558.314787
"mq_rotate_x",4,9680,2420.000000,1.083e-04,2200,2640,254.034118
