"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2745916734,10726237.242188,28.93,9883944,13049242,403930.330179
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2028895708,3962686.929688,21.38,1856532,6132081,1917270.236009
"attention_q8_0_fa2_gqa_gfx1201",512,1223967622,2390561.761719,12.89,210922,4302829,1238281.209294
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,952944804,4963254.187500,10.04,4459109,6640882,194111.409041
"gated_delta_net_q8_fast",1536,843767647,549327.895182,8.89,478523,674644,14600.809379
"fused_silu_mul_mq_rotate_awq",256,361035834,1410296.226562,3.80,1404009,1427490,6303.242553
"pack_f32_to_fp8_mq4v2_gfx12",1024,352332597,344074.801758,3.71,208082,683004,193980.077667
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,293989329,4593583.265625,3.10,4205107,6627162,262645.572438
"gdn_pre_batched_gfx1201",192,248671019,1295161.557292,2.62,1214728,1335048,16534.958131
"fused_rmsnorm_mq_rotate_awq",512,138713661,270925.119141,1.46,266762,370442,6094.295151
"gated_norm_f32",192,93710654,488076.322917,0.9873,486764,499283,1653.859136
"rotate_x_mq_awq",256,77154459,301384.605469,0.8128,298162,315562,3670.567449
"deinterleave_q_rmsnorm_f32_batched",64,44057086,688391.968750,0.4642,680244,755364,9488.717817
"sigmoid_mul_f32",64,31149362,486708.781250,0.3282,483283,490763,2376.792927
"attention_fa2_q_preconvert_gfx1201",512,16369873,31972.408203,0.1725,26480,37960,2478.917258
"kv_cache_write_q8_0_batched",1024,14171563,13839.416992,0.1493,7480,21560,5670.230758
"rope_partial_halfsplit_batched_f32",64,11382439,177850.609375,0.1199,156322,216041,19931.280204
"rmsnorm_f32",68,6447480,94815.882353,0.0679,11440,105761,20834.146715
"gemv_mq4g256v2_multirow_r2",4,4326150,1081537.500000,0.0456,1076447,1091928,7148.500099
"__amd_rocclr_fillBufferUnAligned",704,1775131,2521.492898,0.0187,1080,12560,1967.522752
"__amd_rocclr_copyBuffer",190,542121,2853.268421,5.711e-03,1920,6880,583.307806
"embedding_q8_batched",4,540324,135081.000000,5.692e-03,133681,136441,1461.688521
"mq_rotate_x",4,9360,2340.000000,9.861e-05,2040,2640,270.308466
