"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2813538787,10990385.886719,29.07,10227388,11347166,353503.527323
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2071340481,4045586.876953,21.40,1869947,6231010,1956516.507499
"attention_q8_0_fa2_gqa_gfx1201",512,1244619827,2430898.099609,12.86,226323,4307583,1241969.676302
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,977703111,5092203.703125,10.10,4487425,5250877,119414.745320
"gated_delta_net_q8_fast",1536,867184976,564573.552083,8.96,456207,585609,13172.551342
"fused_silu_mul_mq_rotate_awq",256,360923549,1409857.613281,3.73,1404301,1427380,5841.220424
"pack_f32_to_fp8_mq4v2_gfx12",1024,352787840,344519.375000,3.64,207843,686730,194237.961787
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,298785056,4668516.500000,3.09,4525025,4738109,28177.831760
"gdn_pre_batched_gfx1201",192,251892501,1311940.109375,2.60,1217138,1333100,15018.445601
"fused_rmsnorm_mq_rotate_awq",512,138994491,271473.615234,1.44,266924,331325,4234.807648
"gated_norm_f32",192,93689403,487965.640625,0.9679,486647,498047,1354.821802
"rotate_x_mq_awq",256,77123085,301262.050781,0.7967,298365,315364,3153.250255
"deinterleave_q_rmsnorm_f32_batched",64,44077037,688703.703125,0.4553,680010,699090,4148.521074
"sigmoid_mul_f32",64,31140929,486577.015625,0.3217,483087,490447,2414.407486
"attention_fa2_q_preconvert_gfx1201",512,16364435,31961.787109,0.1691,26520,37840,2441.778169
"kv_cache_write_q8_0_batched",1024,14658275,14314.721680,0.1514,7520,21681,5616.936874
"rope_partial_halfsplit_batched_f32",64,11358683,177479.421875,0.1173,155842,199682,19455.306539
"rmsnorm_f32",68,6562733,96510.779412,0.0678,11921,107481,21235.298903
"gemv_mq4g256v2_multirow_r2",4,4339103,1084775.750000,0.0448,1076495,1092856,7291.871290
"__amd_rocclr_fillBufferUnAligned",704,1743508,2476.573864,0.0180,1160,13280,1900.251928
"embedding_q8_batched",4,548328,137082.000000,5.665e-03,133442,143482,4708.347198
"__amd_rocclr_copyBuffer",190,536487,2823.615789,5.542e-03,2000,6601,554.664887
"mq_rotate_x",4,9640,2410.000000,9.959e-05,2120,2680,272.029410
