"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2767198167,10809367.839844,29.21,9992730,11154543,373241.898339
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2042367486,3988998.996094,21.56,1873137,6161617,1934497.715190
"attention_q8_0_fa2_gqa_gfx1201",512,1229217592,2400815.609375,12.98,220442,4303560,1235074.576981
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,959348465,4996606.588542,10.13,4536000,5151488,134174.969755
"gated_delta_net_q8_fast",1536,852889058,555266.313802,9.00,447124,576565,14522.725431
"fused_silu_mul_mq_rotate_awq",256,361151657,1410748.660156,3.81,1404973,1435613,6560.603318
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,293971437,4593303.703125,3.10,4388520,4647642,33228.424619
"gdn_pre_batched_gfx1201",192,249660428,1300314.729167,2.64,1213931,1327693,17115.080368
"pack_f32_to_fp8_mq4v2_gfx12",512,243376720,475345.156250,2.57,265522,683326,202149.868429
"fused_rmsnorm_mq_rotate_awq_mq4v2_fp8_gfx12",512,172662014,337230.496094,1.82,324483,372923,5767.101554
"gated_norm_f32",192,93729515,488174.557292,0.9894,486644,497605,2031.930075
"rotate_x_mq_awq",256,77101975,301179.589844,0.8139,298403,315923,3081.854405
"deinterleave_q_rmsnorm_f32_batched",64,44050522,688289.406250,0.4650,679086,697846,3701.505304
"sigmoid_mul_f32",64,31150121,486720.640625,0.3288,483365,493764,2710.968967
"attention_fa2_q_preconvert_gfx1201",512,16369975,31972.607422,0.1728,26480,38121,2476.338861
"kv_cache_write_q8_0_batched",1024,14137055,13805.717773,0.1492,7400,21600,5632.797931
"rope_partial_halfsplit_batched_f32",64,11372906,177701.656250,0.1201,155761,199441,19446.474596
"rmsnorm_f32",68,6469858,95144.970588,0.0683,11440,109681,21000.178755
"gemv_mq4g256v2_multirow_r2",4,4349400,1087350.000000,0.0459,1080530,1092011,4850.267415
"__amd_rocclr_fillBufferUnAligned",704,1715454,2436.724432,0.0181,1200,13320,1761.283566
"embedding_q8_batched",4,539044,134761.000000,5.690e-03,132881,135881,1395.994269
"__amd_rocclr_copyBuffer",190,529401,2786.321053,5.588e-03,1800,6520,537.906433
"mq_rotate_x",4,9400,2350.000000,9.923e-05,2080,2640,255.864547
