"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2797732688,10928643.312500,29.08,10236459,11307994,328376.059360
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,2057947294,4019428.308594,21.39,1857385,6245405,1944020.829747
"attention_q8_0_fa2_gqa_gfx1201",512,1231216729,2404720.173828,12.80,226283,4276498,1232298.682190
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,972780114,5066563.093750,10.11,4506501,5204911,120019.360252
"gated_delta_net_q8_fast",1536,859313466,559448.871094,8.93,460766,582448,13331.455433
"fused_silu_mul_mq_rotate_awq",256,361200791,1410940.589844,3.75,1405020,1432859,6934.001081
"pack_f32_to_fp8_mq4v2_gfx12",1024,352511670,344249.677734,3.66,207643,683849,194100.676806
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,297119848,4642497.625000,3.09,4481461,4700544,33800.823312
"gdn_pre_batched_gfx1201",192,250435733,1304352.776042,2.60,1213656,1325418,13765.880175
"fused_rmsnorm_mq_rotate_awq",512,138830298,271152.925781,1.44,266483,323485,4028.724806
"gated_norm_f32",192,93730563,488180.015625,0.9742,486806,498007,1816.328520
"rotate_x_mq_awq",256,77105527,301193.464844,0.8014,298164,316964,3357.180709
"deinterleave_q_rmsnorm_f32_batched",64,44059039,688422.484375,0.4580,683090,710770,4120.084885
"sigmoid_mul_f32",64,31154541,486789.703125,0.3238,483167,495807,2747.166850
"attention_fa2_q_preconvert_gfx1201",512,16374746,31981.925781,0.1702,26440,37681,2467.143022
"kv_cache_write_q8_0_batched",1024,14380346,14043.306641,0.1495,7400,25320,5594.303040
"rope_partial_halfsplit_batched_f32",64,11362672,177541.750000,0.1181,155882,198882,19459.145391
"rmsnorm_f32",68,6508327,95710.691176,0.0676,11760,110562,21088.383956
"gemv_mq4g256v2_multirow_r2",4,4349898,1087474.500000,0.0452,1077094,1092215,7139.253019
"__amd_rocclr_fillBufferUnAligned",704,1723704,2448.443182,0.0179,1120,12720,1885.916116
"embedding_q8_batched",4,543368,135842.000000,5.648e-03,133642,137842,2002.931185
"__amd_rocclr_copyBuffer",190,529926,2789.084211,5.508e-03,1840,6520,566.080774
"mq_rotate_x",4,9760,2440.000000,1.014e-04,2200,2640,214.165045
