"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gated_delta_net_q8_scan_gfx1201",1536,6468895462,4211520.483073,43.86,4090260,4919513,3959231.844692
"gemm_gate_up_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",256,2596658581,10143197.582031,17.61,9917787,10808802,135245.246533
"gemm_mq4g256v2_residual_wmma_fp8_v2_b128x128_gfx1201",512,1904068978,3718884.722656,12.91,1842828,5895687,1842653.414666
"attention_q8_0_fa2_gqa_gfx1201",512,1173885276,2292744.679688,7.96,209203,4269064,1227169.366905
"gemm_qkvza_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",192,931079411,4849371.932292,6.31,4444585,5105516,124399.432537
"fused_silu_mul_mq_rotate_awq",256,360955814,1409983.648438,2.45,1404461,1431061,5945.154795
"pack_f32_to_fp8_mq4v2_gfx12",1024,349445163,341255.041992,2.37,207083,681290,194936.426608
"gemm_qkv_mq4g256v2_wmma_fp8_v2_b128x128_gfx1201",64,277551249,4336738.265625,1.88,4215823,4596508,103583.406496
"gdn_pre_batched_gfx1201",192,247029149,1286610.151042,1.67,1222778,1313579,12945.331051
"fused_rmsnorm_mq_rotate_awq",512,137717807,268980.091797,0.9338,266284,314165,4014.213863
"gated_norm_f32",192,94109362,490152.927083,0.6381,488367,499568,2401.107895
"rotate_x_mq_awq",256,77217700,301631.640625,0.5236,298244,316044,3737.113015
"deinterleave_q_rmsnorm_f32_batched",64,43787007,684171.984375,0.2969,675930,700610,3879.993117
"sigmoid_mul_f32",64,31143984,486624.750000,0.2112,483007,495648,2667.078337
"attention_fa2_q_preconvert_gfx1201",512,16356626,31946.535156,0.1109,26440,37801,2461.610311
"kv_cache_write_q8_0_batched",1024,13658199,13338.084961,0.0926,7160,21280,5601.393012
"rope_partial_halfsplit_batched_f32",64,11375604,177743.812500,0.0771,155242,200403,19595.570922
"rmsnorm_f32",68,6279326,92343.029412,0.0426,11880,104601,20224.347992
"gemv_mq4g256v2_multirow_r2",4,4352344,1088086.000000,0.0295,1080376,1092296,5381.585888
"__amd_rocclr_fillBufferUnAligned",704,1708393,2426.694602,0.0116,1160,13361,1749.046105
"embedding_q8_batched",4,539008,134752.000000,3.655e-03,132042,137202,2160.833173
"__amd_rocclr_copyBuffer",190,532967,2805.089474,3.614e-03,2000,6480,537.207189
"mq_rotate_x",4,9801,2450.250000,6.645e-05,2200,2640,194.440008
