"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1472,2704559364,1837336.524457,34.33,47680,3691226,1470233.763259
"gemm_mq4g256v2_residual_mmq_iu4_full_add",512,1256595222,2454287.542969,15.95,1161528,3747226,1161535.356450
"attention_q8_0_fa2_gqa_gfx1201",512,1230677761,2403667.501953,15.62,222521,4251311,1224454.743821
"gated_delta_net_q8_fast",1536,854156932,556091.752604,10.84,445523,583684,18333.335884
"quantize_int4_mmq_ds128",1024,776054571,757865.791992,9.85,394842,1632731,473232.556451
"fused_silu_mul_mq_rotate_awq",256,361058600,1410385.156250,4.58,1403250,1431530,6457.860324
"gdn_pre_batched_gfx1201",192,252501838,1315113.739583,3.21,1209088,1337090,18345.887001
"fused_rmsnorm_mq_rotate_awq",512,138674984,270849.578125,1.76,266001,326763,4218.671497
"gated_norm_f32",192,93694182,487990.531250,1.19,486483,497763,1633.966035
"rotate_x_mq_awq",256,77127717,301280.144531,0.9791,298322,315722,3282.495012
"deinterleave_q_rmsnorm_f32_batched",64,44357397,693084.328125,0.5631,683445,715365,5284.995680
"sigmoid_mul_f32",64,31165465,486960.390625,0.3956,482044,490324,2586.198525
"attention_fa2_q_preconvert_gfx1201",512,16465352,32158.890625,0.2090,28160,37960,2533.374490
"kv_cache_write_q8_0_batched",1024,14517221,14176.973633,0.1843,7481,21601,5549.055358
"rope_partial_halfsplit_batched_f32",64,11400241,178128.765625,0.1447,157561,198722,18952.875025
"rmsnorm_f32",68,6583243,96812.397059,0.0836,12040,107841,21282.424671
"gemv_mq4g256v2_multirow_r2",4,4323150,1080787.500000,0.0549,1076527,1082727,2871.831065
"__amd_rocclr_fillBufferUnAligned",1088,2437420,2240.275735,0.0309,1120,13600,1390.003983
"__amd_rocclr_copyBuffer",190,549122,2890.115789,6.971e-03,1880,6320,553.519186
"embedding_q8_batched",4,538644,134661.000000,6.838e-03,133201,136441,1508.906889
"mq_rotate_x",4,9640,2410.000000,1.224e-04,2160,2640,212.602916
