"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1472,2738093037,1860117.552310,35.53,48001,3805796,1483216.761706
"gemm_mq4g256v2_residual_mmq_iu4_full_add",512,1275784644,2491766.882812,16.56,1164171,3838556,1184341.639297
"attention_q8_0_fa2_gqa_gfx1201",512,1243561489,2428831.033203,16.14,223842,4262920,1228402.016716
"gated_delta_net_q8_fast",1536,862068757,561242.680339,11.19,476924,589006,19739.671168
"fused_silu_mul_mq_rotate_awq_i4_gfx12",256,506467702,1978389.460938,6.57,1828418,2061899,62301.783791
"quantize_int4_mmq_ds128",768,379143649,493676.626302,4.92,395444,587325,46439.122130
"gdn_pre_batched_gfx1201",192,254972264,1327980.541667,3.31,1221531,1355093,18879.962585
"fused_rmsnorm_mq_rotate_awq",512,139058539,271598.708984,1.80,266363,342683,5119.277012
"gated_norm_f32",192,93799393,488538.505208,1.22,487044,498405,2512.953111
"rotate_x_mq_awq",256,76735397,299747.644531,0.9958,295723,310203,2332.656895
"deinterleave_q_rmsnorm_f32_batched",64,44417413,694022.078125,0.5764,681167,707727,5664.583097
"sigmoid_mul_f32",64,31940699,499073.421875,0.4145,493565,504484,4383.695335
"attention_fa2_q_preconvert_gfx1201",512,16560154,32344.050781,0.2149,26400,37800,2655.120605
"kv_cache_write_q8_0_batched",1024,15509387,15145.885742,0.2013,7480,21560,5660.459552
"rope_partial_halfsplit_batched_f32",64,11754747,183667.921875,0.1525,176522,191362,5577.570582
"rmsnorm_f32",68,6693224,98429.764706,0.0869,11801,108921,21654.012947
"gemv_mq4g256v2_multirow_r2",4,4365442,1091360.500000,0.0566,1089330,1093971,2353.746021
"__amd_rocclr_fillBufferUnAligned",1088,3969998,3648.895221,0.0515,1160,188401,7232.515862
"embedding_q8_batched",4,633127,158281.750000,8.216e-03,135322,224922,44432.316170
"__amd_rocclr_copyBuffer",190,523084,2753.073684,6.788e-03,1920,12601,1077.029250
"mq_rotate_x",4,10240,2560.000000,1.329e-04,2480,2680,86.409876
