"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
15,37120,"; attention_fp8_e4m3_fa2_gqa_packet_gfx1201",0,0,0,0,""
15,37120,"s_load_b128 s[4:7], s[0:1], 0x30",2,2,0,3023,""
15,37128,"s_wait_kmcnt 0x0",2,3268,3266,0,""
15,37132,"s_cmp_lg_u32 s4, 24",2,5,3,0,""
15,37136,"s_cselect_b32 s2, -1, 0",2,7,5,0,""
15,37140,"s_cmp_lg_u32 s5, 4",2,3,1,0,""
15,37144,"s_cselect_b32 s3, -1, 0",2,2,0,1,""
15,37148,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,37152,"s_or_b32 s2, s2, s3",2,2,0,2,""
15,37156,"s_cmp_lg_u32 s6, 0x100",2,2,0,0,""
15,37164,"s_cselect_b32 s3, -1, 0",2,2,0,1,""
15,37168,"s_or_b32 s2, s2, s3",2,2,0,2,""
15,37172,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
15,37176,"s_and_b32 vcc_lo, exec_lo, s2",2,2,0,4,""
15,37180,"s_cbranch_vccnz 3144",2,2,0,20,""
15,37184,"s_and_b32 s25, ttmp7, 0xffff",2,2,0,4,""
15,37192,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
15,37196,"s_cmp_gt_i32 s25, 3",2,2,0,2,""
15,37200,"s_cbranch_scc1 3139",2,2,0,16,""
15,37204,"s_load_b32 s24, s[0:1], 0x40",2,2,0,4,""
15,37212,"s_lshr_b32 s2, ttmp7, 7",2,2,0,0,""
15,37216,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,37220,"s_and_b32 s2, s2, 0x1fffe00",2,2,0,2,""
15,37228,"s_cmp_gt_i32 s7, 0x200",2,2,0,0,""
15,37236,"s_cselect_b32 s22, s2, 0",2,2,0,0,""
15,37240,"s_cmp_le_i32 s7, s22",2,2,0,2,""
15,37244,"s_cbranch_scc1 3128",2,2,0,18,""
15,37248,"s_sub_co_i32 s2, s7, s22",2,2,0,4,""
15,37252,"s_lshl_b32 s20, ttmp9, 7",2,2,0,0,""
15,37256,"s_min_i32 s23, s2, 0x200",2,2,0,0,""
15,37264,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
15,37268,"s_mul_i32 s21, s23, 6",2,4,0,2,""
15,37272,"s_cmp_ge_i32 s20, s21",2,2,0,0,""
15,37276,"s_cbranch_scc1 3120",2,2,0,20,""
15,37280,"v_lshrrev_b32_e32 v7, 5, v0",2,2,0,4,""
15,37284,"s_wait_kmcnt 0x0",2,284,282,0,""
15,37288,"v_dual_mov_b32 v154, s24 :: v_dual_and_b32 v9, 15, v0",2,2,0,0,""
15,37296,"s_clause 0x1",2,6,4,0,""
15,37300,"s_load_b256 s[8:15], s[0:1], 0x0",2,2,0,6,""
15,37308,"s_load_b128 s[16:19], s[0:1], 0x20",2,2,0,0,""
15,37316,"v_lshlrev_b32_e32 v10, 4, v7",2,2,0,0,""
15,37320,"v_bfe_u32 v153, v0, 4, 1",2,2,0,1,""
15,37328,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
15,37332,"v_or_b32_e32 v1, v10, v9",2,2,0,5,""
15,37336,"v_add_nc_u32_e32 v3, s20, v1",2,2,0,8,""
15,37340,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(VALU_DEP_3)",0,0,0,0,""
15,37344,"v_mul_hi_i32 v1, 0x2aaaaaab, v3",2,8,0,10,""
15,37356,"v_cmp_le_i32_e64 s1, s21, v3",2,3,1,0,""
15,37364,"v_cmp_gt_i32_e64 s0, s21, v3",2,2,0,0,""
15,37372,"v_lshrrev_b32_e32 v2, 31, v1",2,2,0,5,""
15,37376,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
15,37380,"v_add_nc_u32_e32 v2, v1, v2",2,2,0,8,""
15,37384,"v_mul_lo_u32 v1, v2, 6",2,8,0,8,""
15,37392,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
