"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",368,978356756,2658578.141304,48.76,57881,5318115,2140843.299076
"gemm_mq4g256v2_residual_mmq_iu4_full_add",128,465347562,3635527.828125,23.19,1765425,5492117,1741260.184869
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",192,138629208,722027.125000,6.91,127642,1289498,346338.036161
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,118399309,1849989.203125,5.90,1679544,1898707,42221.060001
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,79341324,619854.093750,3.95,555368,647489,24321.981399
"gated_norm_mq_rotate_awq_i4_gfx12",48,59731083,1244397.562500,2.98,1114935,1274018,38181.867075
"gdn_chunk_scan",576,54104891,93932.102431,2.70,54881,101802,10216.943309
"gdn_chunk_prep",48,30908516,643927.416667,1.54,641729,651049,1599.580022
"deinterleave_q_rmsnorm_f32_batched",16,16208067,1013004.187500,0.8078,1003334,1035935,7482.637246
"gdn_chunk_kkt_solve",576,12650335,21962.387153,0.6305,16960,25280,1114.415840
"fused_gate_up_mq4g256v2",64,10107665,157932.265625,0.5038,152322,164563,3932.781867
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,9628256,601766.000000,0.4799,592568,619209,6722.243792
"gemv_mq4g256v2_residual",128,7327223,57243.929688,0.3652,31160,83121,23417.822714
"kv_cache_write_fp8_e4m3_batched",384,5293280,13784.583333,0.2638,3680,20280,2991.491473
"rope_partial_halfsplit_batched_f32",16,3924973,245310.812500,0.1956,243643,247643,1092.144937
"fused_qkvza_mq4g256v2",48,3635849,75746.854167,0.1812,72761,103762,5445.153996
"rmsnorm_f32",50,2665118,53302.360000,0.1328,2280,163722,74064.734340
"gemv_mq4g256v2_multirow_r2",2,2161670,1080835.000000,0.1077,1080215,1081455,876.812409
"__amd_rocclr_fillBufferUnAligned",480,1791225,3731.718750,0.0893,1160,323484,15014.409266
"fused_qkv_mq4g256v2",16,1170256,73141.000000,0.0583,72721,73561,240.444034
"__amd_rocclr_copyBuffer",375,1117053,2978.808000,0.0557,1480,7440,1462.939828
"attention_flash_fp8_e4m3_tile",16,950092,59380.750000,0.0474,56081,61320,1387.742603
"fused_rmsnorm_mq_rotate_awq",128,879007,6867.242188,0.0438,6520,8160,188.328192
"gated_delta_net_q8_fast",48,385848,8038.500000,0.0192,7760,11600,542.680110
"embedding_q8_batched",1,295364,295364.000000,0.0147,295364,295364,0.00000000e+00
"attention_flash_q8_0_reduce",16,278723,17420.187500,0.0139,17120,17920,211.313738
"fused_silu_mul_mq_rotate_awq",64,151923,2373.796875,7.572e-03,2120,3120,216.569955
"gated_norm_f32",48,142321,2965.020833,7.094e-03,2800,3640,167.996389
"rotate_x_mq_awq",64,117362,1833.781250,5.850e-03,1680,2440,128.345203
"rope_partial_halfsplit_f32",16,113881,7117.562500,5.676e-03,6960,7320,119.014267
"conv1d_silu_split_qknorm_b256",48,111240,2317.500000,5.544e-03,2080,3160,205.193215
"fused_sigmoid_alpha_gate_f32",48,100441,2092.520833,5.006e-03,1920,2520,163.597585
"repeat_interleave_qk_f32",48,85921,1790.020833,4.282e-03,1720,2120,73.087092
"kv_cache_write_fp8_e4m3",32,64761,2023.781250,3.228e-03,1800,2200,87.955903
"sample_topk_partial_fast21",2,53881,26940.500000,2.686e-03,23760,30121,4497.906235
"deinterleave_f32",16,33481,2092.562500,1.669e-03,1960,2280,83.536793
"sample_topk_finalize_fast21",2,33160,16580.000000,1.653e-03,14920,18240,2347.594514
"sigmoid_mul_f32",16,23960,1497.500000,1.194e-03,1360,2040,160.644535
"embedding_q8",1,6560,6560.000000,3.270e-04,6560,6560,0.00000000e+00
"mq_rotate_x",2,4440,2220.000000,2.213e-04,2080,2360,197.989899
