"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",368,966693888,2626885.565217,44.64,57401,5309905,2114975.782627
"gemm_mq4g256v2_residual_mmq_iu4_full_add",128,458262947,3580179.273438,21.16,1688701,5504507,1707439.307139
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",192,317030848,1651202.333333,14.64,210923,2886236,785625.012009
"fused_silu_mul_mq_rotate_awq_i4_gfx12",64,116089428,1813897.312500,5.36,1679660,1882903,70431.301628
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",128,77740309,607346.164062,3.59,513766,641208,38004.073742
"gated_norm_mq_rotate_awq_i4_gfx12",48,59218370,1233716.041667,2.73,1104853,1269256,37586.053042
"gdn_chunk_scan",576,53853069,93494.911458,2.49,54601,101481,10147.268264
"gdn_chunk_prep",48,30902777,643807.854167,1.43,640808,651128,1755.446273
"deinterleave_q_rmsnorm_f32_batched",16,16162839,1010177.437500,0.7464,1002012,1017573,4865.841852
"gdn_chunk_kkt_solve",576,12565398,21814.927083,0.5803,16640,25720,1123.998681
"fused_gate_up_mq4g256v2",64,10112563,158008.796875,0.4670,152161,163842,3966.466598
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",16,8669666,541854.125000,0.4004,537486,559087,6010.705969
"gemv_mq4g256v2_residual",128,7332571,57285.710938,0.3386,31320,86001,23489.107651
"attention_fp8_e4m3_fa2_q_preconvert_fp8_gfx1201",192,5958671,31034.744792,0.2752,18240,39080,4644.796609
"kv_cache_write_fp8_e4m3_batched",384,5255268,13685.593750,0.2427,3640,17320,2931.820086
"rope_partial_halfsplit_batched_f32",16,3921648,245103.000000,0.1811,242803,246523,1053.451470
"fused_qkvza_mq4g256v2",48,3647167,75982.645833,0.1684,73041,107281,5795.314158
"rmsnorm_f32",50,2645472,52909.440000,0.1222,2240,161722,73501.313731
"gemv_mq4g256v2_multirow_r2",2,2149706,1074853.000000,0.0993,1067493,1082213,10408.611819
"fused_qkv_mq4g256v2",16,1170052,73128.250000,0.0540,72520,73721,378.766683
"__amd_rocclr_fillBufferUnAligned",480,1159693,2416.027083,0.0536,1200,16000,1594.901740
"__amd_rocclr_copyBuffer",375,1108211,2955.229333,0.0512,1480,7160,1440.922124
"attention_flash_fp8_e4m3_tile",16,949733,59358.312500,0.0439,56441,60841,1118.619609
"fused_rmsnorm_mq_rotate_awq",128,873730,6826.015625,0.0403,6440,7920,150.892828
"gated_delta_net_q8_fast",48,375483,7822.562500,0.0173,7440,10120,388.506355
"embedding_q8_batched",1,295723,295723.000000,0.0137,295723,295723,0.00000000e+00
"attention_flash_q8_0_reduce",16,277522,17345.125000,0.0128,17120,17800,194.178912
"fused_silu_mul_mq_rotate_awq",64,150722,2355.031250,6.960e-03,2080,3120,224.415358
"gated_norm_f32",48,137720,2869.166667,6.360e-03,2760,3440,122.315138
"rotate_x_mq_awq",64,115285,1801.328125,5.324e-03,1640,2280,114.001678
"rope_partial_halfsplit_f32",16,113802,7112.625000,5.255e-03,6841,7281,116.987677
"conv1d_silu_split_qknorm_b256",48,106160,2211.666667,4.902e-03,2000,2920,151.914496
"fused_sigmoid_alpha_gate_f32",48,100360,2090.833333,4.635e-03,1880,2440,165.385859
"repeat_interleave_qk_f32",48,85000,1770.833333,3.925e-03,1680,2120,78.166035
"kv_cache_write_fp8_e4m3",32,64480,2015.000000,2.978e-03,1840,2200,93.532813
"sample_topk_partial_fast21",2,53081,26540.500000,2.451e-03,24001,29080,3591.395342
"deinterleave_f32",16,33040,2065.000000,1.526e-03,1960,2200,60.000000
"sample_topk_finalize_fast21",2,33040,16520.000000,1.526e-03,15200,17840,1866.761902
"sigmoid_mul_f32",16,27360,1710.000000,1.263e-03,1600,2160,131.047065
"embedding_q8",1,14400,14400.000000,6.650e-04,14400,14400,0.00000000e+00
"mq_rotate_x",2,4480,2240.000000,2.069e-04,2000,2480,339.411255
