"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_gate_up_full_set",320,1955830935,6111971.671875,33.60,237244,15147931,7191510.456318
"gemm_mq4g256v2_residual_mmq_iu4_full_add",640,1338468204,2091356.568750,22.99,71121,7573265,2833273.096599
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1200,909168364,757640.303333,15.62,39640,5229032,1471549.398014
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",80,396475743,4955946.787500,6.81,21320,12546137,6080643.371954
"fused_silu_mul_mq_rotate_awq_i4_gfx12",320,349695382,1092798.068750,6.01,38161,2738518,1288513.022319
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",640,229239408,358186.575000,3.94,18120,906493,415313.128562
"gated_norm_mq_rotate_awq_i4_gfx12",240,170389446,709956.025000,2.93,25401,1778465,837901.080619
"gdn_chunk_scan",1680,154067120,91706.619048,2.65,24520,109241,20123.325113
"gdn_chunk_prep",240,92342173,384759.054167,1.59,37001,905933,422407.185340
"deinterleave_q_rmsnorm_f32_batched",80,45883836,573547.950000,0.7882,16240,1420580,685735.680398
"gdn_chunk_kkt_solve",1680,36388858,21660.034524,0.6251,12720,23201,2437.026349
"fused_gate_up_mq4g256v2",192,30178657,157180.505208,0.5184,151802,165682,3906.770793
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",80,27492740,343659.250000,0.4723,18080,849212,399663.073915
"gemv_mq4g256v2_residual",384,21791435,56748.528646,0.3743,29360,82321,23665.208567
"rope_partial_halfsplit_batched_f32",80,12675736,158446.700000,0.2177,7720,397285,183388.942396
"fused_qkvza_mq4g256v2",144,10874470,75517.152778,0.1868,72401,82881,3908.068357
"gemv_mq4g256v2_multirow_r2",8,8664760,1083095.000000,0.1488,1066695,1091255,10568.048881
"rmsnorm_f32",184,8253153,44854.092391,0.1418,1880,232763,83276.420679
"kv_cache_write_fp8_e4m3_batched",160,5902441,36890.256250,0.1014,2000,97281,42883.053421
"__amd_rocclr_fillBufferUnAligned",2976,5019344,1686.607527,0.0862,1040,14000,685.827107
"fused_qkv_mq4g256v2",48,3513609,73200.187500,0.0604,72322,78521,888.275994
"fused_rmsnorm_mq_rotate_awq",384,2546239,6630.830729,0.0437,6080,7880,261.024663
"attention_flash_fp8_e4m3_tile",48,1949108,40606.416667,0.0335,39280,43041,1083.529022
"gated_delta_net_q8_fast",144,1116972,7756.750000,0.0192,7200,8600,307.858961
"__amd_rocclr_copyBuffer",192,539566,2810.239583,9.268e-03,1640,7120,536.160653
"embedding_q8_batched",5,411725,82345.000000,7.072e-03,7400,197602,102498.579610
"fused_silu_mul_mq_rotate_awq",192,406922,2119.385417,6.990e-03,1720,2760,251.681772
"gated_norm_f32",144,381683,2650.576389,6.556e-03,2440,3440,189.632976
"rope_partial_halfsplit_f32",48,332644,6930.083333,5.714e-03,6480,7480,257.391318
"rotate_x_mq_awq",192,303723,1581.890625,5.217e-03,1360,2360,200.440310
"conv1d_silu_split_qknorm_b256",144,294967,2048.381944,5.067e-03,1680,2800,232.077422
"fused_sigmoid_alpha_gate_f32",144,266844,1853.083333,4.584e-03,1400,2480,245.105301
"repeat_interleave_qk_f32",144,203562,1413.625000,3.497e-03,1120,2160,211.603101
"kv_cache_write_fp8_e4m3",96,170722,1778.354167,2.933e-03,1440,2280,200.885984
"attention_flash_q8_0_reduce",48,149802,3120.875000,2.573e-03,2840,3640,200.694817
"deinterleave_f32",48,86002,1791.708333,1.477e-03,1560,2120,181.772708
"sigmoid_mul_f32",48,72203,1504.229167,1.240e-03,1280,2081,205.775362
"embedding_q8",3,19760,6586.666667,3.394e-04,6400,6960,323.316151
"mq_rotate_x",8,16520,2065.000000,2.838e-04,1560,2440,330.497461
