"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1840,2764670825,1502538.491848,48.64,39680,8956677,2542498.617095
"gemm_mq4g256v2_residual_mmq_iu4_full_add",640,1322044572,2065694.643750,23.26,71321,7442858,2793843.461034
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",80,393506267,4918828.337500,6.92,21480,12405643,6034963.520512
"fused_silu_mul_mq_rotate_awq_i4_gfx12",320,338690705,1058408.453125,5.96,38081,2626234,1246525.084400
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",640,226742007,354284.385937,3.99,18120,890052,410601.206026
"gated_norm_mq_rotate_awq_i4_gfx12",240,168308295,701284.562500,2.96,25401,1752463,827419.841178
"gdn_chunk_scan",1680,152553126,90805.432143,2.68,24400,103281,19868.776917
"gdn_chunk_prep",240,92290175,384542.395833,1.62,36920,910452,422458.567175
"deinterleave_q_rmsnorm_f32_batched",80,45783598,572294.975000,0.8054,16440,1417738,684257.450647
"gdn_chunk_kkt_solve",1680,36099349,21487.707738,0.6351,12760,28000,2404.047275
"fused_gate_up_mq4g256v2",192,30208156,157334.145833,0.5314,151642,167483,4240.787593
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",80,27429881,342873.512500,0.4826,18041,844331,398768.369330
"gemv_mq4g256v2_residual",384,21762133,56672.221354,0.3828,29281,82281,23659.811138
"rope_partial_halfsplit_batched_f32",80,12670243,158378.037500,0.2229,7520,398765,183509.237152
"fused_qkvza_mq4g256v2",144,10896181,75667.923611,0.1917,72361,87481,4180.480069
"gemv_mq4g256v2_multirow_r2",8,8641552,1080194.000000,0.1520,1067054,1092054,7686.396146
"rmsnorm_f32",184,8218027,44663.190217,0.1446,1920,235603,82798.412673
"kv_cache_write_fp8_e4m3_batched",160,5917799,36986.243750,0.1041,2000,104681,43004.166174
"__amd_rocclr_fillBufferUnAligned",2976,5163391,1735.010417,0.0908,1040,13600,1036.967191
"fused_qkv_mq4g256v2",48,3511927,73165.145833,0.0618,72361,74081,463.982208
"fused_rmsnorm_mq_rotate_awq",384,2525990,6578.098958,0.0444,6040,8000,220.936071
"attention_flash_fp8_e4m3_tile",48,1932265,40255.520833,0.0340,39160,42560,951.022540
"gated_delta_net_q8_fast",144,1111813,7720.923611,0.0196,7160,8400,287.077024
"__amd_rocclr_copyBuffer",192,538208,2803.166667,9.468e-03,1640,8480,650.266489
"embedding_q8_batched",5,412644,82528.800000,7.259e-03,6880,192042,99969.571697
"fused_silu_mul_mq_rotate_awq",192,389729,2029.838542,6.856e-03,1720,2760,187.939279
"gated_norm_f32",144,386208,2682.000000,6.794e-03,2400,3360,203.896175
"rope_partial_halfsplit_f32",48,330163,6878.395833,5.808e-03,6480,7160,201.422573
"rotate_x_mq_awq",192,306801,1597.921875,5.397e-03,1360,6640,408.226735
"conv1d_silu_split_qknorm_b256",144,296364,2058.083333,5.214e-03,1680,2720,250.304919
"fused_sigmoid_alpha_gate_f32",144,257405,1787.534722,4.528e-03,1480,2480,211.889103
"repeat_interleave_qk_f32",144,203523,1413.354167,3.580e-03,1120,2080,218.618724
"kv_cache_write_fp8_e4m3",96,170402,1775.020833,2.998e-03,1440,2400,206.191070
"attention_flash_q8_0_reduce",48,148962,3103.375000,2.621e-03,2880,3400,169.726642
"deinterleave_f32",48,75082,1564.208333,1.321e-03,1400,2040,179.893108
"sigmoid_mul_f32",48,72282,1505.875000,1.272e-03,1320,1961,190.624129
"embedding_q8",3,20360,6786.666667,3.582e-04,6640,7080,254.034118
"mq_rotate_x",8,16201,2025.125000,2.850e-04,1600,2440,300.853755
