"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_residual_mmq_iu4_gate_up_full_set",320,1840204217,5750638.178125,32.44,240364,14294436,6746533.353712
"gemm_mq4g256v2_residual_mmq_iu4_full_add",640,1324586769,2069666.826563,23.35,71201,7454022,2792783.512087
"gemm_mq4g256v2_residual_mmq_iu4_full_set",1200,904711372,753926.143333,15.95,39680,5279872,1463381.223259
"attention_fp8_e4m3_fa2_gqa_packet_gfx1201",80,394919415,4936492.687500,6.96,21841,12528212,6056482.139091
"fused_silu_mul_mq_rotate_awq_i4_gfx12",320,340013417,1062541.928125,5.99,39040,2631396,1250235.316019
"fused_rmsnorm_mq_rotate_awq_i4_gfx12",640,227718008,355809.387500,4.01,18280,900773,412101.738943
"gated_norm_mq_rotate_awq_i4_gfx12",240,169374082,705725.341667,2.99,25761,1764944,832343.900934
"gdn_chunk_scan",1680,153372630,91293.232143,2.70,24760,103602,19949.906934
"gdn_chunk_prep",240,92357153,384821.470833,1.63,37241,907933,422208.355089
"deinterleave_q_rmsnorm_f32_batched",80,45798667,572483.337500,0.8074,16081,1431060,684522.141836
"gdn_chunk_kkt_solve",1680,36221775,21560.580357,0.6386,12720,25040,2394.842932
"fused_gate_up_mq4g256v2",192,30213648,157362.750000,0.5326,151842,164882,3838.336624
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",80,27580023,344750.287500,0.4862,18800,848332,400535.588059
"gemv_mq4g256v2_residual",384,21790796,56746.864583,0.3841,29240,86282,23707.903834
"rope_partial_halfsplit_batched_f32",80,12222971,152787.137500,0.2155,9400,372366,176144.003189
"fused_qkvza_mq4g256v2",144,10884431,75586.326389,0.1919,72601,82641,3855.142095
"gemv_mq4g256v2_multirow_r2",8,8640878,1080109.750000,0.1523,1077294,1089695,4016.311412
"rmsnorm_f32",184,8216751,44656.255435,0.1449,1880,229763,82913.912675
"kv_cache_write_fp8_e4m3_batched",160,5712879,35705.493750,0.1007,1960,98441,41778.716790
"__amd_rocclr_fillBufferUnAligned",2976,5051945,1697.562164,0.0891,1040,13600,839.104528
"fused_qkv_mq4g256v2",48,3486128,72627.666667,0.0615,71761,73321,388.807962
"fused_rmsnorm_mq_rotate_awq",384,2548390,6636.432292,0.0449,6160,8080,240.588607
"attention_flash_fp8_e4m3_tile",48,1949747,40619.729167,0.0344,39200,43001,993.035144
"gated_delta_net_q8_fast",144,1134052,7875.361111,0.0200,7360,8800,284.681557
"embedding_q8_batched",5,515968,103193.600000,9.096e-03,7200,300084,136172.291584
"__amd_rocclr_copyBuffer",192,510765,2660.234375,9.004e-03,1680,7120,519.867656
"fused_silu_mul_mq_rotate_awq",192,438968,2286.291667,7.739e-03,1760,3040,278.388102
"gated_norm_f32",144,382725,2657.812500,6.747e-03,2400,3480,187.180701
"rope_partial_halfsplit_f32",48,331967,6915.979167,5.852e-03,6520,7400,218.316137
"conv1d_silu_split_qknorm_b256",144,317762,2206.680556,5.602e-03,1920,2840,221.472114
"rotate_x_mq_awq",192,303043,1578.348958,5.342e-03,1360,2240,183.490297
"fused_sigmoid_alpha_gate_f32",144,267041,1854.451389,4.708e-03,1520,2480,241.742041
"repeat_interleave_qk_f32",144,216603,1504.187500,3.818e-03,1320,2080,192.886030
"kv_cache_write_fp8_e4m3",96,169201,1762.510417,2.983e-03,1400,2280,214.093831
"attention_flash_q8_0_reduce",48,135563,2824.229167,2.390e-03,2560,3440,213.245662
"deinterleave_f32",48,88124,1835.916667,1.554e-03,1640,2241,191.518216
"sigmoid_mul_f32",48,73880,1539.166667,1.302e-03,1320,2080,198.717519
"embedding_q8",3,19840,6613.333333,3.498e-04,6400,7000,335.459883
"mq_rotate_x",8,16480,2060.000000,2.905e-04,1600,2440,293.160122
