"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
14,34048,"; attention_fp8_e4m3_fa2_gqa_packet_gfx1201",0,0,0,0,""
14,34048,"s_load_b128 s[4:7], s[0:1], 0x30",6,6,0,8151,""
14,34056,"s_wait_kmcnt 0x0",6,9121,9115,0,""
14,34060,"s_cmp_lg_u32 s4, 24",6,156,150,0,""
14,34064,"s_cselect_b32 s2, -1, 0",6,30,24,0,""
14,34068,"s_cmp_lg_u32 s5, 4",6,29,23,0,""
14,34072,"s_cselect_b32 s3, -1, 0",6,6,0,22,""
14,34076,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
14,34080,"s_or_b32 s2, s2, s3",6,9,3,7,""
14,34084,"s_cmp_lg_u32 s6, 0x100",6,11,5,0,""
14,34092,"s_cselect_b32 s3, -1, 0",6,6,0,3,""
14,34096,"s_or_b32 s2, s2, s3",6,6,0,7,""
14,34100,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
14,34104,"s_and_b32 vcc_lo, exec_lo, s2",6,6,0,27,""
14,34108,"s_cbranch_vccnz 3095",6,6,0,57,""
14,34112,"s_and_b32 s22, ttmp7, 0xffff",6,6,0,27,""
14,34120,"s_delay_alu instid0(SALU_CYCLE_1)",0,0,0,0,""
14,34124,"s_cmp_gt_i32 s22, 3",6,6,0,13,""
14,34128,"s_cbranch_scc1 3090",6,6,0,51,""
14,34132,"s_load_b32 s24, s[0:1], 0x40",6,9,3,12,""
14,34140,"s_lshr_b32 s2, ttmp7, 7",6,6,0,3,""
14,34144,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
14,34148,"s_and_b32 s2, s2, 0x1fffe00",6,10,4,8,""
14,34156,"s_cmp_gt_i32 s7, 0x200",6,8,2,0,""
14,34164,"s_cselect_b32 s23, s2, 0",6,6,0,2,""
14,34168,"s_cmp_le_i32 s7, s23",6,6,0,7,""
14,34172,"s_cbranch_scc1 3079",6,6,0,56,""
14,34176,"s_sub_co_i32 s2, s7, s23",6,6,0,12,""
14,34180,"s_mul_i32 s21, ttmp9, 0x180",6,12,0,0,""
14,34188,"s_min_i32 s25, s2, 0x200",6,6,0,0,""
14,34196,"s_delay_alu instid0(SALU_CYCLE_1) | instskip(NEXT) | instid1(SALU_CYCLE_1)",0,0,0,0,""
14,34200,"s_mul_i32 s20, s25, 6",6,12,0,9,""
14,34204,"s_cmp_ge_i32 s21, s20",6,6,0,0,""
14,34208,"s_cbranch_scc1 3070",6,6,0,66,""
14,34212,"s_wait_kmcnt 0x0",6,519,513,0,""
14,34216,"v_dual_mov_b32 v151, s24 :: v_dual_and_b32 v8, 15, v0",6,195,189,0,""
14,34224,"v_lshrrev_b32_e32 v9, 5, v0",6,6,0,3,""
14,34228,"s_clause 0x1",6,18,12,0,""
14,34232,"s_load_b256 s[8:15], s[0:1], 0x0",6,6,0,9,""
14,34240,"s_load_b128 s[16:19], s[0:1], 0x20",6,6,0,0,""
14,34248,"v_or_b32_e32 v1, s21, v8",6,29,23,0,""
14,34252,"v_bfe_u32 v150, v0, 4, 1",6,21,15,6,""
14,34260,"s_delay_alu instid0(VALU_DEP_2) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
14,34264,"v_lshl_add_u32 v3, v9, 4, v1",6,6,0,45,""
