FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_GFX12_V2_SRC    rms      K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_GFX12_V2_SRC    rms      K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_GFX12_V2_SRC        rmsn     K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_GFX12_V2_SRC        rmsn     K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_GFX12_SRC       rms      K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_GFX12_SRC       rms      K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_GFX12_SRC           rmsn     K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_GFX12_SRC           rmsn     K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_SRC             rms      K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_SRC             rms      K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_SRC                 rmsn     K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_SRC                 rmsn     K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_FOLD_SRC        rmsfold  K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_AWQ_I4_FOLD_SRC        rmsfold  K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_FOLD_SRC            rmsfoldn K=5120  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
FUSED_RMSNORM_MQ_ROTATE_I4_FOLD_SRC            rmsfoldn K=5120  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 23592960  ORACLE_PASS
GATED_NORM_MQ_ROTATE_AWQ_I4_GFX12_V2_SRC       gated    K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_AWQ_I4_GFX12_V2_SRC       gated    K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_AWQ_I4_GFX12_SRC          gated    K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_AWQ_I4_GFX12_SRC          gated    K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_SRC              gatedn   K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_SRC              gatedn   K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_AWQ_I4_GFX12_SRC                   rotawq   K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_AWQ_I4_GFX12_SRC                   rotawq   K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_I4_GFX12_SRC                       rot      K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_I4_GFX12_SRC                       rot      K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_AWQ_I4_SRC                         rotawq   K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_AWQ_I4_SRC                         rotawq   K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_I4_SRC                             rot      K=6144  N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
MQ_ROTATE_X_I4_SRC                             rot      K=6144  N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_GFX12_SRC      siluawq  K=17408 N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_GFX12_SRC      siluawq  K=17408 N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_I4_GFX12_SRC          silu     K=17408 N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_I4_GFX12_SRC          silu     K=17408 N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_GFX12_SRC  hin      K=17408 N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_SRC            siluawq  K=17408 N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_SRC            siluawq  K=17408 N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_I4_SRC                silu     K=17408 N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_I4_SRC                silu     K=17408 N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_SRC        hin      K=17408 N=8192 seed=11 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
FUSED_SILU_MUL_MQ_ROTATE_AWQ_I4_HIN_SRC        hin      K=17408 N=8192 seed=11 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 80216064  ORACLE_PASS
