"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r",128,1477583234,11543619.015625,34.95,10742002,11831498,201849.221891
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r",256,1005580420,3928048.515625,23.78,1859428,6028370,1878380.227332
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r",480,691411781,1440441.210417,16.35,53041,5175518,1505833.378208
"fused_silu_mul_mq_rotate_awq_i4_hin_gfx12",128,212592598,1660879.671875,5.03,1480943,3603454,175858.421349
"attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201",32,186279116,5821222.375000,4.41,5629165,6004810,63523.375770
"fused_rmsnorm_mq_rotate_awq_i4_gfx12_v2",256,169458582,661947.585938,4.01,564288,2245394,101512.770834
"gdn_chunk_scan",1536,151789324,98821.174479,3.59,84601,106442,3140.316337
"gdn_chunk_prep",96,86605703,902142.739583,2.05,896413,909654,2837.968266
"gated_norm_mq_rotate_awq_i4_gfx12_v2",96,77711331,809493.031250,1.84,751891,3194688,246220.067396
"qwen35_fa_prep_fp8q_batched_gfx1201",32,38531019,1204094.343750,0.9113,1201338,1210339,1718.528020
"gdn_chunk_kkt_solve",1536,34511674,22468.537760,0.8162,19280,23561,626.176230
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,26018549,813079.656250,0.6154,730491,3216808,438665.100238
"fused_gate_up_mq4g256v2",128,20705300,161760.156250,0.4897,152563,179883,7157.840703
"gemv_mq4g256v2_residual",256,14888467,58158.074219,0.3521,31600,82961,22959.815835
"fused_qkvza_mq4g256v2",96,7762631,80860.739583,0.1836,72721,107122,7834.564959
"kv_cache_write_fp8_e4m3_batched",64,4653549,72711.703125,0.1101,70841,83801,1879.343322
"gemv_mq4g256v2_multirow_r2",4,4373025,1093256.250000,0.1034,1081056,1112417,13431.821926
"embedding_q8_batched",2,2923404,1461702.000000,0.0691,914814,2008590,773416.426699
"fused_qkv_mq4g256v2",32,2543075,79471.093750,0.0601,73081,86961,5980.833426
"attention_flash_fp8_e4m3_tile",32,2503717,78241.156250,0.0592,71161,84081,4227.021540
"fused_rmsnorm_mq_rotate_awq",256,1810990,7074.179688,0.0428,6360,7680,282.094670
"__amd_rocclr_copyBuffer",572,1810430,3165.087413,0.0428,1560,7640,1628.733257
"__amd_rocclr_fillBufferUnAligned",480,1134177,2362.868750,0.0268,1200,11841,1206.464829
"gated_delta_net_q8_fast",96,949892,9894.708333,0.0225,7320,19281,3686.877389
"attention_flash_q8_0_reduce",32,699529,21860.281250,0.0165,20840,22640,502.932256
"gated_norm_f32",96,506331,5274.281250,0.0120,2521,13080,4134.587450
"repeat_interleave_qk_f32",96,461566,4807.979167,0.0109,1440,12520,4753.032023
"conv1d_silu_split_qknorm_b256",96,388089,4042.593750,9.179e-03,1880,13321,3830.412267
"rmsnorm_f32",68,374606,5508.911765,8.860e-03,2000,18961,4943.608878
"rope_partial_halfsplit_f32",32,360804,11275.125000,8.534e-03,7200,16840,3932.461281
"fused_silu_mul_mq_rotate_awq",128,286444,2237.843750,6.775e-03,1840,3080,263.425778
"rotate_x_mq_awq",128,245202,1915.640625,5.799e-03,1480,13000,1401.846840
"fused_sigmoid_alpha_gate_f32",96,188884,1967.541667,4.467e-03,1640,2720,244.936594
"kv_cache_write_fp8_e4m3",64,126524,1976.937500,2.992e-03,1640,2441,209.442334
"sample_topk_partial_fast21",4,109800,27450.000000,2.597e-03,23360,31080,4123.348154
"sample_topk_finalize_fast21",4,72201,18050.250000,1.708e-03,14840,19640,2209.601831
"deinterleave_f32",32,57362,1792.562500,1.357e-03,1360,2240,353.408832
"sigmoid_mul_f32",32,52281,1633.781250,1.237e-03,1400,2480,215.523629
"embedding_q8",2,13320,6660.000000,3.150e-04,6360,6960,424.264069
"mq_rotate_x",4,8560,2140.000000,2.025e-04,1720,2440,329.039005
