"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r",128,1481634990,11575273.359375,36.15,10654762,11864540,215579.136779
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r",256,1007145455,3934161.933594,24.57,1845148,6075972,1883655.928938
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r",480,693241852,1444253.858333,16.92,52601,5020557,1509480.520585
"attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201",32,187155125,5848597.656250,4.57,5650206,6067452,76493.150155
"gdn_chunk_scan",1536,152404879,99221.926432,3.72,83521,106201,3360.478268
"fused_silu_mul_mq_rotate_awq_i4_hin_gfx12",128,148993913,1164014.945312,3.64,1135897,3834818,237950.700076
"fused_rmsnorm_mq_rotate_awq_i4_gfx12_v2",256,102905728,401975.500000,2.51,342365,2425157,129370.970583
"gdn_chunk_prep",96,86665035,902760.781250,2.11,896574,908894,2598.301094
"gated_norm_mq_rotate_awq_i4_gfx12_v2",96,74345771,774435.114583,1.81,743491,3404052,271211.810868
"qwen35_fa_prep_fp8q_batched_gfx1201",32,38539663,1204364.468750,0.9404,1199938,1207698,1694.757647
"gdn_chunk_kkt_solve",1536,34642347,22553.611328,0.8453,19321,26640,681.470232
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,24565938,767685.562500,0.5994,702891,2621040,338252.959668
"fused_gate_up_mq4g256v2",128,20105106,157071.140625,0.4906,151843,163603,3791.788637
"gemv_mq4g256v2_residual",256,14640103,57187.902344,0.3572,31401,84001,23279.747530
"fused_qkvza_mq4g256v2",96,7299150,76032.812500,0.1781,72521,113042,6365.341400
"kv_cache_write_fp8_e4m3_batched",64,4662032,72844.250000,0.1138,70841,84281,1893.268829
"gemv_mq4g256v2_multirow_r2",4,4317746,1079436.500000,0.1054,1071616,1089656,7621.373476
"attention_flash_fp8_e4m3_tile",32,2440437,76263.656250,0.0595,70441,84482,4208.066214
"fused_qkv_mq4g256v2",32,2339315,73103.593750,0.0571,72081,74761,664.758693
"__amd_rocclr_copyBuffer",572,1801465,3149.414336,0.0440,1560,7680,1646.107806
"fused_rmsnorm_mq_rotate_awq",256,1745545,6818.535156,0.0426,6080,7800,433.893796
"__amd_rocclr_fillBufferUnAligned",480,1740949,3626.977083,0.0425,1120,335485,15597.150904
"embedding_q8_batched",2,1350581,675290.500000,0.0330,397646,952935,392648.617418
"gated_delta_net_q8_fast",96,771168,8033.000000,0.0188,7401,10480,338.656541
"attention_flash_q8_0_reduce",32,684569,21392.781250,0.0167,20280,22681,721.244924
"fused_silu_mul_mq_rotate_awq",128,283123,2211.898438,6.908e-03,1760,3200,291.720415
"gated_norm_f32",96,272806,2841.729167,6.657e-03,2440,3480,307.936408
"rope_partial_halfsplit_f32",32,227164,7098.875000,5.543e-03,6600,7800,419.832666
"rotate_x_mq_awq",128,219603,1715.648438,5.358e-03,1400,2400,277.294851
"conv1d_silu_split_qknorm_b256",96,206482,2150.854167,5.038e-03,1720,3040,297.176396
"rmsnorm_f32",68,197763,2908.279412,4.825e-03,1920,15601,2649.089570
"fused_sigmoid_alpha_gate_f32",96,185642,1933.770833,4.530e-03,1520,2720,300.226528
"repeat_interleave_qk_f32",96,156083,1625.864583,3.808e-03,1360,2120,240.692449
"kv_cache_write_fp8_e4m3",64,122082,1907.531250,2.979e-03,1600,2440,254.273067
"sample_topk_partial_fast21",4,110121,27530.250000,2.687e-03,23041,31200,4114.049941
"sample_topk_finalize_fast21",4,69642,17410.500000,1.699e-03,14480,19801,2696.731417
"deinterleave_f32",32,60281,1883.781250,1.471e-03,1560,2240,240.962015
"sigmoid_mul_f32",32,42480,1327.500000,1.037e-03,1040,2080,247.712112
"embedding_q8",2,19720,9860.000000,4.812e-04,6640,13080,4553.767671
"mq_rotate_x",4,8400,2100.000000,2.050e-04,1600,2480,400.666112
