gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r	64	742.782
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r	128	504.448
gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r	240	347.290
attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201	16	93.524
gdn_chunk_scan	768	76.494
fused_silu_mul_mq_rotate_awq_i4_hin_gfx12	64	73.167
fused_rmsnorm_mq_rotate_awq_i4_gfx12_v2	128	50.584
gdn_chunk_prep	48	43.346
gated_norm_mq_rotate_awq_i4_gfx12_v2	48	35.838
qwen35_fa_prep_fp8q_batched_gfx1201	16	19.266
gdn_chunk_kkt_solve	768	17.384
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.321
fused_gate_up_mq4g256v2	64	10.065
gemv_mq4g256v2_residual	128	7.273
fused_qkvza_mq4g256v2	48	3.655
kv_cache_write_fp8_e4m3_batched	32	2.335
gemv_mq4g256v2_multirow_r2	2	2.148
attention_flash_fp8_e4m3_tile	16	1.166
fused_qkv_mq4g256v2	16	1.162
__amd_rocclr_fillBufferUnAligned	192	1.157
embedding_q8_batched	1	0.953
fused_rmsnorm_mq_rotate_awq	128	0.822
__amd_rocclr_copyBuffer	197	0.665
gated_delta_net_q8_fast	48	0.378
attention_flash_q8_0_reduce	16	0.332
fused_silu_mul_mq_rotate_awq	64	0.127
gated_norm_f32	48	0.123
rope_partial_halfsplit_f32	16	0.107
rotate_x_mq_awq	64	0.094
conv1d_silu_split_qknorm_b256	48	0.092
rmsnorm_f32	34	0.090
fused_sigmoid_alpha_gate_f32	48	0.082
repeat_interleave_qk_f32	48	0.067
sample_topk_partial_fast21	2	0.056
kv_cache_write_fp8_e4m3	32	0.054
sample_topk_finalize_fast21	2	0.035
deinterleave_f32	16	0.026
sigmoid_mul_f32	16	0.018
embedding_q8	1	0.007
mq_rotate_x	2	0.004
