"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r",128,1477322158,11541579.359375,36.13,10595749,11795964,197244.982589
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r",256,1002695965,3916781.113281,24.52,1817905,5959684,1878346.990263
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r",480,689205222,1435844.212500,16.85,53361,4209578,1497937.862849
"attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201",32,187062536,5845704.250000,4.57,5604719,6043884,82289.116759
"gdn_chunk_scan",1536,152316926,99164.665365,3.72,85241,105321,3022.788388
"fused_silu_mul_mq_rotate_awq_i4_hin_gfx12",128,146214046,1142297.234375,3.58,1136455,1151736,2441.545353
"fused_rmsnorm_mq_rotate_awq_i4_gfx12_v2",256,100437252,392333.015625,2.46,332965,899013,34256.318224
"gdn_chunk_prep",96,86759601,903745.843750,2.12,897972,952133,5433.108842
"gated_norm_mq_rotate_awq_i4_gfx12_v2",96,71769734,747601.395833,1.76,744290,783731,3908.907274
"qwen35_fa_prep_fp8q_batched_gfx1201",32,38560063,1205001.968750,0.9430,1201377,1213017,2519.626003
"gdn_chunk_kkt_solve",1536,34676888,22576.098958,0.8480,19601,28881,643.997326
"fused_gate_up_mq4g256v2",128,25248842,197256.578125,0.6174,152243,1944107,210540.279725
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,22590956,705967.375000,0.5524,701930,721290,4171.924687
"gemv_mq4g256v2_residual",256,17186361,67134.222656,0.4203,31720,1091775,77397.349223
"fused_qkvza_mq4g256v2",96,10300388,107295.708333,0.2519,72841,1576502,166570.278555
"kv_cache_write_fp8_e4m3_batched",64,4690865,73294.765625,0.1147,71201,83161,1688.217401
"gemv_mq4g256v2_multirow_r2",4,4349381,1087345.250000,0.1064,1077135,1114856,18397.146706
"fused_qkv_mq4g256v2",32,3630093,113440.406250,0.0888,73201,1145576,188429.998733
"attention_flash_fp8_e4m3_tile",32,2796358,87386.187500,0.0684,71121,388125,55083.943342
"fused_rmsnorm_mq_rotate_awq",256,1840347,7188.855469,0.0450,6281,17480,1030.670202
"__amd_rocclr_copyBuffer",572,1792221,3133.253497,0.0438,1560,7680,1650.816847
"__amd_rocclr_fillBufferUnAligned",480,1408904,2935.216667,0.0345,1200,24320,3169.331984
"embedding_q8_batched",2,1289498,644749.000000,0.0315,399365,890133,347025.380789
"gated_delta_net_q8_fast",96,1000856,10425.583333,0.0245,7200,83681,8301.768121
"attention_flash_q8_0_reduce",32,737732,23054.125000,0.0180,20400,63681,7434.672450
"gated_norm_f32",96,548004,5708.375000,0.0134,2480,12800,4279.991430
"repeat_interleave_qk_f32",96,475327,4951.322917,0.0116,1360,12920,4801.820421
"conv1d_silu_split_qknorm_b256",96,394245,4106.718750,9.641e-03,1720,13920,3952.619533
"rmsnorm_f32",68,373643,5494.750000,9.137e-03,2000,18681,4799.210894
"rope_partial_halfsplit_f32",32,357643,11176.343750,8.746e-03,7360,17161,3708.611492
"fused_silu_mul_mq_rotate_awq",128,288924,2257.218750,7.065e-03,1800,6320,500.259255
"rotate_x_mq_awq",128,287722,2247.828125,7.036e-03,1440,13200,2256.437437
"fused_sigmoid_alpha_gate_f32",96,193843,2019.197917,4.740e-03,1560,7320,612.204827
"kv_cache_write_fp8_e4m3",64,142564,2227.562500,3.486e-03,1600,12601,1445.517778
"sample_topk_partial_fast21",4,108360,27090.000000,2.650e-03,23080,30720,4033.112942
"sample_topk_finalize_fast21",4,72042,18010.500000,1.762e-03,14640,19681,2284.752430
"deinterleave_f32",32,60361,1886.281250,1.476e-03,1400,4760,628.465065
"sigmoid_mul_f32",32,58400,1825.000000,1.428e-03,1120,16640,2709.310113
"embedding_q8",2,25160,12580.000000,6.153e-04,6600,18560,8456.997103
"mq_rotate_x",4,8760,2190.000000,2.142e-04,1880,2400,255.864547
