gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r	64	738.410
gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r	128	501.453
gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r	240	344.530
attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201	16	93.454
gdn_chunk_scan	768	76.178
fused_silu_mul_mq_rotate_awq_i4_hin_gfx12	64	73.097
fused_rmsnorm_mq_rotate_awq_i4_gfx12_v2	128	50.437
gdn_chunk_prep	48	43.366
gated_norm_mq_rotate_awq_i4_gfx12_v2	48	35.869
qwen35_fa_prep_fp8q_batched_gfx1201	16	19.280
gdn_chunk_kkt_solve	768	17.334
sigmoid_mul_rotate_x_mq_awq_i4_gfx12	16	11.293
fused_gate_up_mq4g256v2	64	10.725
gemv_mq4g256v2_residual	128	7.542
fused_qkvza_mq4g256v2	48	4.083
kv_cache_write_fp8_e4m3_batched	32	2.337
gemv_mq4g256v2_multirow_r2	2	2.192
fused_qkv_mq4g256v2	16	1.369
attention_flash_fp8_e4m3_tile	16	1.192
embedding_q8_batched	1	0.890
fused_rmsnorm_mq_rotate_awq	128	0.877
__amd_rocclr_fillBufferUnAligned	192	0.776
__amd_rocclr_copyBuffer	197	0.661
gated_delta_net_q8_fast	48	0.518
gated_norm_f32	48	0.396
repeat_interleave_qk_f32	48	0.383
attention_flash_q8_0_reduce	16	0.343
conv1d_silu_split_qknorm_b256	48	0.266
rmsnorm_f32	34	0.261
rope_partial_halfsplit_f32	16	0.228
rotate_x_mq_awq	64	0.158
fused_silu_mul_mq_rotate_awq	64	0.125
fused_sigmoid_alpha_gate_f32	48	0.083
kv_cache_write_fp8_e4m3	32	0.067
sample_topk_partial_fast21	2	0.055
sample_topk_finalize_fast21	2	0.038
deinterleave_f32	16	0.023
sigmoid_mul_f32	16	0.019
embedding_q8	1	0.007
mq_rotate_x	2	0.004
