"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_mq4g256v2_gate_up_silu_mmq_iu4_symfold_g12r",128,1474640601,11520629.695312,36.10,10510789,11783528,209223.656798
"gemm_mq4g256v2_residual_mmq_iu4_full_add_symfold_g12r",256,1001901528,3913677.843750,24.53,1852667,5939804,1876378.987355
"gemm_mq4g256v2_residual_mmq_iu4_full_set_symfold_g12r",480,685410734,1427939.029167,16.78,53081,4138098,1490171.408054
"attention_fp8_e4m3_fa2_gqa_qresident_v2_q8_gfx1201",32,186797404,5837418.875000,4.57,5621920,6069245,81214.781030
"gdn_chunk_scan",1536,151909307,98899.288411,3.72,84681,105282,2926.674758
"fused_silu_mul_mq_rotate_awq_i4_hin_gfx12",128,146535236,1144806.531250,3.59,1137416,1153897,2496.236272
"fused_rmsnorm_mq_rotate_awq_i4_gfx12_v2",256,103628557,404799.050781,2.54,349165,930093,35186.339519
"gdn_chunk_prep",96,86777380,903931.041667,2.12,898492,954814,5903.837451
"gated_norm_mq_rotate_awq_i4_gfx12_v2",96,71890534,748859.729167,1.76,744851,788611,4422.636041
"qwen35_fa_prep_fp8q_batched_gfx1201",32,38599263,1206226.968750,0.9449,1203057,1215897,2415.762893
"gdn_chunk_kkt_solve",1536,34772283,22638.205078,0.8512,19560,30001,652.614613
"fused_gate_up_mq4g256v2",128,24533747,191669.898438,0.6006,152442,1715944,167093.178987
"sigmoid_mul_rotate_x_mq_awq_i4_gfx12",32,22569796,705306.125000,0.5525,702730,721530,3174.508159
"gemv_mq4g256v2_residual",256,17521757,68444.363281,0.4289,31321,1095135,81054.775448
"fused_qkvza_mq4g256v2",96,10172226,105960.687500,0.2490,72521,1341219,146385.367740
"kv_cache_write_fp8_e4m3_batched",64,4664785,72887.265625,0.1142,71041,74481,1185.776341
"gemv_mq4g256v2_multirow_r2",4,4347701,1086925.250000,0.1064,1076415,1113376,17719.109277
"fused_qkv_mq4g256v2",32,3584374,112011.687500,0.0877,73201,896453,147887.958552
"attention_flash_fp8_e4m3_tile",32,2760519,86266.218750,0.0676,70801,392605,56086.212091
"__amd_rocclr_copyBuffer",572,1852310,3238.304196,0.0453,1560,7801,1668.529258
"fused_rmsnorm_mq_rotate_awq",256,1820187,7110.105469,0.0446,6320,17200,1005.142394
"__amd_rocclr_fillBufferUnAligned",480,1654307,3446.472917,0.0405,1200,26881,4525.318170
"embedding_q8_batched",2,1560582,780291.000000,0.0382,396485,1164097,542783.650520
"gated_delta_net_q8_fast",96,1042174,10855.979167,0.0255,7240,89082,8826.905224
"attention_flash_q8_0_reduce",32,735693,22990.406250,0.0180,20761,64841,7656.703299
"gated_norm_f32",96,512927,5342.989583,0.0126,2480,12641,4155.421049
"repeat_interleave_qk_f32",96,436048,4542.166667,0.0107,1400,12600,4634.267554
"conv1d_silu_split_qknorm_b256",96,429606,4475.062500,0.0105,1760,13681,4172.226044
"rmsnorm_f32",68,376082,5530.617647,9.206e-03,1960,18720,4827.436290
"rope_partial_halfsplit_f32",32,359646,11238.937500,8.804e-03,7320,15560,3496.989534
"fused_silu_mul_mq_rotate_awq",128,293966,2296.609375,7.196e-03,1800,7640,601.254689
"rotate_x_mq_awq",128,286043,2234.710938,7.002e-03,1440,13440,2256.081793
"fused_sigmoid_alpha_gate_f32",96,195084,2032.125000,4.776e-03,1480,7160,611.799507
"kv_cache_write_fp8_e4m3",64,130641,2041.265625,3.198e-03,1640,4800,537.746894
"sample_topk_partial_fast21",4,108400,27100.000000,2.654e-03,24160,31200,3089.509130
"sample_topk_finalize_fast21",4,71240,17810.000000,1.744e-03,16160,19320,1463.283978
"deinterleave_f32",32,59640,1863.750000,1.460e-03,1320,5040,681.997777
"sigmoid_mul_f32",32,53480,1671.250000,1.309e-03,1360,4400,529.368157
"embedding_q8",2,25600,12800.000000,6.267e-04,6880,18720,8372.144289
"mq_rotate_x",4,8840,2210.000000,2.164e-04,1840,2520,296.423121
